# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ba-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8ba-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ba.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8ba.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	0.95	NA	NA	NA
1920	NA	NA	1.85	2.41	NA	NA	NA
1921	1.07	NA	7.72	7.85	NA	NA	NA
1922	2.79	5.03	17.61	16.65	4.03	NA	NA
1923	4.77	11.15	28.23	23.72	10.1	NA	NA
1924	5.89	14.39	31.21	35.39	14.78	1.81	NA
1925	9.46	25.77	51.56	58.7	25.6	6.75	NA
1926	10.5	25.77	47.65	62.08	27.97	9.75	1.4
1927	11.02	21.34	41.39	53.34	26.49	13.3	2.47
1928	11.32	21.36	33.55	50.9	24.58	17.53	3.66
1929	9.39	19	34.93	46.3	30.57	22.88	4.51
1930	9.76	22.2	35.14	52.2	32.44	29.45	4.62
1931	9.11	19.83	22.13	47.16	38.15	30.4	5.07
1932	6.3	16.12	20.74	36.02	40.01	21.02	5.32
1933	3.73	8.31	13.26	20.33	30.28	10.53	5.07
1934	4.81	6.7	14.04	27.54	30.19	11.46	6.27
1935	5.35	8.25	19.85	28.89	28.57	15.48	7.39
1936	5.49	9.51	15.77	21.19	18.5	14.87	6.53
1937	9.16	19.23	27.71	31.51	20.33	21.37	9.06
1938	11.85	28.02	33.41	39.17	37.45	26.96	9.96
1939	18.57	18.52	35.2	54.55	34.13	34.81	12.79
1940	15.06	23.44	29.93	31	30.79	34.27	8.38
1941	9	17.6	29.42	33.89	28.06	25.42	6.7
1942	9.79	14.41	29.49	33.12	25.58	17.48	7.58
1943	11.19	13.32	17.76	32.25	21.22	15.33	8.08
1944	15.04	19.72	26.41	37.63	31.73	21.81	12.32
1945	16.21	24.15	28.38	37.63	35.48	22.42	15.91
1946	16.18	20.85	31.17	32.65	34.09	19.3	20.01
1947	20.02	29.12	37.86	29.87	36.19	23.53	17.96
1948	13.34	25.25	32.67	31.18	27.13	19.26	13.07
1949	24.14	27.02	27.87	42.9	33.99	28.62	15.92
1950	17.14	23.82	24.39	31.44	30.2	28.41	12.2
1951	13.9	23.21	26.35	33.68	32.76	32.34	10.01
1952	14.2	19.04	20.23	29.67	28.02	27.85	10.88
1953	16.04	23.5	26.23	27.31	31.22	24.07	12.45
1954	17.59	28.21	28.29	38.76	39.45	17.8	13.44
1955	22.07	26.99	28.72	31.84	38.86	15.22	11
1956	18.52	16.84	27.42	36.07	33.11	14.82	13.35
1957	24.06	22.15	24.3	37.55	39.57	30.13	16.58
1958	16.41	14.75	24.59	41.04	29.8	34.38	11.06
1959	17.6	12.95	27.57	45.67	31.74	32.75	8.98
1960	25.19	22.28	25.2	44.39	32.97	29.7	11.4
1961	11.92	14.6	18.18	26.55	26.41	19.48	7.71
1962	11.12	10.7	16.49	25.76	29.08	16.52	2.33
1963	13.13	8.75	12.91	19.72	25.44	17.97	1.56
1964	8.52	8.12	11.12	11.48	12.82	10.36	3.13
1965	15.32	10.21	16.78	25.19	20.97	19.58	3.93
1966	11.63	8.9	18.79	25.4	17.88	13.18	6.33
1967	14.7	11.02	20.84	32.03	21.3	17.28	8.79
1968	16.89	11.1	23.9	30.19	19.82	20.14	9.71
1969	22.21	14.68	26.07	31.56	29.17	27.19	13.14
1970	20.54	14.1	18.51	23.04	25.25	25.5	10.84
1971	26.14	12.79	21.59	42.08	30.61	23.72	11.83
1972	20.21	12.88	29.74	39.22	27.49	17.62	12
1973	21.59	11.53	22.02	36.23	26.02	22.78	12.61
1974	25.24	13.79	24.22	38.9	31.53	24.47	10.57
1975	24.55	17.57	28.53	56.78	46.14	30.62	16.99
1976	26.1	19.22	36.07	51.71	56.84	35.52	21.44
1977	12.63	8.94	21.86	34.46	37.55	27.76	6.02
1978	10.41	7.48	17.82	22.74	31.47	28.09	7.45
1979	9.31	3	10.53	19.25	16.78	19.94	5.63
1980	8.19	5.26	7.39	19.34	11.23	11.58	4.71
1981	7.05	6.79	9.53	24.3	15.04	10.86	5.68
1982	5.9	6.81	10.63	21.99	13.21	4.67	6.67
1983	9.48	6.07	10.66	27.03	15.16	8.58	6.71
1984	16.72	11.44	17.14	39.63	26.7	17.25	14.52
1985	10.84	4.59	10.76	29.96	28.83	24.5	11.76
1986	8.47	2.3	9.72	27.64	23.23	17.53	7.91
1987	13.4	1.54	10.83	32.89	13.62	20.06	8.96
1988	11.04	1.54	14.13	33.13	13.67	14.54	7.02
1989	13.58	2.31	22.96	42.4	21.59	17.06	11.11
1990	12.43	2.31	17.61	31.08	19.73	15.53	8.15
1991	11.26	1.54	13.27	28.67	19.84	18.09	6.15
1992	13.85	2.31	13.32	20.96	23.94	19.04	6.18
1993	8.87	1.54	7.79	21.05	21.07	20	4.14
1994	8.91	3.09	4.46	11.88	15.12	20.99	4.67
