# Parker - Montana Mountain - ABLA - ITRDB CANA1
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4100
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4100.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana1-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana1-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana1.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana1.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 1996-05-08
#--------------------
# File_Last_Modified_Date
#   Date: 1996-05-08
#--------------------
# Title
#   Study_Name: Parker - Montana Mountain - ABLA - ITRDB CANA1
#--------------------
# Investigators
#   Investigators: Parker, M.L.; Henock, W.E.S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Montana Mountain
#   Location: Yukon Territory
#   Northernmost_Latitude: 60.1
#   Southernmost_Latitude: 60.1
#   Easternmost_Longitude: -134.68
#   Westernmost_Longitude: -134.68
#   Elevation_m: 1370
#--------------------
# Data_Collection
#   Collection_Name: CANA1
#   First_Year: 1820
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies lasiocarpa (Hook.) Nutt.
#   Common_Name: subalpine fir
#   Tree_Species_Code: ABLA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MM1011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1042_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1042; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1081_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1081; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MM1091_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MM1091; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MM1011_raw	MM1012_raw	MM1021_raw	MM1022_raw	MM1031_raw	MM1032_raw	MM1041_raw	MM1042_raw	MM1051_raw	MM1052_raw	MM1061_raw	MM1062_raw	MM1071_raw	MM1081_raw	MM1091_raw
1820	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	0.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	0.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.69
1831	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72
1832	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.62
1833	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88
1834	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.88
1835	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78
1836	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64
1837	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16
1838	0.69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73
1839	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.91
1840	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.81	NA	NA	NA	0.93
1841	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	NA	NA	0.92
1842	1.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	0.64
1843	1.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	0.91
1844	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	1.02
1845	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	NA	NA	1.06
1846	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61	NA	NA	NA	0.77
1847	1.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49	NA	NA	NA	0.76
1848	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7	NA	NA	NA	0.97
1849	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA	NA	0.62
1850	0.76	NA	0.61	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	0.41
1851	1.19	NA	0.92	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA	0.78
1852	1.55	NA	1.52	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	0.85
1853	0.66	NA	0.92	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA	NA	0.58
1854	1.07	NA	1.26	NA	NA	NA	NA	NA	NA	NA	0.66	NA	NA	NA	0.8
1855	1.24	NA	1.36	NA	NA	NA	NA	NA	NA	NA	0.67	NA	NA	NA	0.66
1856	1.07	NA	1.27	NA	NA	NA	NA	NA	NA	NA	0.71	NA	NA	NA	0.68
1857	1.25	NA	1.47	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	0.32
1858	1.34	NA	1.6	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA	NA	0.45
1859	1.16	NA	1.58	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	0.87
1860	1.37	NA	1.61	NA	NA	NA	1.15	NA	NA	NA	0.92	NA	NA	0.91	0.79
1861	1.32	NA	1.37	NA	NA	NA	1.77	NA	NA	NA	1.25	NA	NA	0.54	0.74
1862	1.31	NA	0.78	NA	NA	NA	1.62	NA	NA	NA	0.9	NA	NA	0.63	0.8
1863	1.56	NA	1.29	NA	NA	NA	1.49	NA	NA	NA	0.99	NA	NA	0.73	0.82
1864	1.27	NA	1.07	NA	NA	NA	1.42	NA	NA	NA	0.85	NA	NA	0.69	0.78
1865	1.37	NA	1.11	NA	NA	NA	1.45	NA	NA	NA	0.94	NA	NA	0.66	0.86
1866	1.03	NA	0.96	NA	NA	NA	1.31	NA	NA	NA	0.71	NA	NA	0.56	0.6
1867	1.14	NA	1.19	NA	NA	NA	1.16	NA	NA	NA	0.76	NA	NA	0.67	0.71
1868	1.32	NA	1.4	NA	NA	NA	1.43	NA	NA	NA	0.93	NA	NA	0.99	0.95
1869	1.26	NA	1.21	NA	NA	NA	1.31	NA	NA	NA	0.79	NA	NA	0.6	0.76
1870	1.13	1.04	1.12	NA	NA	NA	0.79	NA	NA	NA	0.88	NA	NA	0.77	0.72
1871	0.79	0.81	1.24	NA	NA	NA	1.51	NA	NA	NA	0.64	NA	NA	0.64	0.65
1872	0.74	0.9	1.08	NA	NA	NA	1.16	NA	NA	NA	0.54	NA	NA	0.55	0.62
1873	0.92	0.99	1.11	NA	NA	NA	1.77	NA	NA	NA	0.77	NA	NA	0.93	0.89
1874	0.79	1.11	1.09	NA	NA	NA	1.81	NA	NA	NA	0.78	NA	NA	0.61	0.91
1875	0.93	1.1	1.17	NA	NA	NA	1.68	NA	NA	NA	0.82	NA	NA	1.04	0.97
1876	0.76	0.99	0.86	NA	NA	NA	1.62	NA	NA	NA	0.67	NA	NA	0.82	0.75
1877	0.67	0.87	0.76	NA	NA	NA	1.49	NA	NA	NA	0.69	NA	NA	0.23	0.69
1878	0.75	0.94	0.71	NA	NA	NA	1.47	NA	NA	NA	0.65	NA	NA	0.55	0.72
