# Campbell - Nelson House - PIBN - ITRDB CANA7
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2926
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2926.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7bm-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana7bm-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7bm.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana7bm.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Nelson House - PIBN - ITRDB CANA7
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nelson House
#   Location: Manitoba
#   Northernmost_Latitude: 55.93
#   Southernmost_Latitude: 55.93
#   Easternmost_Longitude: -98.63
#   Westernmost_Longitude: -98.63
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA7
#   First_Year: 1939
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NOJ104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ121C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ121C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ168C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ168C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ088C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ088C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ148B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ148B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 0TF141C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 0TF141C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ073C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ073C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ139C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ139C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ045C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ045C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NOJ104C_raw	NOJ121C_raw	NOJ168C_raw	NOJ088C_raw	NOJ148B_raw	0TF141C_raw	NOJ073C_raw	NOJ139C_raw	NOJ045C_raw
1938	NA	NA	0.15	NA	NA	2.03	NA	NA	NA
1939	NA	1.01	1.08	NA	1.65	5.19	NA	NA	NA
1940	NA	1.87	2.73	0.82	3.09	7.31	NA	1.02	NA
1941	0.18	4.6	5.1	2.37	6.56	13.9	NA	2.59	NA
1942	0.52	4.65	5.91	4.42	10.34	13.95	NA	4.36	NA
1943	1.36	5.31	7.26	5.16	10.29	11.47	0.48	5.09	NA
1944	2.51	7.61	12.76	5.97	16	12.1	1.21	7.5	NA
1945	2.62	6.17	11.36	4.39	14.15	9.89	2.33	6.95	NA
1946	3.22	8.18	13.73	4.75	11.98	10.55	2.48	7.57	NA
1947	4.06	7.56	14.41	4.78	10.54	10.14	2.45	7.2	NA
1948	3.15	5.28	14.24	5.82	8.66	8.23	2.48	7.66	NA
1949	5.01	8.79	16.99	8	13.51	12.14	2.18	10.57	NA
1950	3.93	9.73	17.46	6.76	7.76	11.94	3.46	9.68	NA
1951	3.88	8.22	14.07	4.84	6.8	11.83	3.3	9.14	NA
1952	3.71	7.35	15.52	4.35	8.39	10.75	2.82	8.68	NA
1953	4.63	6.41	12.91	4.08	6.88	11.7	3.43	8.21	NA
1954	4.82	8.76	14.91	3.61	4.95	9.85	3.36	8.49	NA
1955	7.07	10.22	16.35	4.74	7.62	8.76	3.8	9.92	0.09
1956	5.88	8.26	17.19	3.95	5.17	7.21	4.37	10.13	0.78
1957	7.46	10.59	20.31	5.18	7.6	9.62	2.52	12.13	1.59
1958	8.61	9.55	18.46	5.64	9.22	11.19	3.6	13.25	2.15
1959	9.17	8.38	18.84	5.16	6.28	9.2	2.25	14.36	2.26
1960	8.03	7.57	16.67	3.63	7.04	10.99	1.92	14	1.9
1961	6.29	6.89	18.36	4.28	9.69	11.5	1.8	12.64	2.22
1962	4.87	8.35	18.78	3	11.31	12.31	2.47	9.84	2.18
1963	5.75	10.75	20.23	4.56	11.29	13.3	2.36	14.34	2.19
1964	6.18	9.79	21.34	4.01	13.98	12.61	3.17	15.53	2.15
1965	9.38	9.18	24.14	7.02	15.39	14.63	3.74	14.02	1.85
1966	5.39	6.4	25.75	7.39	19.39	13.49	4.28	12.22	1.97
1967	4.45	8.9	21.6	5.27	15.56	10.75	3.05	12.14	1.96
1968	4.08	7.63	19.47	5.77	19.38	11.84	2.58	13.22	1.46
1969	3.69	6.95	15.24	6.25	12.66	10.09	3.75	12.65	2.06
1970	5.03	8.32	16.15	5.18	12.11	9.81	3.12	10.6	1.92
1971	7.96	8.95	17.6	4.66	16.78	10.98	3.31	11.4	1.63
1972	6.67	7.63	18.99	5.15	17.72	11.56	3.77	11.93	1.3
1973	4.39	4.63	12.75	2.96	10.63	9.81	3.94	8.47	1.53
1974	4.6	6.4	12.86	3.51	13.8	8.91	3.69	7.69	1.79
1975	6.49	7.61	16.68	4.13	17.03	9.64	3.66	7.18	1.98
1976	4.59	10.56	21.93	5.04	21.53	13.22	4.64	8.4	1.76
1977	6.6	10.54	21.12	3.19	18.66	9.98	5.34	8.84	1.92
1978	6.65	10.35	17.7	3.95	12.06	14.87	6.2	9.6	1.49
1979	3.48	3.9	12.92	2.48	10.52	7.06	5.8	4.8	1.27
1980	3.78	1.25	16.35	2.41	8.76	3.72	2.46	3.04	1.16
1981	4.08	1.88	12.75	0.9	9.87	3.57	1.56	2.38	1.17
1982	4.92	3.27	12.16	1.57	12.74	6.54	1.24	4.13	1.12
1983	4.33	4.56	18.78	1.58	14	6.84	1.47	5.74	1.07
1984	8	6.21	20.49	2.77	19.2	11.2	2.19	7.52	0.22
1985	3.47	8.8	19.91	4.41	9.77	9.67	3.07	9.06	0.36
1986	3.13	8.91	10.21	2.74	3.85	5.8	4.38	4.68	0.5
1987	5.1	5.96	13.1	3.86	7.35	6.62	3.12	6.8	0.62
1988	7.44	5.61	12.87	3.62	14.56	10.76	3.25	7.7	0.5
1989	9.78	8.58	17.19	3.44	16.31	10.66	4.33	13.15	0.38
1990	6.05	6.72	8.97	1.91	10.63	7.73	4.62	10.81	0.67
1991	8.69	8.32	11.12	3.26	10.41	11.04	4.93	11	0.29
1992	14.21	9.27	12.56	3.82	16.02	12.57	5.22	10.83	0.22
1993	14.1	10.76	16.93	5.75	14.69	17	7.7	15.8	0.23
1994	8.25	13.09	6.66	3.38	12.78	11.31	5.99	12.18	0.18
