# Stefanuk - Frontenac Arch FR05 - ACSH - ITRDB CANA628
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32605
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32605.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana628-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana628-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana628.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana628.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR05 - ACSH - ITRDB CANA628
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR05
#   Location: Canada
#   Northernmost_Latitude: 44.520701
#   Southernmost_Latitude: 44.520701
#   Easternmost_Longitude: -76.019556
#   Westernmost_Longitude: -76.019556
#   Elevation_m: 99
#--------------------
# Data_Collection
#   Collection_Name: CANA628
#   First_Year: 1920
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 084FR05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 084FR05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 084FR05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 084FR05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 085FR05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 085FR05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 087FR05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 087FR05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 088FR05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 088FR05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	084FR05B_raw	084FR05A_raw	085FR05B_raw	087FR05B_raw	088FR05A_raw
1920	NA	NA	NA	NA	2.572
1921	NA	NA	NA	NA	1.449
1922	NA	NA	NA	NA	2.301
1923	NA	NA	NA	NA	1.614
1924	NA	NA	NA	NA	1.738
1925	NA	NA	NA	NA	1.662
1926	NA	NA	NA	NA	2.104
1927	NA	NA	NA	1.98	2.159
1928	NA	NA	NA	2.138	2.486
1929	NA	NA	2.773	3.311	1.789
1930	NA	NA	2.964	3.339	2.475
1931	NA	NA	2.928	2.699	1.958
1932	NA	NA	2.563	1.717	2.842
1933	NA	NA	2.313	1.917	3.479
1934	NA	NA	2.43	1.523	3.101
1935	NA	NA	2.101	1.843	3.663
1936	NA	NA	2.126	1.474	3.178
1937	NA	NA	2.389	1.335	1.552
1938	NA	NA	1.692	1.127	0.298
1939	NA	NA	1.154	1.455	2.055
1940	NA	NA	1.17	1.066	2.016
1941	NA	NA	0.925	1.482	2.224
1942	NA	1.06	1.22	0.79	2.444
1943	NA	0.466	1.241	1.593	1.787
1944	NA	0.716	0.842	2.121	1.695
1945	NA	0.783	1.764	1.936	1.666
1946	NA	1.394	2.592	2.988	3.128
1947	NA	1.691	2.509	1.93	2.696
1948	NA	0.73	1.942	1.159	1.958
1949	NA	1.801	2.295	1.666	2.765
1950	2.393	2.74	3.059	2.149	3.36
1951	0.33	0.526	0.76	0.49	0.354
1952	2.236	2.559	1.996	1.016	2.226
1953	1.838	2.412	2.327	1.386	2.984
1954	1.375	1.718	1.925	1.198	1.963
1955	1.688	1.475	2.055	1.898	2.181
1956	1.88	2.026	3.01	2.413	2.546
1957	1.306	1.395	0	1.88	2.248
1958	2.102	2.77	2.309	2.263	3.924
1959	1.332	1.29	2.255	1.187	2.448
1960	1.566	1.711	2.644	1.879	3.178
1961	0.945	1.102	3.068	1.22	2.761
1962	1.252	1.068	2.151	1.386	2.423
1963	0.939	1.051	1.907	1.38	2.146
1964	1.197	1.686	1.355	1.754	1.93
1965	0.822	1.663	1.1	1.424	2.616
1966	1.578	2.361	1.091	1.671	0
1967	2.359	2.918	1.282	1.916	3.188
1968	3.042	2.733	1.713	1.793	2.874
1969	3.772	3.245	1.975	2.237	3.346
1970	2.053	2.327	2.033	1.263	2.312
1971	3.016	3.937	1.902	2.054	2.306
1972	2.252	2.473	2.531	4.678	4.473
1973	4.14	2.746	1.853	2.638	2.848
1974	2.627	2.255	2.051	3.154	4.356
1975	3.952	3.061	1.532	1.903	3.494
1976	2.586	2.044	1.376	1.765	4.808
1977	2.118	2.449	1.345	2.787	2.43
1978	0.266	0.219	1.242	1.022	2.09
1979	3.079	2.784	1.438	6.046	4.406
1980	1.343	2.115	1.908	4.585	5.106
1981	2.934	2.182	1.379	3.567	3.863
1982	4.313	2.451	1.908	2.316	3.493
1983	2.138	1.934	1.139	2.575	1.75
1984	2.95	2.811	0.797	3.055	1.578
1985	2.346	2.891	1.237	5.489	2.391
1986	2.699	3.657	1.457	3.728	2.564
1987	1.506	3.778	1.12	2.853	2.408
1988	2.009	2.418	1.367	3.412	1.67
1989	2.818	2.272	1.953	3.695	2.044
1990	2.627	1.866	1.895	1.446	1.904
1991	1.277	1.303	1.048	1.342	0.8
1992	2.233	1.329	0.872	2.656	0.92
1993	1.977	1.495	1.342	3.271	0.982
1994	2.123	1.795	1.616	1.747	1.419
1995	1.706	1.33	1.249	0.737	2.032
1996	2.536	2.307	1.778	3.786	2.281
1997	1.764	1.663	1.733	2.243	1.502
1998	1.683	1.712	2.503	1.188	2.255
1999	1.864	1.455	2.565	1.248	1.593
2000	3.332	2.449	2.88	0.792	2.134
2001	2.253	1.623	2.729	0.579	1.483
2002	2.365	2.025	2.594	0.689	1.108
2003	3.901	2.85	3.17	0.906	1.818
2004	4.341	3.964	3.817	3.521	2.161
2005	2.731	2.796	3.05	1.49	1.319
2006	1.53	2.318	2.088	0.345	0.818
2007	1.783	2.609	2.806	0.401	0
2008	4.036	3.791	3.645	0.689	2.006
2009	4.716	3.688	3.607	1.802	2.074
2010	5.759	3.938	4.241	2.901	1.456
2011	3.999	2.473	4.097	1.822	1.277
2012	2.591	1.183	2.452	0.848	0.501
2013	4.566	2.307	3.925	1.161	1.161
2014	3.991	2.013	3.589	2.437	1.014
2015	4.83	2.83	3.964	3.311	1.812
2016	2.764	1.361	2.619	2.229	0.86
2017	2.443	1.519	1.594	0.832	0.93
