# Stefanuk - Frontenac Arch FR04 - ACSH - ITRDB CANA627
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32604
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32604.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana627-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana627-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana627.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana627.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR04 - ACSH - ITRDB CANA627
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR04
#   Location: Canada
#   Northernmost_Latitude: 44.49965
#   Southernmost_Latitude: 44.49965
#   Easternmost_Longitude: -76.031331
#   Westernmost_Longitude: -76.031331
#   Elevation_m: 105
#--------------------
# Data_Collection
#   Collection_Name: CANA627
#   First_Year: 1869
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 081FR04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 081FR04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 081FR04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 081FR04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	081FR04A_raw	081FR04B_raw
1869	NA	2.483
1870	NA	3.671
1871	NA	4.947
1872	4.395	6.226
1873	4.61	6.232
1874	3.093	4.876
1875	0.004	3.223
1876	2.924	3.282
1877	2.867	2.893
1878	2.731	2.4
1879	3.448	2.619
1880	2.242	1.911
1881	2.031	2.029
1882	2.21	2.029
1883	0.983	0.707
1884	1.776	2.206
1885	1.308	1.713
1886	1.174	1.32
1887	1.42	1.4
1888	1.92	2.46
1889	1.708	1.647
1890	1.471	1.712
1891	2.16	1.593
1892	2.634	1.816
1893	2.408	2.013
1894	1.115	0.954
1895	3.37	2.534
1896	2.347	1.881
1897	1.09	1.506
1898	0.571	1.163
1899	0.84	1.331
1900	2.515	1.603
1901	3.099	2.875
1902	2.91	2.771
1903	1.563	2.808
1904	2.226	2.46
1905	2.022	2.123
1906	1.61	1.296
1907	2.104	1.582
1908	2.028	1.888
1909	1.837	1.841
1910	2.865	1.621
1911	1.125	0.882
1912	0.952	1.125
1913	0.741	0.998
1914	0.936	1.13
1915	0.954	0.927
1916	0.819	0.803
1917	2.264	1.237
1918	1.703	1.387
1919	1.557	1.982
1920	0	1.258
1921	2.658	2.234
1922	1.13	1.05
1923	0.874	1.049
1924	0.696	1.355
1925	0.676	0.784
1926	1.188	1.282
1927	1.591	1.287
1928	2.241	1.462
1929	2.245	1.68
1930	1.833	0.73
1931	1.487	0.8
1932	1.79	0.591
1933	1.249	0.752
1934	1.293	0.697
1935	1.049	0.567
1936	1.576	0.837
1937	1.298	0.651
1938	1.038	0.742
1939	1.31	1.029
1940	1.035	0.658
1941	1.425	0.882
1942	0.984	0.853
1943	0.798	0.646
1944	0.628	0.589
1945	0.636	0.531
1946	0.893	0.96
1947	0.856	0.77
1948	1.084	0.75
1949	0.935	0.885
1950	1.416	1.205
1951	0.451	0.596
1952	0.61	0.754
1953	1.621	1.401
1954	1.267	0.928
1955	1.333	0.78
1956	1.984	0.924
1957	1.429	0.708
1958	1.755	0.68
1959	1.396	0.717
1960	1.569	1.09
1961	1.055	1.033
1962	1.478	0.927
1963	0	0
1964	1.387	1.268
1965	1.311	1.458
1966	1.311	0.986
1967	1.732	1.306
1968	1.686	0.871
1969	2.524	1.471
1970	2.527	1.682
1971	2.099	1.354
1972	2.197	1.496
1973	1.165	0.803
1974	1.116	1.094
1975	1.087	1.092
1976	1.219	1.575
1977	1.041	1.343
1978	1.008	0.938
1979	1.348	1.143
1980	3.227	2.391
1981	2.444	1.778
1982	2.879	2.472
1983	1.749	1.51
1984	1.928	1.522
1985	1.746	1.56
1986	2.221	2.759
1987	2.379	2.171
1988	1.466	1.655
1989	1.995	1.327
1990	2.202	1.619
1991	2.017	1.093
1992	1.879	1.085
1993	1.711	0.848
1994	2.286	0.843
1995	1.358	0.598
1996	1.682	0.979
1997	1.261	0.893
1998	0.952	0.688
1999	0.173	0.498
2000	0.565	0.674
2001	0.464	0.626
2002	0.665	0.658
2003	1.036	0.797
2004	1.735	1.125
2005	1.287	0.667
2006	1.054	0.599
2007	0.52	0.526
2008	1.317	1.062
2009	2.024	0.762
2010	2.21	0.713
2011	1.051	0.516
2012	0.832	0.5
2013	0.971	0.709
2014	1.168	0.672
2015	1.696	0.978
2016	1.315	0.583
2017	0.79	0.367
