# St. George - Remus Farm - QUMA - ITRDB CANA186
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4799
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4799.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana186-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana186-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana186.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana186.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: St. George - Remus Farm - QUMA - ITRDB CANA186
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Remus Farm
#   Location: Manitoba
#   Northernmost_Latitude: 49.07
#   Southernmost_Latitude: 49.07
#   Easternmost_Longitude: -97.2
#   Westernmost_Longitude: -97.2
#   Elevation_m: 235
#--------------------
# Data_Collection
#   Collection_Name: CANA186
#   First_Year: 1875
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## e9901a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9901a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9902a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9902a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## E9903a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: E9903a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9904a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9904a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9905a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9905a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9906a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9906a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9907a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9907a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9908a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9908a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9909a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9909a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## e9910a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: e9910a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	e9901a_raw	e9902a_raw	E9903a_raw	e9904a_raw	e9905a_raw	e9906a_raw	e9907a_raw	e9908a_raw	e9909a_raw	e9910a_raw
1875	NA	NA	NA	NA	NA	NA	NA	NA	0.62	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	0.759	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	0.929	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	0.901	NA
1879	1.054	NA	NA	NA	2.161	NA	NA	NA	1.302	NA
1880	1.056	NA	NA	NA	1.829	NA	NA	NA	1.311	NA
1881	1.212	2.134	NA	NA	2.169	NA	NA	NA	0.917	NA
1882	1.576	1.898	NA	NA	2.524	NA	0.87	NA	0.828	NA
1883	1.535	1.783	NA	NA	2.061	NA	0.444	1.194	1.163	NA
1884	1.483	2.328	NA	NA	2.748	NA	0.416	1.361	1.092	NA
1885	1.629	2.482	NA	NA	2.667	NA	0.58	0.523	0.85	NA
1886	0.741	0.868	NA	NA	1.239	NA	0.213	0.369	0.878	NA
1887	1.501	1.934	NA	NA	1.795	NA	0.266	0.313	0.946	0.814
1888	1.488	1.449	NA	NA	2.034	NA	0.927	0.663	0.584	1.012
1889	1.284	1.144	NA	NA	1.145	NA	0.879	0.537	0.875	1.33
1890	1.574	2.216	NA	NA	1.864	NA	1.004	0.523	1.317	1.019
1891	1.307	1.781	NA	NA	2.715	NA	1.325	1.249	1.919	1.637
1892	2.065	2.115	NA	NA	3.351	NA	2.03	0.822	2.937	1.562
1893	1.911	2.52	NA	NA	3.103	NA	2.008	0.906	3.156	2.167
1894	1.684	2.131	NA	1.414	2.721	2.069	1.942	1.35	2.875	1.869
1895	1.913	2.181	NA	1.999	2.694	2.556	2.069	1.444	3.069	2.222
1896	2.246	3.131	NA	2.238	3.115	2.658	3.113	1.986	3.623	2.686
1897	2.185	2.596	NA	2.229	3.024	1.774	2.607	2.025	3.45	2.469
1898	1.85	2.099	NA	1.984	3.158	1.194	2.993	1.809	3.474	2.719
1899	2.568	2.904	NA	3.021	4.045	1.97	2.896	2.151	3.54	3.423
1900	1.492	2.291	NA	2.165	2.111	1.84	1.906	1.223	2.68	2.096
1901	2.261	2.847	NA	3.046	3.014	3.935	3.331	1.972	3.471	2.902
1902	1.862	2.557	NA	2.715	3.029	3.572	3.062	2.434	2.824	2.504
1903	1.323	2.267	1.077	2.359	1.863	2.631	2.356	1.943	2.793	2.546
1904	2.16	2.785	2.041	3.456	2.665	3.309	2.669	2.902	3.615	3.433
1905	1.967	2.008	2.142	3.21	2.564	3.991	2.973	2.958	3.871	3.025
1906	1.493	1.315	1.805	2.574	1.38	3.138	2.613	2.104	3.396	2.599
1907	1.219	1.704	1.76	2.834	1.938	3.159	2.493	1.917	2.831	2.227
1908	1.292	1.814	1.651	2.741	1.762	3.092	2.343	2.221	2.913	2.477
1909	1.137	2.159	2.315	2.597	2.037	3.879	2.662	2.707	3.217	2.865
1910	0.814	1.804	1.762	1.783	1.132	2.4	2.098	1.799	2.309	1.816
1911	0.975	2.688	2.651	2.444	1.915	2.249	3.233	2.786	3.094	2.805
1912	1.175	2.859	2.536	2.631	2.022	1.976	3.662	2.701	2.624	3.076
1913	1.496	2.666	2.579	2.371	2.154	2.067	2.575	2.531	2.853	3.585
1914	1.494	1.972	1.723	1.991	0.853	1.857	2.262	2.358	2.383	3.014
1915	1.732	1.68	2.207	2.475	1.359	2.138	2.784	2.191	2.289	2.799
1916	1.853	3.27	3.122	2.898	1.482	2.93	2.883	3.083	3.136	3.634
1917	1.638	2.126	2.663	2.431	1.785	1.878	2.857	2.208	2.159	3.162
1918	1.731	1.951	2.861	2.446	1.514	2.151	2.42	2.357	2.639	3.244
1919	1.465	1.828	2.613	2.07	1.171	1.936	2.296	2.495	2.515	3.207
1920	1.229	1.843	2.233	1.718	1.216	1.833	1.965	2.343	2.175	2.718
1921	1.522	1.834	2.277	2.377	1.115	1.867	2.284	2.564	1.905	2.127
1922	1.643	2.031	2.059	2.708	2.238	2.187	2.08	2.437	2.393	2.787
1923	1.822	2.238	2.973	3.07	2.077	2.591	2.25	2.754	2.696	2.757
1924	1.25	1.306	1.967	1.977	1.214	1.617	1.5	2.178	1.84	1.874
1925	1.627	1.987	2.955	3.412	1.886	2.111	1.819	2.36	2.384	2.644
1926	1.136	1.558	1.993	2.322	1.656	1.089	1.434	1.51	2.111	2.559
1927	1.665	2.219	2.412	2.522	1.861	1.807	1.75	2.118	2.166	2.63
1928	1.572	2.189	2.523	2.598	2.041	2.166	1.844	2.509	2.471	3.215
1929	1.245	1.82	1.816	1.311	1.205	1.383	1.069	1.842	1.713	2.156
1930	1.214	1.872	2.041	1.47	0.917	1.459	1.437	1.753	1.74	2.339
1931	1.109	1.787	1.47	1.068	1.1	1.134	0.99	1.703	1.639	2.059
1932	1.17	1.71	1.809	1.248	1.592	1.446	1.193	1.833	1.638	2.347
1933	1.131	1.973	1.739	1.568	1.408	1.455	1.242	2.25	1.716	2.146
1934	0.949	1.335	1.289	1.263	0.704	1.04	1.062	1.559	1.416	1.439
1935	1.165	2.168	1.94	2.555	1.098	2	1.594	2.458	1.925	1.792
1936	0.746	1.336	1.197	1.403	0.685	1.144	0.875	1.373	1.376	1.413
1937	0.958	1.884	2.222	1.793	1.237	1.923	1.554	2.184	2.13	1.774
