# Bunn - Falls - PCGL - ITRDB CANA296
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/9932
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-9932.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana296-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana296-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana296.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana296.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-08-31
#--------------------
# File_Last_Modified_Date
#   Date: 2010-08-31
#--------------------
# Title
#   Study_Name: Bunn - Falls - PCGL - ITRDB CANA296
#--------------------
# Investigators
#   Investigators: Bunn, A.G.(https://orcid.org/0000-0001-9027-2162); Lloyd, A.H.; Berner, L.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Falls
#   Location: Northwest Territories
#   Northernmost_Latitude: 61.2
#   Southernmost_Latitude: 61.2
#   Easternmost_Longitude: -120.0
#   Westernmost_Longitude: -120.0
#   Elevation_m: 270
#--------------------
# Data_Collection
#   Collection_Name: CANA296
#   First_Year: 1819
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FAL003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL003B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL007A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL007A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL007B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL007B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL008A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL008A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL008B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL008B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL010A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL010A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL010B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL010B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL013A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL013A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL013B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL013B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL015A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL015A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL015B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL015B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL020A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL020A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL020B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL020B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL025A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL025A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FAL025B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FAL025B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FAL003A_raw	FAL003B_raw	FAL007A_raw	FAL007B_raw	FAL008A_raw	FAL008B_raw	FAL010A_raw	FAL010B_raw	FAL013A_raw	FAL013B_raw	FAL015A_raw	FAL015B_raw	FAL020A_raw	FAL020B_raw	FAL025A_raw	FAL025B_raw
1819	NA	NA	NA	NA	NA	0.664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1820	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	NA	NA	NA	NA	NA	0.438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	NA	NA	NA	NA	0.645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	NA	NA	NA	NA	0.537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	NA	NA	NA	0.795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	NA	NA	NA	0.485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	0.449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	0.655	NA	NA	NA	NA	0.674	0.929	NA	NA	NA	NA
1828	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	0.821	1.091	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	0.572	NA	NA	NA	NA	0.617	0.771	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	0.451	NA	NA	NA	NA	0.58	0.77	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	0.499	NA	NA	NA	NA	0.519	0.634	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	0.574	NA	0.69	NA	NA	0.564	0.59	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	0.55	NA	0.946	NA	NA	0.492	0.553	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	0.415	NA	0.619	NA	NA	0.47	0.534	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	0.579	NA	0.867	NA	NA	0.525	0.563	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	0.849	NA	1.178	NA	NA	0.696	0.743	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	0.624	NA	0.727	NA	NA	0.697	0.812	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	0.609	NA	0.61	NA	NA	0.656	0.684	0.88	0.864	NA	NA
1839	NA	NA	NA	NA	NA	0.594	NA	1.341	NA	NA	0.748	0.714	0.652	0.644	NA	NA
1840	NA	NA	NA	NA	NA	0.771	NA	0.773	NA	NA	0.655	0.731	0.689	0.837	NA	NA
1841	NA	NA	NA	NA	NA	0.968	NA	0.715	NA	NA	0.643	0.626	0.58	0.757	NA	NA
1842	NA	NA	NA	NA	NA	0.75	NA	0.71	NA	NA	0.384	0.377	0.346	0.409	NA	NA
1843	NA	NA	NA	NA	NA	0.761	NA	0.664	NA	NA	0.67	0.791	0.376	0.592	NA	NA
1844	NA	NA	NA	NA	NA	0.698	NA	0.71	NA	NA	0.47	0.581	0.495	0.6	NA	0.485
1845	NA	NA	NA	NA	NA	0.709	NA	0.587	NA	NA	0.499	0.497	0.385	0.467	NA	0.419
1846	NA	0.561	NA	NA	NA	0.749	NA	0.748	NA	NA	0.5	0.578	0.403	0.623	NA	0.469
1847	NA	0.516	NA	NA	NA	1.105	NA	0.685	NA	NA	0.512	0.555	0.606	0.65	NA	0.498
1848	NA	0.622	NA	NA	NA	0.849	NA	0.801	NA	NA	0.471	0.499	0.525	0.655	NA	0.549
1849	NA	0.527	NA	NA	NA	0.929	NA	0.682	NA	NA	0.523	0.462	0.361	0.737	NA	0.588
1850	NA	0.4	NA	NA	NA	0.689	NA	0.64	NA	NA	0.435	0.403	0.382	0.552	0.466	0.367
1851	NA	0.623	NA	NA	NA	0.779	NA	0.716	NA	NA	0.477	0.452	0.332	0.38	0.452	0.446
1852	NA	0.618	NA	NA	NA	0.756	NA	0.635	NA	NA	0.477	0.507	0.413	0.441	0.456	0.465
1853	NA	0.571	NA	NA	NA	0.839	NA	0.746	NA	NA	0.481	0.531	0.396	0.393	0.515	0.512
1854	NA	0.381	NA	NA	NA	0.726	NA	0.647	NA	NA	0.44	0.482	0.313	0.277	0.347	0.417
1855	NA	0.432	NA	NA	NA	0.737	NA	0.632	NA	NA	0.448	0.473	0.267	0.312	0.274	0.253
1856	0.545	0.441	NA	NA	0.754	0.782	NA	0.611	NA	NA	0.449	0.453	0.302	0.458	0.262	0.237
1857	0.433	0.411	NA	NA	0.963	1.331	NA	0.552	NA	NA	0.39	0.441	0.284	0.523	0.305	0.207
1858	0.331	0.32	NA	NA	0.816	1.021	NA	0.661	NA	NA	0.412	0.5	0.283	0.458	0.195	0.193
1859	0.398	0.391	NA	NA	0.873	0.911	NA	0.619	NA	NA	0.401	0.421	0.25	0.439	0.212	0.2
1860	0.373	0.345	NA	NA	0.778	0.773	NA	0.668	NA	NA	0.39	0.367	0.337	0.556	0.184	0.16
1861	0.33	0.379	NA	NA	0.851	0.855	NA	0.546	NA	NA	0.356	0.333	0.257	0.468	0.185	0.184
1862	0.351	0.293	NA	NA	0.792	0.869	NA	0.644	NA	NA	0.377	0.309	0.277	0.36	0.212	0.234
1863	0.318	0.246	NA	NA	0.815	0.881	NA	0.604	NA	NA	0.369	0.377	0.253	0.319	0.272	0.247
1864	0.299	0.226	NA	NA	0.721	0.812	NA	0.543	NA	NA	0.316	0.343	0.22	0.257	0.183	0.22
1865	0.371	0.316	0.68	NA	0.86	0.91	NA	0.632	NA	NA	0.293	0.297	0.294	0.31	0.174	0.176
1866	0.338	0.29	1.32	NA	0.764	0.852	NA	0.653	NA	NA	0.35	0.364	0.315	0.378	0.197	0.19
1867	0.394	0.319	1.226	0.581	0.76	0.857	NA	0.524	NA	NA	0.358	0.335	0.344	0.344	0.184	0.181
1868	0.294	0.286	0.789	0.507	0.722	0.888	NA	0.503	NA	NA	0.379	0.353	0.251	0.262	0.216	0.201
1869	0.312	0.26	0.783	0.632	0.721	0.889	NA	0.552	NA	NA	0.509	0.338	0.126	0.165	0.124	0.093
1870	0.404	0.391	1.283	1.138	0.79	0.951	NA	0.593	NA	NA	0.521	0.354	0.243	0.304	0.251	0.251
1871	0.632	0.611	1.522	1.494	0.981	1.032	NA	0.507	NA	NA	0.448	0.348	0.554	0.749	0.429	0.431
1872	0.46	0.471	1.593	1.45	0.71	0.881	NA	0.393	NA	NA	0.385	0.299	0.726	0.921	0.687	0.511
1873	0.438	0.502	1.248	1.583	0.747	0.827	NA	0.417	NA	NA	0.359	0.31	0.583	0.725	0.695	0.531
