# Coulthard - Spatsum Fan Update - PIPO - ITRDB CAN679
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37372
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37372.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can679e-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can679e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/can679e.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-01-30
#--------------------
# File_Last_Modified_Date
#   Date: 2023-01-30
#--------------------
# Title
#   Study_Name: Coulthard - Spatsum Fan Update - PIPO - ITRDB CAN679
#--------------------
# Investigators
#   Investigators: Coulthard, B.L.; Anchukaitis, K.J.; Brice, R.L.; Homfeld, I.K.
#--------------------
# Description_Notes_and_Keywords
#   Description:
#--------------------
# Publication
# Authors:
# Published_Date_or_Year:
# Published_Title:
# Journal_Name:
# Volume:
# Edition:
# Issue:
# Pages:
# DOI:
# Full_Citation:
# Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Spatsum Fan
#   Location: Canada
#   Northernmost_Latitude: 50.54
#   Southernmost_Latitude: 50.54
#   Easternmost_Longitude: -121.27
#   Westernmost_Longitude: -121.27
#   Elevation_m: 490
#--------------------
# Data_Collection
#   Collection_Name: CAN679e
#   First_Year: 1719
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SP01AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP01AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP02AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP02AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP02BBUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP02BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP03AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP03AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP03BBUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP03BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP05AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP05AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP05BBUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP05BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP06AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP06AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP06BBUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP06BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP07AAUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP07AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP07BBUn_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SP07BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SP01AAUn_raw	SP02AAUn_raw	SP02BBUn_raw	SP03AAUn_raw	SP03BBUn_raw	SP05AAUn_raw	SP05BBUn_raw	SP06AAUn_raw	SP06BBUn_raw	SP07AAUn_raw	SP07BBUn_raw
1735	NA	NA	NA	NA	NA	NA	NA	1.722	NA	NA	NA
1736	NA	NA	NA	NA	NA	NA	NA	1.147	NA	NA	NA
1737	NA	NA	NA	NA	NA	NA	NA	1.432	NA	NA	NA
1738	NA	NA	NA	NA	NA	NA	NA	1.275	NA	NA	NA
1739	NA	NA	NA	NA	NA	NA	NA	1.133	1.176	NA	NA
1740	NA	NA	NA	NA	NA	NA	NA	1.324	1.147	NA	NA
1741	NA	NA	NA	NA	NA	NA	NA	1.084	0.966	NA	NA
1742	NA	NA	NA	NA	NA	NA	NA	1.217	1.068	NA	NA
1743	NA	NA	NA	NA	NA	NA	NA	2.136	1.836	NA	NA
1744	NA	NA	NA	NA	NA	NA	NA	1.253	0.895	NA	NA
1745	NA	NA	NA	NA	NA	NA	NA	1.466	1.111	NA	NA
1746	NA	NA	NA	NA	NA	NA	NA	1.169	1.265	NA	NA
1747	NA	NA	NA	NA	NA	NA	NA	1.434	1.554	NA	NA
1748	NA	NA	NA	NA	NA	NA	NA	1.431	1.599	NA	NA
1749	NA	NA	NA	NA	NA	NA	NA	1.326	1.271	NA	NA
1750	NA	NA	NA	NA	NA	NA	NA	1.181	1.131	NA	NA
1751	NA	NA	NA	NA	NA	NA	NA	1.401	1.642	NA	NA
1752	NA	NA	NA	NA	NA	NA	NA	1.708	1.342	NA	NA
1753	NA	NA	NA	NA	NA	NA	NA	1.576	2.044	NA	NA
1754	NA	NA	NA	NA	NA	NA	NA	2.152	1.679	NA	NA
1755	NA	NA	NA	NA	NA	NA	NA	1.422	1.664	NA	NA
1756	NA	NA	NA	NA	NA	NA	NA	0.987	1.263	NA	NA
1757	NA	NA	NA	NA	NA	NA	NA	1.208	1.339	NA	NA
1758	NA	NA	NA	NA	NA	NA	NA	1.194	1.32	NA	NA
1759	NA	NA	NA	NA	NA	NA	NA	0.306	0.44	NA	NA
1760	NA	NA	NA	NA	NA	NA	NA	0.344	0.531	NA	NA
1761	NA	NA	NA	NA	NA	NA	NA	0.559	0.668	NA	NA
1762	NA	NA	NA	NA	NA	NA	NA	1.325	1.73	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	1.657	1.549	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	1.266	1.246	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	1.382	1.313	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	1.988	1.554	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	0.703	1.031	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	1.266	0.876	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	1.117	1.074	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	0.877	0.759	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	0.772	0.744	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	1.032	1.096	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	1.374	1.601	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	1.51	1.353	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	1.295	1.267	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	0.833	0.719	NA	NA
1777	NA	NA	NA	NA	NA	NA	NA	1.113	0.924	NA	NA
1778	NA	NA	NA	NA	NA	NA	NA	1.178	1.26	NA	NA
1779	NA	NA	NA	NA	NA	NA	NA	1.149	1.102	NA	NA
1780	0.827	NA	NA	NA	NA	NA	NA	0.883	1.299	NA	NA
1781	0.747	NA	NA	NA	NA	NA	NA	0.804	1.171	NA	NA
1782	0.488	NA	NA	NA	NA	NA	NA	0.934	0.867	NA	NA
1783	0.583	NA	NA	NA	NA	NA	NA	0.628	0.839	NA	NA
1784	0.696	NA	NA	NA	NA	NA	NA	0.864	1.218	NA	NA
1785	0.667	NA	NA	NA	NA	NA	NA	0.753	0.543	NA	NA
1786	0.556	NA	NA	NA	NA	NA	NA	0.939	0.729	NA	NA
1787	0.357	NA	NA	NA	NA	NA	NA	0.383	0.512	NA	NA
1788	0.479	NA	NA	NA	NA	NA	NA	1.227	0.833	NA	NA
1789	0.695	NA	NA	NA	NA	NA	NA	0.601	0.695	NA	NA
1790	0.662	NA	NA	NA	NA	NA	NA	0.796	0.7	NA	NA
1791	0.488	NA	NA	NA	NA	NA	NA	0.856	1.079	NA	NA
1792	0.86	NA	NA	NA	NA	NA	NA	0.951	1.023	NA	NA
1793	0.659	NA	NA	NA	NA	NA	NA	1.144	1.18	NA	NA
1794	0.525	NA	NA	NA	NA	NA	NA	0.669	0.824	NA	NA
1795	0.55	NA	NA	NA	NA	NA	NA	0.914	0.813	NA	NA
1796	0.809	NA	NA	NA	NA	NA	NA	0.771	0.911	NA	NA
1797	0.351	NA	NA	NA	NA	NA	NA	0.605	0.817	NA	NA
1798	0.586	NA	NA	NA	NA	NA	NA	0.615	0.435	NA	NA
1799	0.533	NA	NA	NA	NA	NA	NA	0.814	0.758	NA	NA
1800	0.578	NA	NA	NA	NA	NA	NA	0.872	1.009	NA	NA
1801	0.694	NA	NA	NA	NA	NA	NA	0.931	0.551	NA	NA
1802	1.268	NA	NA	NA	NA	NA	NA	1.159	1.313	NA	NA
1803	0.87	NA	NA	NA	NA	NA	NA	1.096	1.348	NA	NA
1804	1.271	NA	NA	NA	NA	NA	NA	1.075	0.973	NA	NA
1805	0.163	NA	NA	NA	NA	NA	NA	0.861	1.258	NA	NA
1806	0.362	NA	NA	NA	NA	NA	NA	1.27	1.463	NA	NA
1807	0.86	NA	NA	NA	NA	NA	NA	1.09	0.877	NA	NA
