# Coulthard - Spatsum Fan Update - PIPO - ITRDB CAN679
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/37372
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-37372.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can679l-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can679l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/can679l.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2023-01-30
#--------------------
# File_Last_Modified_Date
#   Date: 2023-01-30
#--------------------
# Title
#   Study_Name: Coulthard - Spatsum Fan Update - PIPO - ITRDB CAN679
#--------------------
# Investigators
#   Investigators: Coulthard, B.L.; Anchukaitis, K.J.; Brice, R.L.; Homfeld, I.K.
#--------------------
# Description_Notes_and_Keywords
#   Description:
#--------------------
# Publication
# Authors:
# Published_Date_or_Year:
# Published_Title:
# Journal_Name:
# Volume:
# Edition:
# Issue:
# Pages:
# DOI:
# Full_Citation:
# Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Spatsum Fan
#   Location: Canada
#   Northernmost_Latitude: 50.54
#   Southernmost_Latitude: 50.54
#   Easternmost_Longitude: -121.27
#   Westernmost_Longitude: -121.27
#   Elevation_m: 490
#--------------------
# Data_Collection
#   Collection_Name: CAN679l
#   First_Year: 1719
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SP01AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP01AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP02AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP02AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP02BBUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP02BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP03AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP03AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP03BBUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP03BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP05AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP05AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP05BBUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP05BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP06AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP06AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP06BBUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP06BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP07AAUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP07AAUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SP07BBUn_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: SP07BBUn_raw; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SP01AAUn_raw	SP02AAUn_raw	SP02BBUn_raw	SP03AAUn_raw	SP03BBUn_raw	SP05AAUn_raw	SP05BBUn_raw	SP06AAUn_raw	SP06BBUn_raw	SP07AAUn_raw	SP07BBUn_raw
1735	NA	NA	NA	NA	NA	NA	NA	0.441	NA	NA	NA
1736	NA	NA	NA	NA	NA	NA	NA	0.24	NA	NA	NA
1737	NA	NA	NA	NA	NA	NA	NA	0.607	NA	NA	NA
1738	NA	NA	NA	NA	NA	NA	NA	1.237	NA	NA	NA
1739	NA	NA	NA	NA	NA	NA	NA	0.361	0.442	NA	NA
1740	NA	NA	NA	NA	NA	NA	NA	0.457	0.434	NA	NA
1741	NA	NA	NA	NA	NA	NA	NA	0.234	0.191	NA	NA
1742	NA	NA	NA	NA	NA	NA	NA	0.401	0.568	NA	NA
1743	NA	NA	NA	NA	NA	NA	NA	0.515	0.484	NA	NA
1744	NA	NA	NA	NA	NA	NA	NA	0.453	0.335	NA	NA
1745	NA	NA	NA	NA	NA	NA	NA	0.292	0.405	NA	NA
1746	NA	NA	NA	NA	NA	NA	NA	0.466	0.348	NA	NA
1747	NA	NA	NA	NA	NA	NA	NA	0.424	0.473	NA	NA
1748	NA	NA	NA	NA	NA	NA	NA	0.389	0.452	NA	NA
1749	NA	NA	NA	NA	NA	NA	NA	0.308	0.258	NA	NA
1750	NA	NA	NA	NA	NA	NA	NA	0.318	0.476	NA	NA
1751	NA	NA	NA	NA	NA	NA	NA	0.498	0.553	NA	NA
1752	NA	NA	NA	NA	NA	NA	NA	0.44	0.43	NA	NA
1753	NA	NA	NA	NA	NA	NA	NA	0.863	0.532	NA	NA
1754	NA	NA	NA	NA	NA	NA	NA	0.548	0.7	NA	NA
1755	NA	NA	NA	NA	NA	NA	NA	0.335	0.41	NA	NA
1756	NA	NA	NA	NA	NA	NA	NA	0.251	0.445	NA	NA
1757	NA	NA	NA	NA	NA	NA	NA	0.217	0.297	NA	NA
1758	NA	NA	NA	NA	NA	NA	NA	0.13	0.17	NA	NA
1759	NA	NA	NA	NA	NA	NA	NA	0.055	0.184	NA	NA
1760	NA	NA	NA	NA	NA	NA	NA	0.079	0.053	NA	NA
1761	NA	NA	NA	NA	NA	NA	NA	0.095	0.249	NA	NA
1762	NA	NA	NA	NA	NA	NA	NA	0.284	0.274	NA	NA
1763	NA	NA	NA	NA	NA	NA	NA	0.21	0.259	NA	NA
1764	NA	NA	NA	NA	NA	NA	NA	0.308	0.192	NA	NA
1765	NA	NA	NA	NA	NA	NA	NA	0.394	0.319	NA	NA
1766	NA	NA	NA	NA	NA	NA	NA	0.426	0.388	NA	NA
1767	NA	NA	NA	NA	NA	NA	NA	0.232	0.234	NA	NA
1768	NA	NA	NA	NA	NA	NA	NA	0.221	0.164	NA	NA
1769	NA	NA	NA	NA	NA	NA	NA	0.352	0.303	NA	NA
1770	NA	NA	NA	NA	NA	NA	NA	0.07	0.077	NA	NA
1771	NA	NA	NA	NA	NA	NA	NA	0.175	0.205	NA	NA
1772	NA	NA	NA	NA	NA	NA	NA	0.154	0.177	NA	NA
1773	NA	NA	NA	NA	NA	NA	NA	0.162	0.182	NA	NA
1774	NA	NA	NA	NA	NA	NA	NA	0.272	0.179	NA	NA
1775	NA	NA	NA	NA	NA	NA	NA	0.4	0.278	NA	NA
1776	NA	NA	NA	NA	NA	NA	NA	0.15	0.124	NA	NA
1777	NA	NA	NA	NA	NA	NA	NA	0.232	0.241	NA	NA
1778	NA	NA	NA	NA	NA	NA	NA	0.253	0.253	NA	NA
1779	NA	NA	NA	NA	NA	NA	NA	0.23	0.223	NA	NA
1780	0.084	NA	NA	NA	NA	NA	NA	0.254	0.266	NA	NA
1781	0.251	NA	NA	NA	NA	NA	NA	0.107	0.124	NA	NA
1782	0.074	NA	NA	NA	NA	NA	NA	0.179	0.279	NA	NA
1783	0.15	NA	NA	NA	NA	NA	NA	0.121	0.082	NA	NA
1784	0.219	NA	NA	NA	NA	NA	NA	0.12	0.145	NA	NA
1785	0.262	NA	NA	NA	NA	NA	NA	0.228	0.156	NA	NA
1786	0.077	NA	NA	NA	NA	NA	NA	0.218	0.108	NA	NA
1787	0.045	NA	NA	NA	NA	NA	NA	0.081	0.078	NA	NA
1788	0.106	NA	NA	NA	NA	NA	NA	0.163	0.112	NA	NA
1789	0.119	NA	NA	NA	NA	NA	NA	0.149	0.161	NA	NA
1790	0.093	NA	NA	NA	NA	NA	NA	0.16	0.098	NA	NA
1791	0.158	NA	NA	NA	NA	NA	NA	0.216	0.209	NA	NA
1792	0.118	NA	NA	NA	NA	NA	NA	0.184	0.187	NA	NA
1793	0.137	NA	NA	NA	NA	NA	NA	0.127	0.203	NA	NA
1794	0.079	NA	NA	NA	NA	NA	NA	0.094	0.151	NA	NA
1795	0.118	NA	NA	NA	NA	NA	NA	0.128	0.105	NA	NA
1796	0.171	NA	NA	NA	NA	NA	NA	0.11	0.146	NA	NA
1797	0.068	NA	NA	NA	NA	NA	NA	0.087	0.125	NA	NA
1798	0.119	NA	NA	NA	NA	NA	NA	0.129	0.174	NA	NA
1799	0.104	NA	NA	NA	NA	NA	NA	0.16	0.147	NA	NA
1800	0.064	NA	NA	NA	NA	NA	NA	0.3	0.299	NA	NA
1801	0.175	NA	NA	NA	NA	NA	NA	0.116	0.144	NA	NA
1802	0.164	NA	NA	NA	NA	NA	NA	0.133	0.27	NA	NA
1803	0.147	NA	NA	NA	NA	NA	NA	0.266	0.397	NA	NA
1804	0.227	NA	NA	NA	NA	NA	NA	0.184	0.115	NA	NA
1805	0.05	NA	NA	NA	NA	NA	NA	0.18	0.262	NA	NA
1806	0.094	NA	NA	NA	NA	NA	NA	0.206	0.255	NA	NA
1807	0.192	NA	NA	NA	NA	NA	NA	0.161	0.103	NA	NA
1808	0.113	NA	NA	0.218	NA	NA	NA	0.1	0.121	NA	NA
1809	0.054	NA	NA	0.214	NA	NA	NA	0.091	0.108	NA	NA
1810	0.036	NA	NA	0.171	NA	NA	NA	0.108	0.128	NA	NA
1811	0.045	NA	NA	0.284	NA	NA	NA	0.091	0.139	NA	NA
1812	0.063	NA	NA	0.254	NA	NA	NA	0.102	0.095	NA	NA
1813	0.076	NA	NA	0.19	NA	NA	NA	0.084	0.081	NA	NA
1814	0.046	NA	NA	0.28	NA	NA	NA	0.094	0.075	NA	NA
1815	0.032	NA	NA	0.271	NA	NA	NA	0.098	0.074	NA	NA
1816	0.078	NA	NA	0.31	0.207	NA	NA	0.075	0.068	NA	NA
1817	0.041	NA	NA	0.248	0.166	NA	NA	0.07	0.068	NA	NA
1818	0.046	NA	NA	0.384	0.313	NA	NA	0.142	0.189	NA	NA
1819	0.105	NA	NA	0.357	0.443	NA	NA	0.094	0.108	NA	NA
1820	0.057	NA	NA	0.215	0.329	NA	NA	0.089	0.117	NA	NA
1821	0.118	NA	NA	0.515	0.515	NA	NA	0.16	0.309	NA	NA
1822	0.099	NA	NA	0.423	0.544	NA	NA	0.125	0.166	NA	NA
1823	0.099	NA	NA	0.152	0.141	NA	NA	0.055	0.074	NA	NA
1824	0.079	NA	NA	0.408	0.925	NA	NA	0.141	0.212	NA	NA
1825	0.074	NA	NA	0.534	0.634	NA	NA	0.114	0.07	NA	NA
1826	0.072	NA	NA	0.485	0.628	NA	NA	0.057	0.126	NA	NA
1827	0.179	NA	NA	0.373	0.492	NA	NA	0.088	0.1	NA	NA
1828	0.146	NA	NA	0.417	0.539	NA	NA	0.073	0.162	NA	NA
1829	0.102	NA	NA	0.356	0.419	NA	NA	0.056	0.083	NA	NA
1830	0.117	NA	NA	0.564	0.447	NA	NA	0.09	0.314	NA	NA
1831	0.052	NA	NA	0.529	0.459	NA	NA	0.091	0.115	0.133	NA
1832	0.066	NA	NA	0.563	0.579	NA	NA	0.084	0.093	0.267	NA
1833	0	NA	NA	0.209	0.188	NA	NA	0.047	0.034	0.096	NA
1834	0.047	NA	NA	0.438	0.675	NA	NA	0.056	0.103	0.515	NA
1835	0.055	NA	NA	0.371	0.31	NA	NA	0.07	0.072	0.111	NA
1836	0.052	NA	NA	0.479	0.522	NA	NA	0.071	0.068	0.608	NA
1837	0.061	NA	NA	0.267	0.2	NA	NA	0.076	0.09	0.367	NA
1838	0.038	NA	NA	0.33	0.185	NA	NA	0.084	0.083	0.171	NA
1839	0.045	0.54	NA	0.337	0.511	NA	NA	0.082	0.037	0.247	0.37
1840	0.073	0.54	NA	0.444	0.433	NA	NA	0.092	0.107	0.434	0.697
1841	0.055	0.907	NA	0.303	0.242	NA	NA	0.088	0.088	0.11	0.101
1842	0.129	0.287	NA	0.329	0.226	NA	NA	0.053	0.064	0.081	0.081
1843	0.021	0.421	NA	0.136	0.129	NA	NA	0.053	0.04	0.023	0.049
1844	0.017	0.091	NA	0.326	0.454	NA	NA	0.062	0.053	0.179	0.085
1845	0.06	0.042	NA	0.254	0.261	NA	NA	0.102	0.104	0.217	0.149
1846	0.058	0.83	NA	0.297	0.209	NA	NA	0.046	0.044	0.187	0.149
1847	0.038	0.485	NA	0.296	0.193	NA	NA	0.051	0.092	0.231	0.118
1848	0.044	0.62	NA	0.341	0.196	NA	NA	0.081	0.053	0.3	0.159
1849	0.042	0.29	NA	0.292	0.259	NA	NA	0.084	0.115	0.291	0.158
1850	0.041	0.287	NA	0.275	0.215	NA	NA	0.08	0.115	0.146	0.219
1851	0.019	0.435	NA	0.507	0.48	NA	NA	0.078	0.084	0.326	0.17
1852	0.03	0.292	NA	0.337	0.267	NA	NA	0.072	0.134	0.307	0.162
1853	0.041	0.544	NA	0.301	0.316	NA	NA	0.092	0.047	0.317	0.323
1854	0.031	0.254	NA	0.176	0.203	NA	NA	0.074	0.099	0.167	0.219
1855	0.042	0.135	NA	0.219	0.249	NA	NA	0.059	0.1	0.35	0.16
1856	0.039	0.075	NA	0.341	0.236	NA	NA	0.076	0.062	0.382	0.166
1857	0.058	0.191	NA	0.363	0.435	NA	NA	0.1	0.068	0.41	0.27
1858	0.039	0.156	NA	0.494	0.56	NA	NA	0.083	0.078	0.607	0.256
1859	0.063	0.115	0.084	0.183	0.285	NA	NA	0.072	0.069	0.207	0.116
1860	0.052	0.097	0.237	0.278	0.496	NA	NA	0.059	0.061	0.409	0.207
1861	0.103	0.117	0.162	0.143	0.121	NA	NA	0.07	0.024	0.144	0.114
1862	0.062	0.169	0.826	0.512	0.345	NA	NA	0.045	0.035	0.52	0.419
1863	0.104	0.673	0.448	0.202	0.132	NA	NA	0.066	0.056	0.155	0.144
1864	0.151	0.435	0.702	0.287	0.347	NA	NA	0.059	0.055	0.547	0.271
1865	0.12	0.419	0.447	0.225	0.136	NA	0.241	0.079	0.059	0.213	0.173
1866	0.142	0.299	1.142	0.256	0.227	NA	0.285	0.086	0.069	0.422	0.262
1867	0.139	0.543	0.797	0.314	0.296	NA	0.517	0.059	0.09	0.412	0.373
1868	0.062	0.44	0.438	0.275	0.166	NA	0.615	0.051	0.043	0.241	0.156
1869	0.063	0.219	0.11	0.089	0.082	NA	0.301	0	0	0.07	0.051
1870	0.031	0.057	0.138	0.245	0.233	NA	0.463	0.035	0.031	0.233	0.136
1871	0.021	0.111	0.079	0.28	0.249	0.516	0.376	0.079	0.049	0.182	0.102
1872	0.031	0.097	0.31	0.336	0.234	0.359	0.701	0.052	0.061	0.171	0.09
1873	0.047	0.177	0.364	0.214	0.21	0.549	0.69	0.04	0.06	0.125	0.099
1874	0.034	0.179	0.197	0.27	0.245	0.529	0.602	0.094	0.083	0.209	0.173
1875	0.053	0.113	0.083	0.095	0.115	0.716	0.633	0.065	0.057	0.134	0.107
1876	0.07	0.113	0.205	0.113	0.136	0.601	0.748	0.035	0.055	0.173	0.099
1877	0.527	0.27	0.415	0.233	0.388	1.28	1.405	0.09	0.074	0.372	0.243
1878	0.614	0.41	0.415	0.355	0.273	1.242	1.836	0.084	0.127	0.32	0.256
1879	0.644	0.281	0.398	0.235	0.317	0.552	1.407	0.068	0.064	0.386	0.385
1880	0.431	0.167	0.199	0.29	0.276	0.701	0.799	0.145	0.111	0.348	0.357
1881	0.555	0.805	0.399	0.473	0.274	0.959	0.859	0.202	0.146	0.352	0.287
1882	0.576	0.26	0.292	0.266	0.26	1.17	1.129	0.1	0.07	0.332	0.263
1883	0.235	0.102	0.195	0.167	0.168	0.963	1.219	0.095	0.073	0.244	0.089
1884	0.302	0.083	0.1	0.169	0.165	1.096	0.676	0.095	0.07	0.411	0.295
1885	0.407	0.077	0.168	0.239	0.326	1.368	1.459	0.103	0.094	0.495	0.415
1886	0.322	0.163	0.212	0.181	0.108	0.697	0.523	0.113	0.082	0.083	0.104
1887	0.03	0.056	0.096	0.142	0.158	0.525	0.681	0.07	0.061	0.13	0.102
1888	0.22	0.135	0.272	0.552	0.644	1.003	1.12	0.118	0.131	0.259	0.367
1889	0.087	0.14	0.17	0.224	0.188	0.497	0.23	0.105	0.092	0.087	0.111
1890	0.062	0.08	0.113	0.201	0.144	0.341	0.368	0.108	0.045	0.16	0.133
1891	0.13	0.149	0.366	0.369	0.291	0.453	0.606	0.101	0.094	0.185	0.22
1892	0.174	0.331	0.504	0.123	0.144	0.333	0.249	0.075	0.081	0.168	0.082
1893	0.101	0.13	0.246	0.25	0.272	0.481	0.324	0.107	0.095	0.092	0.13
1894	0.425	0.372	0.65	0.198	0.218	0.639	0.634	0.117	0.074	0.239	0.094
1895	0.554	0.418	0.601	0.303	0.199	0.889	0.662	0.14	0.136	0.185	0.154
1896	0.53	0.164	0.665	0.154	0.089	0.247	0.449	0.062	0.085	0.096	0.109
1897	0.933	0.261	0.391	0.43	0.293	0.854	0.711	0.158	0.138	0.265	0.256
1898	0.804	0.327	0.633	0.265	0.214	0.293	0.464	0.178	0.089	0.099	0.147
1899	0.552	0.244	0.287	0.095	0.101	0.115	0.289	0.082	0.035	0.093	0.075
1900	1.248	0.532	0.603	0.339	0.255	0.881	0.878	0.238	0.147	0.191	0.368
1901	1.167	0.493	0.841	0.321	0.203	0.462	0.643	0.244	0.186	0.149	0.138
1902	1.238	0.187	0.205	0.421	0.188	0.568	0.279	0.149	0.092	0.147	0.137
1903	1.383	0.412	0.603	0.275	0.29	0.421	0.639	0.176	0.094	0.607	0.651
1904	0.959	0.5	0.593	0.249	0.168	0.31	0.371	0.096	0.088	0.195	0.164
1905	1.263	0.394	0.507	0.282	0.266	0.524	0.461	0.194	0.157	0.177	0.16
1906	0.964	0.288	0.344	0.169	0.105	0.211	0.254	0.094	0.071	0.103	0.107
1907	0.84	0.352	0.479	0.26	0.356	0.288	0.409	0.213	0.111	0.252	0.191
1908	0.65	0.243	0.294	0.096	0.186	0.187	0.268	0.112	0.075	0.135	0.102
1909	0.771	0.374	0.395	0.125	0.188	0.313	0.272	0.128	0.096	0.208	0.172
1910	0.463	0.244	0.408	0.079	0.089	0.134	0.21	0.074	0.068	0.084	0.09
1911	0.413	0.101	0.219	0.132	0.11	0.264	0.26	0.115	0.05	0.147	0.124
1912	0.632	0.189	0.229	0.325	0.313	0.296	0.406	0.093	0.048	0.283	0.175
1913	0.355	0.152	0.154	0.14	0.091	0.144	0.161	0.058	0.053	0.059	0.123
1914	0.71	0.211	0.277	0.155	0.146	0.126	0.118	0.105	0.044	0.123	0.164
1915	0.993	0.401	0.45	0.408	0.353	0.215	0.253	0.183	0.141	0.139	0.176
1916	0.699	0.355	0.406	0.351	0.169	0.203	0.169	0.11	0.1	0.182	0.299
1917	0.858	0.157	0.203	0.1	0.086	0.084	0.067	0.112	0.066	0.071	0.111
1918	0.435	0.084	0.13	0.089	0.097	0.103	0.115	0.073	0.059	0.043	0.092
1919	0.88	0.203	0.319	0.372	0.126	0.208	0.087	0.091	0.073	0.1	0.191
1920	0.51	0.076	0.151	0.094	0.082	0.066	0.076	0.067	0.043	0.057	0.099
1921	0.595	0.146	0.163	0.187	0.086	0.151	0.127	0.118	0.036	0.13	0.105
1922	0.552	0.076	0.125	0.092	0.115	0.057	0.041	0.066	0.036	0.051	0.033
1923	0.209	0.076	0.065	0.068	0.106	0.053	0.044	0.05	0	0.045	0.095
1924	0.427	0.129	0.101	0.108	0.069	0.098	0.073	0.1	0.039	0.109	0.097
1925	0.193	0.069	0.067	0.052	0.037	0.049	0.052	0.05	0.038	0.083	0.067
1926	0.189	0.06	0.044	0.068	0.049	0.064	0.043	0.077	0.055	0.053	0.04
1927	0.346	0.087	0.089	0.061	0.079	0.064	0.093	0.041	0.023	0.085	0.052
1928	0.245	0.085	0.08	0.075	0.1	0.061	0.057	0.041	0.031	0.062	0.115
1929	0.103	0.029	0.059	0.045	0.042	0.049	0.03	0.047	0.054	0.034	0.059
1930	0.246	0.076	0.106	0.142	0.089	0.055	0.073	0.04	0.018	0.036	0.054
1931	0.302	0.102	0.086	0.109	0.059	0.041	0.056	0.043	0.028	0.039	0.054
1932	0.197	0.07	0.068	0.051	0.07	0.049	0.077	0.033	0.031	0.05	0.046
1933	0.144	0.044	0.085	0.08	0.066	0.032	0.063	0.064	0.059	0.031	0.04
1934	0.477	0.186	0.147	0.108	0.073	0.043	0.06	0.046	0.036	0.05	0.084
1935	0.228	0.06	0.073	0.172	0.096	0.141	0.094	0.066	0.037	0.073	0.055
1936	0.158	0.058	0.056	0.129	0.084	0.063	0.056	0.063	0.041	0.061	0.067
1937	0.247	0.106	0.115	0.163	0.136	0.102	0.104	0.063	0.05	0.087	0.091
1938	0.355	0.119	0.164	0.198	0.116	0.234	0.152	0.121	0.047	0.106	0.104
1939	0.392	0.185	0.157	0.216	0.108	0.166	0.12	0.098	0.043	0.117	0.084
1940	0.197	0.115	0.094	0.214	0.106	0.185	0.105	0.096	0.049	0.076	0.085
1941	0.246	0.075	0.092	0.141	0.095	0.164	0.109	0.095	0.055	0.094	0.126
1942	0.665	0.096	0.143	0.146	0.151	0.17	0.16	0.117	0.078	0.094	0.102
1943	0.269	0.096	0.164	0.093	0.145	0.103	0.102	0.081	0.049	0.142	0.154
1944	0.206	0.051	0.083	0.1	0.098	0.104	0.078	0.11	0.049	0.073	0.061
1945	0.315	0.092	0.168	0.082	0.071	0.092	0.085	0.082	0.047	0.059	0.056
1946	0.364	0.166	0.153	0.237	0.157	0.2	0.136	0.11	0.129	0.139	0.17
1947	0.467	0.088	0.156	0.129	0.138	0.139	0.175	0.108	0.1	0.056	0.088
1948	0.566	0.11	0.109	0.057	0.105	0.118	0.107	0.072	0.046	0.096	0.059
