# St. George - St. Jean Baptiste - QUMA - ITRDB CANA189
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4802
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4802.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana189-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana189-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana189.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana189.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-13
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-13
#--------------------
# Title
#   Study_Name: St. George - St. Jean Baptiste - QUMA - ITRDB CANA189
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: St. Jean Baptiste
#   Location: Manitoba
#   Northernmost_Latitude: 49.28
#   Southernmost_Latitude: 49.28
#   Easternmost_Longitude: -97.33
#   Westernmost_Longitude: -97.33
#   Elevation_m: 235
#--------------------
# Data_Collection
#   Collection_Name: CANA189
#   First_Year: 1883
#   Last_Year: 1997
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## j9801_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9801; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9802_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9802; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9803_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9803; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9804_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9804; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9805_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9805; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9806_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9806; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9807_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9807; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9808_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9808; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9809_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9809; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## j9810_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: j9810; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	j9801_raw	j9802_raw	j9803_raw	j9804_raw	j9805_raw	j9806_raw	j9807_raw	j9808_raw	j9809_raw	j9810_raw
1883	NA	NA	NA	0.717	NA	NA	NA	NA	NA	NA
1884	NA	NA	NA	1.114	NA	NA	NA	NA	NA	NA
1885	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA
1886	NA	NA	NA	1.163	NA	NA	NA	NA	NA	NA
1887	NA	NA	NA	1.73	NA	NA	NA	NA	NA	NA
1888	NA	NA	NA	2.318	NA	NA	NA	NA	NA	NA
1889	NA	NA	NA	1.952	NA	NA	NA	0.962	NA	NA
1890	NA	NA	NA	2.625	NA	NA	NA	1.38	NA	NA
1891	NA	NA	NA	3.597	NA	NA	NA	1.485	NA	NA
1892	NA	NA	NA	3.817	NA	3.141	NA	2.449	NA	NA
1893	NA	NA	NA	3.414	NA	4.35	NA	2.14	NA	NA
1894	NA	NA	NA	2.745	2.928	2.258	NA	2.114	NA	NA
1895	NA	NA	NA	3.046	1.96	2.52	NA	1.989	NA	NA
1896	NA	NA	NA	2.961	1.814	3.215	NA	3.444	NA	NA
1897	2.358	NA	NA	2.875	2.169	3.058	NA	3.182	NA	NA
1898	2.489	NA	NA	2.637	2.097	2.711	NA	3.295	0.875	NA
1899	2.946	NA	NA	2.995	1.809	3.263	NA	3.68	1.605	NA
1900	2.144	NA	NA	1.651	0.93	1.407	NA	2.345	0.419	1.554
1901	3.176	NA	NA	2.829	2.157	3.862	NA	2.888	2.086	7.604
1902	2.671	3.309	NA	2.277	2.95	2.569	NA	3	2.01	7.003
1903	1.692	2.329	NA	1.579	1.922	1.851	NA	2.033	0.914	2.944
1904	2.039	2.877	5.293	2.333	2.054	2.569	NA	2.388	1.332	2.545
1905	2.33	3.15	4.491	2.161	2.459	2.881	2.631	2.451	1.864	3.459
1906	2.343	2.646	2.863	1.964	2.512	2.611	2.524	2.364	2.013	3.186
1907	2.245	2.486	3.241	1.618	2.699	2.417	2.658	2.597	2.057	2.954
1908	1.711	1.755	2.798	1.381	2.13	1.6	1.998	2.132	1.768	2.315
1909	1.322	2.305	3.145	1.993	2.016	1.81	2.267	2.194	2.184	2.118
1910	1.135	1.655	1.979	1.242	1.983	0	1.654	1.557	0.939	1.763
1911	1.329	2.028	2.113	1.63	2.75	1.356	2.308	2.045	1.549	2.569
1912	1.532	2.127	2.076	1.966	2.852	1.685	2.85	2.227	1.477	2.428
1913	2.125	2.586	2.025	1.755	2.749	1.854	2.937	2.196	1.879	2.133
1914	1.923	1.96	2.105	1.52	2.615	1.833	2.576	1.911	2.233	1.826
1915	2.416	2.028	2.791	2.26	3.491	1.562	3.548	2.029	1.864	0.819
1916	3.543	2.388	2.661	2.834	4.458	3.857	3.573	2.401	3.041	2.254
1917	2.492	1.546	2.266	2.131	3.09	3.166	2.374	1.967	2.176	1.734
1918	3.454	2.345	2.594	2.347	3.513	3.721	3.798	2.514	3.163	2.761
1919	2.21	1.854	2.638	1.731	3.48	2.997	2.353	1.905	3.039	2.754
1920	2.369	2.118	2.395	1.059	4.235	3.341	2.785	2.166	2.686	2.186
1921	2.637	1.951	2.197	1.17	4.184	2.835	2.472	1.82	1.918	2.519
1922	2.582	1.751	1.959	1.198	3.922	2.151	2.225	2.159	1.901	2.623
1923	2.136	2.531	1.977	1.002	3.552	2.414	1.98	1.98	2.326	2.458
1924	3.34	3.435	2.041	1.31	3.158	2.452	3.313	2.29	3.17	2.924
1925	3.794	3.241	2.606	1.375	3.629	2.964	4.333	2.471	3.387	3.541
1926	4.137	2.957	2.659	1.137	2.953	2.803	3.398	2.499	2.723	2.525
1927	3.987	3.009	2.145	1.295	2.61	2.654	2.949	2.491	3.108	2.388
1928	5.515	3.979	3.281	1.309	3.947	3.883	4.559	2.639	4.421	3.049
1929	4.113	3.171	2.316	1.25	2.193	3.003	3.786	2.411	3.059	2.814
1930	3.947	3.123	2.513	1.207	2.71	2.585	3.867	1.651	3.302	3.137
1931	4.605	3.414	2.527	0.943	2.147	2.298	3.567	2.048	3.513	2.777
1932	4.305	3.277	2.86	1.331	2.429	2.471	4.048	2.291	3.43	2.599
1933	3.83	3.697	2.724	1.48	2.672	2.56	4.571	1.25	3.484	2.654
1934	4.194	3.194	2.493	0.864	2.025	2.11	5.055	1.121	2.771	2.752
1935	4.03	3.4	2.884	1.175	2.111	2.156	5.06	1.008	3.083	2.658
1936	3.282	2.747	1.863	0.842	1.519	1.611	3.25	0.668	1.901	1.878
1937	3.663	4.056	2.463	1.306	1.764	1.771	4.651	0.901	2.858	2.303
1938	2.811	2.115	1.709	0.86	1.731	1.645	3.122	0.76	2.005	2.158
1939	2.169	1.917	1.388	0.677	1.651	1.251	2.111	0.652	2.012	2.02
1940	2.086	2.578	1.251	0.598	1.283	1.338	2.581	0.717	1.946	1.946
1941	3.215	3.398	2.067	1.273	2.314	1.467	3.888	1.135	2.955	2.681
1942	2.841	3.01	1.71	0.989	1.859	1.458	3.575	1.226	2.131	2
1943	2.277	2.373	1.464	1.025	1.754	1.456	3.011	0.992	1.905	1.703
1944	2.542	3.457	1.767	0.896	2.023	1.596	3.479	1.044	1.815	2.123
1945	3.197	2.597	1.843	1.166	2.563	1.827	3.625	1.291	2.139	2.441
1946	2.3	1.982	1.14	0.743	1.935	1.309	2.615	1.087	1.685	1.912
1947	2.815	2.436	1.9	1.404	2.329	1.86	3.143	1.241	2.177	2.097
1948	3.809	2.817	2.271	2.048	2.72	2.182	2.762	2.064	2.803	2.78
1949	3.147	3.081	2.017	1.886	2.649	1.307	3.734	1.807	2.117	2.183
1950	3.616	2.955	2.236	2.675	2.876	2.198	3.487	2.021	3.089	2.52
1951	2.75	3.106	1.751	1.519	2.589	1.719	3.562	1.829	2.095	2.168
1952	2.329	2.572	1.539	1.524	2.21	1.337	3.163	1.43	1.883	1.949
1953	3.128	3.046	1.843	2.063	3.285	2.13	3.268	1.979	2.213	2.07
1954	2.363	2.578	1.714	1.451	2.923	1.763	2.714	1.45	1.948	1.981
1955	2.325	2.953	1.491	1.277	2.826	1.222	2.37	1.306	1.551	1.708
1956	2.251	2.333	1.607	1.619	2.81	1.391	2.141	1.133	1.682	1.658
1957	2.804	3.75	1.895	2.125	3.643	2.201	2.815	1.944	2.013	2.192
1958	1.73	2.483	1.327	1.166	2.268	1.966	1.919	1.445	1.721	1.421
1959	1.866	2.272	1.556	1.514	2.544	1.178	1.964	1.428	1.623	1.695
1960	1.519	1.604	0.935	0.863	1.973	1.181	1.675	1.145	1.216	1.671
1961	1.625	1.589	1.427	1.033	1.713	1.083	1.716	0.843	1.442	1.38
1962	1.811	2.065	1.527	0.924	1.972	1.128	1.602	0.826	1.82	1.325
1963	1.626	1.566	1.425	1.057	1.635	1.067	1.416	0.897	1.332	1.333
1964	1.479	2.193	1.425	0.955	1.91	1.02	1.867	1.047	1.652	1.517
1965	1.554	2.16	1.184	1.046	1.705	0.981	1.609	0.825	1.539	1.296
1966	1.208	2.116	1.361	1.104	1.763	0.938	1.723	0.915	1.591	1.423
1967	1.033	1.483	1.087	0.891	1.365	0.649	1.412	0.765	1.019	1.009
1968	1.464	2.182	1.121	1.007	1.781	0.929	2.125	0.979	1.334	1.201
1969	1.636	2.18	1.216	1.169	2.27	1.05	1.958	0.971	1.557	1.621
1970	1.406	1.473	1.187	0.943	1.875	0.778	1.93	0.816	1.194	1.194
1971	0.929	1.386	1.383	0.92	1.597	0.628	2.468	0.878	1.085	1.404
1972	0.752	1.206	1.108	0.604	1.221	0.613	1.643	0.602	0.759	1.025
1973	1.037	1.983	1.598	1.033	1.799	0.786	2.229	0.989	1.38	1.333
1974	1.061	1.481	1.337	0.895	1.644	0.83	1.705	1.037	1.181	1.28
1975	1.27	1.671	1.444	1.063	1.612	0.749	1.992	1.059	1.161	1.184
1976	0.884	1.291	1.314	0.755	1.498	0.55	1.72	0.847	0.929	1.085
1977	0.667	1.485	1.636	0.639	0.962	0.558	1.742	0.771	0.861	0.835
1978	0.908	1.645	1.949	1.066	1.291	0.678	2.367	0.985	1.224	1.212
1979	0.966	0.955	1.955	0.883	1.027	0.68	2.38	1.005	1.152	1.221
1980	0.81	0.962	1.3	0.655	0.817	0.931	1.409	0.673	0.486	1.614
1981	0.844	1.173	1.837	0.94	1.652	0.499	2.478	0.751	0.802	1.072
1982	0.709	1.139	1.781	0.842	1.482	0.534	2.344	0.738	0.683	0.91
1983	1.007	1.128	1.824	0.791	1.488	0.545	2.207	0.667	0.841	0.897
1984	0.938	0.976	1.589	0.809	1.427	0.48	2.018	0.733	0.867	0.924
1985	0.934	0.993	1.477	0.779	1.222	0.635	2.022	0.675	0.865	0.948
1986	0.975	1.087	1.623	0.783	1.636	0.561	2.054	0.658	0.942	1.194
1987	1.022	1.022	1.742	0.807	1.684	0.554	1.682	1.02	1.13	0.728
1988	0.755	0.82	1.417	0.781	1.238	0.379	1.439	0.897	0.564	1.069
1989	0.869	1.149	1.861	0.784	1.328	0.373	1.541	1.263	0.83	1.042
1990	0.904	0.988	1.815	0.76	1.555	0.425	1.636	1.033	0.847	0.848
1991	0.811	0.847	1.494	0.753	1.194	0.395	1.346	0.929	0.679	1.632
1992	0.983	0.914	1.522	0.75	1.617	0.47	1.565	0.93	0.49	1.638
1993	1.012	0.919	1.6	0.909	1.794	0.513	2.138	1.197	0.899	1.624
1994	1.011	0.778	1.494	0.754	1.932	0.541	2.604	0.994	0.929	1.875
1995	1.35	1.212	1.645	0.947	1.933	0.467	2.844	1.106	0.865	2.957
1996	1.164	1.125	1.712	0.757	2.162	0.511	3.385	1.369	0.839	2.177
1997	1.576	1.1	2.184	1.056	2.675	0.567	3.377	1.691	1.283	NA
