# Copenheaver - Pelham - ACSH - ITRDB CANA636
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/33832
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-33832.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana636-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana636-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana636.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana636.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-08-02
#--------------------
# File_Last_Modified_Date
#   Date: 2021-08-02
#--------------------
# Title
#   Study_Name: Copenheaver - Pelham - ACSH - ITRDB CANA636
#--------------------
# Investigators
#   Investigators: Copenheaver, C.A.(https://orcid.org/0000-0003-1778-3593); Pisaric, M.F.J.; Shumaker, K.L.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2021-10-19.
#--------------------
# Publication
#   Authors: Carolyn A. Copenheaver, Ketia L. Shumaker, Brittany M. Butcher, George E.Hahn, La'Portia J. Perkins
#   Journal_Name: Dendrochronologia
#   Published_Title: Dendroclimatology of sugar maple (Acer saccharum): Climate-growth response in a late-successional species
#   Published_Date_or_Year: 2020
#   Volume: 63
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 10.1016/j.dendro.2020.125747
#   Full_Citation: None
#   Abstract: Sugar maple (Acer saccharum) is a shade-tolerant, late successional dominant species in the North American eastern deciduous forest. The objective of this study was to quantify the relationship between climate and radial growth in sugar maple and to identify spatial and temporal patterns in dendroclimatic response. We used a combination of archived sugar maple tree-ring chronologies and newly sampled sites to calculate dendroclimatic response of sugar maple at 13 sites in the United States and Canada. At all sites, sugar maple growth was significantly correlated to monthly temperature, precipitation, or Palmer Drought Severity Index. However, there were no generalizable patterns in sugar maple's growth response to climate. Individual sites had unique dendroclimatic responses with respect to: a) which climatic variables were correlated to radial growth; b) what months had significant correlations between climate and radial growth; and c) what years had significant correlations between climate and radial growth. The individualistic dendroclimatic response of sugar maple appears to reflect a plastic response of the species to changes in climate perhaps related to its status as a strong competitor in late-successional forests. This ability to survive a wide range of environmental conditions may bode well for the species persistence under variable future climatic conditions. It also points to the need for more research on late-successional species in examining forest response to potential climate change scenarios because these species may be more resilient than early-successional species.
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US Department of Agriculture
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Pelham
#   Location: Ontario
#   Northernmost_Latitude: 43.0667
#   Southernmost_Latitude: 43.0667
#   Easternmost_Longitude: -79.2667
#   Westernmost_Longitude: -79.2667
#   Elevation_m: 185
#--------------------
# Data_Collection
#   Collection_Name: CANA636
#   First_Year: 1917
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## pusm01a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm01a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm01b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm01b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm04a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm04a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm04b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm04b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm09a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm09a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm09b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm09b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm10a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm10a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm10b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm10b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm11b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm11b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm14b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm14b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm15b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm15b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm17a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm17a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm17b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm17b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm19a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm19a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm19b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm19b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm20a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm20a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm20b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm20b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm21a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm21a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm21b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm21b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm23a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm23a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm23b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm23b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm24a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm24a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm24b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm24b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm25a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm25a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## pusm25b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: pusm25b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	pusm01a_raw	pusm01b_raw	pusm02a_raw	pusm02b_raw	pusm03a_raw	pusm03b_raw	pusm04a_raw	pusm04b_raw	pusm05a_raw	pusm05b_raw	pusm06a_raw	pusm06b_raw	pusm07a_raw	pusm07b_raw	pusm09a_raw	pusm09b_raw	pusm10a_raw	pusm10b_raw	pusm11a_raw	pusm11b_raw	pusm14a_raw	pusm14b_raw	pusm15b_raw	pusm17a_raw	pusm17b_raw	pusm19a_raw	pusm19b_raw	pusm20a_raw	pusm20b_raw	pusm21a_raw	pusm21b_raw	pusm23a_raw	pusm23b_raw	pusm24a_raw	pusm24b_raw	pusm25a_raw	pusm25b_raw
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.942	NA	NA	1.848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.822	NA	NA	NA	0.498	NA	NA	1.334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.616	NA	NA	NA	0.616	NA	NA	1.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	0.148	NA	NA	0.666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.528	NA	NA	NA	0.214	NA	NA	1.048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1934	NA	NA	NA	NA	0.966	NA	NA	NA	NA	NA	NA	NA	3.284	NA	NA	NA	0.464	NA	NA	0.308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1935	NA	NA	NA	NA	1.018	NA	NA	NA	NA	NA	NA	NA	5.44	NA	NA	NA	0.638	NA	NA	0.392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1936	NA	NA	NA	NA	0.726	NA	1.106	NA	NA	NA	NA	NA	4.656	NA	NA	NA	0.32	NA	NA	0.176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1937	NA	NA	NA	NA	2.388	NA	0.63	NA	1.046	NA	NA	NA	2.15	NA	NA	NA	0.224	NA	NA	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	NA	1.326	NA	3.544	NA	0.64	NA	0.578	NA	NA	NA	6.572	NA	NA	NA	0.43	NA	NA	2.246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	NA	NA	0.286	NA	0.952	NA	2.572	NA	0.73	NA	NA	NA	3.384	3.468	NA	NA	0.814	NA	NA	0.704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1940	NA	NA	2.34	NA	1.136	1.22	0.52	NA	0.652	NA	NA	NA	1.832	2.944	NA	NA	1.538	NA	NA	0.938	NA	NA	1.616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1941	NA	NA	1.234	NA	2.178	1.572	0.658	NA	1.346	NA	NA	NA	3.196	3.564	NA	NA	2.152	NA	NA	2.652	NA	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1942	NA	NA	2.038	NA	0.918	0.678	0.326	NA	0.654	NA	NA	NA	1.478	1.972	NA	NA	1.238	NA	NA	2.374	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1943	NA	NA	1.758	NA	1.282	0.582	0.816	NA	1.22	NA	NA	NA	1.756	2.294	NA	NA	1.974	NA	0.754	2.73	NA	NA	2.012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	NA	NA	1.958	NA	1.168	0.63	0.856	1.246	1.55	NA	NA	NA	2.126	1.734	NA	NA	2.264	NA	3.21	3.354	NA	NA	1.816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	NA	NA	1.548	NA	1.118	0.714	1.074	1.35	1.818	NA	NA	NA	2.438	1.954	NA	NA	1.788	NA	3.172	3.87	NA	NA	1.258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1946	NA	NA	0.39	NA	0.528	0.574	0.59	0.484	2.13	NA	NA	NA	1.216	2.068	1.454	NA	0.48	NA	2.436	2.99	NA	NA	1.806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1947	NA	NA	1.592	NA	1.908	1.492	1.254	1.034	2.574	1.558	NA	NA	2.058	2.396	2.862	NA	0.78	NA	2.742	5.386	NA	NA	2.148	2.03	NA	NA	NA	NA	NA	NA	1.998	NA	NA	NA	NA	1.918	NA
1948	NA	NA	0.992	NA	1.402	1.442	0.782	1.266	2.09	1.522	NA	NA	1.968	2.226	1.542	2.718	0.424	NA	2.222	2.456	NA	NA	2.038	1.502	NA	NA	NA	NA	NA	NA	1.546	NA	1.336	1.376	NA	0.904	2.006
1949	NA	NA	1.452	NA	0.794	0.948	0.902	1.52	1.888	1.63	NA	NA	1.796	1.716	1.532	3.238	0.298	NA	2.092	2.004	NA	NA	1.45	0.944	1.022	NA	NA	NA	NA	1.16	1.006	0.828	0.922	0.85	NA	0.828	1.752
1950	NA	NA	2.068	3.102	1.044	1.466	1.884	2.318	3.156	4.022	NA	NA	2.272	2.458	2.202	2.286	0.822	NA	3.374	2.378	NA	NA	2.494	1.71	1.486	NA	NA	NA	NA	2.148	1.692	1.3	1.264	1.718	NA	1.708	2.206
1951	NA	5.89	2.106	2.186	1.436	1.864	2.088	2.942	4.098	3.522	NA	NA	2.92	2.872	2.054	3.036	0.73	NA	3.84	2.202	NA	NA	2.826	2.26	2.49	NA	NA	NA	NA	2.67	2.682	2.408	2.052	2.108	NA	1.42	2.272
1952	NA	4.564	1.918	1.836	0.894	1.134	1.54	2.118	2.482	2.308	1.272	NA	1.956	2.292	2.118	2.094	0.658	NA	3.176	1.47	2.266	NA	2.158	1.302	1.384	NA	NA	NA	NA	1.552	1.748	1.302	1.158	1.258	NA	1.102	1.478
1953	NA	4.156	3.056	2.612	0.992	1.562	2.382	2.798	4.142	3.986	2.008	NA	2.352	2.774	2.582	2.976	0.848	NA	4.408	2.014	3.246	NA	2.714	3.092	3.378	NA	NA	NA	NA	2.434	2.672	2.368	2.464	2.352	NA	1.484	1.47
1954	4.63	5	2.934	1.958	0.766	1.156	1.95	2.534	3.322	3.224	1.484	NA	2.408	2.444	1.828	2.02	1.568	NA	4.368	2.466	3.024	NA	2.676	1.86	1.818	NA	2.926	NA	NA	2.194	2.502	1.674	1.628	2.316	NA	1.21	1.052
1955	4.738	5.998	3.944	2.148	0.972	1.062	2.256	3.706	5.064	4.57	2.712	NA	2.57	2.358	1.788	2.386	3.092	NA	6.738	3.596	4.11	NA	2.942	2.58	3.236	NA	0.974	NA	NA	3.672	4.238	1.862	1.618	3.696	NA	1.314	1.156
1956	4.42	4.564	3.566	2.962	1.354	1.476	2.252	3.058	4.054	4.208	1.808	NA	2.872	2.578	2.202	2.194	2.478	3.37	5.196	2.814	2.89	2.16	2.794	3.576	2.924	3.742	2.852	NA	NA	3.674	4.448	2.604	2.272	3.816	3.392	1.388	1.298
1957	4.096	3.358	3.426	3.6	1.71	1.898	1.938	2.91	3.94	3.154	1.326	NA	2.804	2.702	2.3	1.9	2.956	3.216	6.12	3.55	1.962	1.516	3.284	2.764	2.77	2.664	2.464	NA	NA	3.748	3.992	2.144	1.522	3.854	3.582	1.622	1.522
1958	4.568	3.412	3.656	3.56	1.464	1.826	1.9	3.018	4.212	3.316	1.64	NA	2.212	2.362	2.44	2.136	3.18	3.168	6.302	3.9	2.228	2.156	2.712	2.572	2.868	2.292	2.408	NA	NA	3.634	3.116	2.072	1.648	4.274	3.656	1.808	1.824
1959	3.574	2.94	2.88	1.74	1.112	1.504	1.562	2.114	3.242	2.566	1.29	3.772	1.798	1.766	1.416	1.172	2.504	2.708	5.602	3.644	1.6	1.872	2.364	2.132	2.012	1.808	1.82	1.744	NA	2.716	1.898	1.946	1.298	3.844	3.598	1.118	1.272
1960	4.012	4.074	3.302	2	2.076	2.802	2.32	2.572	5.3	4.694	2.35	5.72	1.89	2.308	3.016	2.476	3.118	2.974	5.63	4.448	2.368	2.274	3.278	4.156	3.316	2.826	3.236	2.622	3.032	3.54	2.778	2.842	2.24	5.442	5.15	2.026	1.786
1961	3.554	3.238	3.306	2.566	2.704	3.482	3.186	3.416	4.462	6.158	3.424	4.588	3.328	3.004	2.818	2.346	3.04	3.046	6.672	5.264	2.51	2.42	3.024	3.912	4.228	3.24	3.652	2.87	3.354	3.196	3.298	2.774	2.288	6.138	5.594	1.566	1.458
