# Stefanuk - Frontenac Arch FR10 - ACSH - ITRDB CANA633
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32610
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32610.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana633-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana633-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana633.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana633.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR10 - ACSH - ITRDB CANA633
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR10
#   Location: Canada
#   Northernmost_Latitude: 44.575248
#   Southernmost_Latitude: 44.575248
#   Easternmost_Longitude: -76.520252
#   Westernmost_Longitude: -76.520252
#   Elevation_m: 134
#--------------------
# Data_Collection
#   Collection_Name: CANA633
#   First_Year: 1866
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 110FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 110FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 110FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 110FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 111FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 111FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 111FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 111FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 112FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 112FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 112FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 112FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 113FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 113FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 113FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 113FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 114FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 114FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 114FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 114FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 115FR10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 115FR10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 115FR10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 115FR10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 115FR10C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 115FR10C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	110FR10A_raw	110FR10B_raw	111FR10A_raw	111FR10B_raw	112FR10A_raw	112FR10B_raw	113FR10A_raw	113FR10B_raw	114FR10A_raw	114FR10B_raw	115FR10A_raw	115FR10B_raw	115FR10C_raw
1866	NA	NA	NA	1.295	NA	NA	NA	NA	NA	NA	NA	NA	NA
1867	NA	NA	NA	1.243	NA	NA	NA	NA	NA	NA	NA	NA	NA
1868	NA	NA	NA	0.191	0.817	0.702	NA	NA	NA	NA	NA	NA	NA
1869	NA	NA	NA	0.408	0.853	1.168	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	0.439	0.512	0.461	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	0.37	0.514	0.572	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	0.937	0.607	0.677	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	0.435	0.411	0.446	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	0.59	0.826	1.113	1.204	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	1.003	0.72	0.889	1.049	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	0.357	1.069	1.023	1.045	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	0.21	0.458	1.232	1.184	NA	1.309	NA	NA	NA	NA	NA
1878	NA	NA	1.504	0.332	0.46	0.315	NA	0.963	NA	NA	NA	NA	NA
1879	NA	NA	1.191	1.145	0.046	0.067	NA	2.022	NA	NA	NA	NA	NA
1880	NA	NA	1.036	0.917	1.401	1.154	NA	1.797	NA	NA	NA	NA	NA
1881	NA	NA	0.604	0.801	1.193	1.128	NA	1.319	NA	NA	NA	NA	NA
1882	NA	NA	2.178	1.089	1.061	1.134	NA	1.716	NA	NA	NA	NA	NA
1883	NA	NA	1.372	2.293	2.017	1.514	NA	1.113	NA	NA	NA	NA	NA
1884	NA	0.165	0.1	1.432	0.246	0.071	0.054	1.276	NA	NA	NA	NA	NA
1885	NA	0.139	2.368	2.041	2.902	2.103	0.594	1.189	NA	NA	NA	NA	NA
1886	NA	0.403	1.604	2.167	1.152	1.049	1.124	0.759	NA	NA	NA	NA	NA
1887	NA	0.276	1.739	1.725	1.505	1.309	0.422	0.527	1.541	NA	NA	NA	NA
1888	NA	0.233	2.554	1.25	1.545	1.125	0.435	1.506	2.43	NA	NA	NA	1.286
1889	NA	0.661	1.389	0	1.403	1.026	1.32	0.899	1.392	NA	NA	NA	1.799
1890	0.651	0.553	0.644	1.038	1.421	1.345	0.801	1.001	1.207	NA	NA	NA	1.579
1891	0.741	0.64	2.184	1.687	1	0.816	1.164	1.31	1.283	NA	NA	NA	1.011
1892	0.377	0.368	0.523	0.214	0.112	0.025	0.746	1.127	1	NA	NA	NA	0.857
1893	0.559	0.563	1.742	1.229	1.637	1.397	1.281	1.682	1.228	1.081	NA	NA	1.33
1894	0.526	0.494	0.214	0.137	0.443	0.14	1.191	1.116	0.88	1.33	NA	NA	0.998
1895	0.487	0.436	1.047	0.875	1.231	0.983	0.72	1.428	1.299	0.771	NA	NA	1.47
1896	0.638	0.612	1.321	1.132	0.978	0.679	0.994	1.237	0.802	0.903	NA	NA	0.91
1897	0.418	0.435	0.531	0.545	1.142	1.013	0.72	0.111	0.709	1.379	NA	NA	0.714
1898	0.055	0.045	0.106	0.066	0.717	0.694	0.034	1.203	1.483	1.703	NA	NA	1.054
1899	0.641	0.643	0.961	1.177	0.303	0.798	0.962	1.03	1.665	1.636	NA	NA	1.091
1900	1.278	1.28	1.567	1.588	0.715	1.15	0.685	0.675	1.388	2.097	NA	NA	1.432
1901	0.92	0.904	1.792	2.206	0.883	1.275	1.015	0.828	1.848	1.723	NA	NA	1.937
1902	0.677	0.71	1.869	1.957	1.393	0.865	1.091	1.181	1.06	1.214	NA	NA	1.597
1903	0.503	0.519	2.139	1.685	0.998	0.627	0.902	1.084	0.965	1.358	NA	NA	1.188
1904	0.832	0.866	2.396	1.892	0.985	0.812	1.166	1.135	0.677	1.5	NA	NA	0.787
1905	0.49	0.577	1.313	0.904	1.251	0.379	0.545	1.216	0.711	0.845	NA	NA	1.161
1906	0.603	0.704	1.21	0.969	0.477	0.708	0.791	1.446	0.735	1.123	NA	NA	0.662
1907	0.667	0.061	0.134	0.57	0.746	0.023	0.056	0.626	0.995	1.235	NA	NA	0.584
1908	0.197	1.084	1.749	0.502	0.128	0.567	1.157	0.894	0.083	0.145	NA	NA	0.451
1909	0.663	0.904	1.268	0.875	1.029	0.348	0.775	1.165	1.619	1.593	NA	NA	0.94
1910	0.686	0.89	1.245	1.007	1.093	1.146	0.7	0.85	1.442	1.712	NA	NA	1.042
1911	0.499	0.724	0.854	0.586	1.091	1.182	0.72	0.925	1.38	1.404	NA	0.234	0.798
1912	0.564	0.738	1.107	0.8	0.79	0.869	0.539	0.579	1.039	1.137	NA	1.227	0.705
1913	0	0.091	0.2	0	0.96	0.856	0.612	0.936	1.073	0.116	NA	1.848	0.862
1914	0.699	0.729	0.986	0.854	0.909	0.836	0.525	0.778	0.994	1.494	NA	1.828	1.223
1915	1.12	1.228	0.376	0.197	1.382	1.598	0.716	0.908	1.287	1.397	NA	1.973	1.296
1916	0.886	0.959	0.801	0.712	0.705	0.911	0.041	1.364	1.353	1.229	2.534	1.977	1.629
1917	1.143	1.26	1.102	1.24	0.627	1.011	1.424	1.186	1.429	1.895	2.782	0.693	1.815
1918	1.076	1.344	1.532	1.512	0.928	1.005	1.401	1.077	1.669	1.841	1.008	0.336	0.81
1919	0.47	0.822	1.258	0.728	0.392	0.479	1.039	0.635	0.851	1.201	0.032	1.711	0.24
1920	0.833	0.967	1.719	1.641	0.738	0.817	1.531	0.872	1.358	1.873	1.781	1.441	1.291
1921	0.636	0.601	1.372	0.825	0.668	0.485	1.024	0.586	1.01	1.579	0.922	0.058	1.061
1922	1.318	1.608	2.026	1.704	1.53	1.265	1.155	0.905	1.926	2.734	2.075	2.903	2.124
1923	0.675	0.681	1.006	0.951	0.949	0.656	0	0.166	1.062	1.203	1.107	1.164	1.241
1924	1.216	1.349	1.526	1.443	1.446	0.927	0.94	0.785	1.327	1.88	1.613	2.443	1.848
1925	0.916	0.92	1.007	1.086	0.739	0.556	0.891	1.001	1.235	1.267	1.484	2.322	1.481
