# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ew-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8ew-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ew.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8ew.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	10.54	NA	NA	NA
1920	NA	NA	9.48	6.4	NA	NA	NA
1921	9.02	NA	9.68	15.68	NA	NA	NA
1922	13.5	15.62	24.38	21.2	14.18	NA	NA
1923	15.48	22.2	27.01	23.11	24.47	NA	NA
1924	13.84	11.95	21.5	17.71	24.8	13.56	NA
1925	17.33	27.1	29.11	33.34	27.02	21.52	NA
1926	15.52	22.03	22.98	29.9	26.91	20.69	10.82
1927	14.2	15.31	17.82	20.76	19.16	18.48	11.69
1928	12.61	14.79	12.42	19.3	16.85	21.85	12.89
1929	8.49	11	10.97	16.54	17.41	22.34	11.57
1930	8.11	12.36	11.26	16.83	16.8	24.91	9.55
1931	7.07	8.58	6.72	15.09	16.29	20.79	9.28
1932	4.15	7.41	5.72	9.22	15.27	12.2	7.95
1933	1.78	3.2	3.26	5.63	13.16	5.11	7.06
1934	2.18	2.47	3.15	7.8	11.27	5.1	8.39
1935	2.74	2.9	5.02	7.82	10.98	7.6	7.84
1936	3.03	3.78	3.98	5.32	6.99	6.84	7.68
1937	4.78	6.91	7.16	7.16	6.22	9.7	7.96
1938	7.52	11.5	8.21	9.84	12.23	12.52	8.73
1939	12.82	5.45	8.32	13.61	11.4	13.41	11.14
1940	9.26	8.71	7.29	7.02	9.19	14.3	6.43
1941	4.4	5.53	5.9	6.89	8.13	10.05	4.85
1942	4.96	4.55	6.14	6.71	7.4	5.86	5.56
1943	5.75	4.46	3.72	6.51	5.64	5.25	5.24
1944	8.27	6.4	5.27	8.25	8.47	7.94	7.98
1945	8.59	7.05	5.38	7.65	10.39	7.47	7.88
1946	7.75	6.24	5.8	6.27	8.68	6.28	12.27
1947	9.62	8.33	7.95	5.43	9.43	7.49	9.69
1948	5.47	5.61	5.7	5.72	6.18	5.66	7.29
1949	9.98	7.33	4.85	7.59	8.31	8.87	7.91
1950	7.07	6.52	4.58	5.71	7.31	8.75	6.57
1951	5.42	6.27	4.59	5.85	7.73	9.43	5.01
1952	4.85	4.46	3.38	4.46	5.97	8.25	4.88
1953	5.22	6.03	4.46	4.2	6.75	7.64	5.94
1954	6.02	6.95	4.68	6.33	9.12	5.2	5.6
1955	6.69	5.42	4.51	4.99	7.45	3.78	4.74
1956	5.85	3.56	3.94	5.52	6.35	3.63	5.46
1957	8.35	4.94	3.58	5.95	8.3	7.53	6.78
1958	5.3	3.16	3.5	6.68	6.09	9.29	4.2
1959	4.93	2.35	3.73	6.43	5.95	8	3.11
1960	7.43	4.2	3.59	6.53	5.77	7.62	3.97
1961	3.43	2.89	2.7	3.75	5.36	4.37	2.79
1962	3.12	1.96	1.92	3.37	5.13	3.89	1.01
1963	4.09	1.5	1.55	2.54	4.94	4.38	0.3
1964	2.1	1.15	1	0.86	1.66	2.1	0.67
1965	4.96	1.73	2.02	3.16	3.41	4.7	1.06
1966	3.51	1.5	2.27	3.25	2.85	2.7	2.13
1967	4.2	1.8	2.71	4.48	3.24	3.74	2.85
1968	4.68	1.75	3	4.11	3.12	4.43	3.27
1969	5.71	2.4	2.96	4.08	4.92	5.44	4.18
1970	6.1	2.52	2.56	2.83	4.21	5.81	4.16
1971	6.9	2.21	3.01	5.48	5.14	5.43	4.39
1972	4.83	2.12	3.72	4.87	4.47	3.46	3.93
1973	6.02	1.89	2.72	4.6	3.84	4.99	4.46
1974	7.03	1.55	3.02	5.11	4.97	5.34	3.41
1975	6.83	3.12	3.66	8.1	7.79	6.37	5.15
1976	6.57	3.39	4.16	6.77	8.21	6.82	6.92
1977	2.68	1.22	2.1	4.02	5.25	5.54	1.64
1978	2.54	0.89	1.93	2.55	5.06	5.91	2.05
1979	1.88	0.52	1.14	1.88	2.43	3.77	1.36
1980	1.45	0.73	0.59	1.94	1.08	1.91	0.89
1981	1.25	0.81	0.77	2.71	1.73	1.65	1.2
1982	0.99	0.8	0.85	2.41	1.53	1.2	1.52
1983	2.13	0.57	0.79	3.25	1.81	1.16	1.69
1984	3.77	1.46	1.68	4.86	3.81	3.07	3.64
1985	2.13	1.24	0.93	3.26	3.83	4.89	3.45
1986	1.58	0.34	0.91	3.14	3.21	3.27	2.13
1987	3.04	0.31	1.23	3.72	1.69	3.87	2.45
1988	2.22	0.41	1.29	3.52	1.14	2.4	1.55
1989	2.91	0.62	2.26	4.99	2.87	3.23	2.85
1990	2.34	0.62	1.65	3.24	2.26	2.69	2.1
1991	2.21	0.41	1.07	2.85	2.47	3.22	1.49
1992	2.78	0.52	1.31	1.95	3.04	3.5	1.15
1993	1.46	0.31	1.17	1.72	2.39	3.56	0.9
1994	2.51	0.62	0.53	1.46	2.12	4.19	0.6
