# Stefanuk - Frontenac Arch FR02 - ACSH - ITRDB CANA625
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32602
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32602.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana625-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana625-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana625.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana625.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR02 - ACSH - ITRDB CANA625
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR02
#   Location: Canada
#   Northernmost_Latitude: 44.506405
#   Southernmost_Latitude: 44.506405
#   Easternmost_Longitude: -76.550034
#   Westernmost_Longitude: -76.550034
#   Elevation_m: 164
#--------------------
# Data_Collection
#   Collection_Name: CANA625
#   First_Year: 1902
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 007FR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 007FR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 007FR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 007FR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 076FR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 076FR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 076FR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 076FR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 006FR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006FR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 006FR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006FR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 006FR02C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 006FR02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 078FR02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 078FR02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 078FR02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 078FR02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	007FR02A_raw	007FR02B_raw	076FR02A_raw	076FR02B_raw	006FR02A_raw	006FR02B_raw	006FR02C_raw	078FR02A_raw	078FR02B_raw
1902	NA	NA	NA	NA	NA	NA	NA	3.986	NA
1903	NA	NA	NA	NA	NA	NA	NA	4.418	NA
1904	NA	NA	NA	NA	NA	NA	NA	3.833	3.801
1905	NA	NA	NA	NA	NA	NA	NA	0	2.843
1906	NA	NA	NA	NA	NA	NA	NA	1.946	3.028
1907	NA	NA	NA	NA	NA	NA	NA	0.41	1.37
1908	NA	NA	NA	NA	NA	NA	NA	0.173	3.372
1909	NA	NA	NA	NA	NA	NA	NA	2.619	2.646
1910	NA	NA	NA	NA	3.432	NA	NA	3.222	4.223
1911	NA	NA	NA	NA	2.793	NA	NA	3.438	5.903
1912	NA	NA	NA	NA	0.112	NA	NA	6.161	4.471
1913	NA	NA	NA	NA	4.028	NA	NA	7.095	6.638
1914	NA	NA	NA	NA	0.729	NA	NA	3.869	0
1915	NA	NA	NA	NA	0.665	NA	NA	5.952	2.285
1916	NA	NA	NA	NA	0.583	NA	NA	3.408	3.715
1917	NA	NA	NA	NA	1.409	NA	NA	2.729	2.209
1918	NA	NA	NA	NA	3.493	NA	NA	3.795	2.423
1919	NA	NA	NA	NA	2.305	NA	NA	2.537	2.03
1920	NA	NA	NA	NA	3.074	NA	3.809	2.703	1.896
1921	NA	NA	NA	NA	1.843	NA	2.42	2.215	1.307
1922	NA	NA	NA	NA	2.09	NA	1.31	2.444	1.221
1923	NA	NA	NA	NA	1.259	NA	1.234	2.632	0.122
1924	NA	NA	NA	NA	1.938	NA	2.296	3.299	1.619
1925	NA	NA	NA	NA	1.853	4.013	2.992	2.727	1.72
1926	NA	NA	0.372	NA	1.749	4.431	2.829	2.007	1.837
1927	NA	NA	0.259	NA	1.7	2.627	2.874	1.831	2.313
1928	NA	NA	1.516	NA	2.184	1.575	3.977	2.199	2.516
1929	NA	NA	1.116	NA	1.022	2.148	2.896	1.819	2.195
1930	NA	NA	1.013	NA	1.228	2.824	1.874	1.342	2.593
1931	NA	NA	0.72	NA	1.323	1.671	2.365	1.457	2.849
1932	NA	NA	0.56	NA	1.202	1.552	2.713	1.634	2.121
1933	NA	NA	0.84	NA	0.559	2.648	1.572	1.494	2.775
1934	NA	NA	1.509	NA	0.886	1.463	1.6	1.219	0
1935	NA	NA	0.526	NA	1.221	2.276	2.136	1.343	1.071
1936	NA	NA	1.023	NA	0.875	0.107	1.571	0.926	2.587
1937	NA	2.869	2.003	NA	1.154	2.129	2.31	1.791	2.264
1938	NA	2.905	1.481	NA	0.835	0.075	1.656	1.512	1.99
1939	NA	0.437	0.076	NA	0.818	1.174	1.606	1.949	0.59
1940	NA	2.793	2.006	NA	1.434	2.407	2.204	3.503	3.671
1941	1.995	1.553	1.085	NA	0.699	1.277	1.15	1.259	1.673
1942	4.541	2.412	1.797	NA	1.006	2.005	1.651	2.081	2.028
1943	4.292	2.657	2.528	NA	1.27	2.858	1.848	3.448	3.669
1944	5.122	2.685	1.782	NA	1.185	2.198	1.882	2.359	4.863
1945	4.455	3.084	2.114	NA	0.495	0.7	1.169	2.112	3.821
1946	4.428	3.057	1.829	NA	0.861	1.608	1.157	1.96	1.833
1947	7.314	6.452	2.846	NA	0.793	1.932	1.155	4.05	4.501
1948	4.406	5.282	2.219	NA	0.848	1.867	1.248	2.53	2.324
1949	3.202	3.436	1.387	NA	0.639	1.072	1.078	1.848	1.059
1950	6.053	5.348	2.002	NA	0.646	1.275	1.314	2.097	0.821
1951	2	1.291	0.266	0.669	0.087	0.326	0.313	0.566	0.261
1952	2.706	2.458	0.998	2.566	0.479	1.061	0.753	1.728	1.154
1953	5.211	4.318	1.666	4.987	0.692	1.546	1.101	3.277	2.419
1954	4.146	3.44	2.022	4.979	0.825	1.458	1.221	3.055	2.123
1955	3.596	3.181	2.18	4.8	0.949	1.206	1.311	2.305	1.818
1956	3.971	3.259	2.691	5.371	1.201	1.057	1.148	2.529	2.29
1957	4.802	4.272	3.152	5.754	1.406	1.843	1.258	3.645	3.331
1958	3.699	3.522	2.13	3.841	1.332	1.579	1.192	1.863	1.793
1959	3.836	3.623	2.43	4.851	1.501	2.123	1.639	3.037	2.313
1960	3.454	3.742	2.82	4.398	0.984	1.66	1.256	2.07	1.651
1961	4.928	4.117	4.267	5.226	1.982	1.865	1.69	3.312	2.382
1962	3.329	2.943	3.25	3.901	1.551	1.58	1.208	1.973	1.546
1963	2.503	1.989	2.933	2.802	1.413	1.287	1.271	1.724	1.33
1964	2.275	1.832	2.695	1.403	1.161	1.31	1.276	1.685	1.281
1965	2.855	2.07	2.541	2.421	1.176	1.735	1.822	1.646	1.319
1966	2.093	1.987	1.702	2.404	0.804	1.276	1.288	1.624	1.135
1967	2.073	1.35	1.725	3.244	0.97	1.415	1.42	2.055	1.707
1968	2.295	1.698	1.59	3.351	1.264	1.507	1.543	1.625	1.563
1969	3.203	2.072	2.09	3.877	1.378	2.061	2.26	3.749	2.724
1970	2.792	1.962	2.027	3.219	1.666	1.434	1.356	3.072	2.375
1971	2.577	2.089	1.731	2.859	0.926	0.845	0.958	1.479	1.24
1972	2.754	2.492	2.474	4.287	0.58	0.586	1.209	2.891	2.42
1973	2.008	1.812	1.806	3.364	0.755	0.682	1.059	1.646	1.699
1974	1.995	1.706	2.161	3.62	0.878	0.824	1.09	1.17	1.425
1975	2.58	2.051	1.882	3.405	1.226	0.964	1.445	1.006	1.49
