# Stefanuk - Frontenac Arch FR09 - ACSH - ITRDB CANA632
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32609
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32609.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana632-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana632-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana632.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana632.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR09 - ACSH - ITRDB CANA632
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR09
#   Location: Canada
#   Northernmost_Latitude: 44.535098
#   Southernmost_Latitude: 44.535098
#   Easternmost_Longitude: -76.525818
#   Westernmost_Longitude: -76.525818
#   Elevation_m: 189
#--------------------
# Data_Collection
#   Collection_Name: CANA632
#   First_Year: 1902
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 105FR09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 105FR09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 105FR09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 105FR09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 106FR09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 106FR09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 106FR09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 106FR09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 107FR09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 107FR09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 108FR09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 108FR09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 109FR09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 109FR09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 109FR09B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 109FR09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	105FR09A_raw	105FR09B_raw	106FR09A_raw	106FR09B_raw	107FR09B_raw	108FR09B_raw	109FR09A_raw	109FR09B_raw
1902	NA	NA	NA	0.31	NA	NA	NA	NA
1903	NA	NA	NA	0.051	NA	NA	NA	NA
1904	NA	NA	NA	0.354	NA	NA	NA	NA
1905	NA	NA	NA	0.303	NA	0.123	NA	NA
1906	NA	NA	NA	0.189	NA	0.065	NA	NA
1907	NA	NA	NA	0.715	NA	0.282	NA	NA
1908	NA	NA	NA	1.124	NA	0.173	NA	NA
1909	NA	NA	NA	0.895	NA	0.32	NA	NA
1910	NA	NA	NA	0.302	NA	0.415	NA	NA
1911	1.322	NA	NA	0.531	NA	0.596	NA	1.027
1912	0.6	NA	NA	0.26	NA	0.534	NA	0.757
1913	0.254	NA	NA	0.954	0.607	0.46	NA	0.809
1914	0.205	NA	NA	1.083	0.603	0.616	0.554	0.775
1915	0.139	NA	NA	0.943	0.868	0.672	0.317	0.518
1916	0.52	NA	NA	1.067	0.936	0.505	0.634	0.557
1917	1.168	NA	1.317	0.974	0.859	0.713	0.881	0.915
1918	0.897	NA	1.306	0.802	1.016	0.383	0.803	0.813
1919	1.163	NA	1.049	1.341	1.131	0.728	0.876	0.873
1920	1.331	NA	1.662	1.61	0.771	0.702	1.15	0.766
1921	0.85	NA	1.059	0.142	1.032	0.535	0.738	0.606
1922	1.243	NA	2.318	1.854	0.513	1.141	0.861	0.853
1923	0.834	NA	0.761	0.588	0.651	0.322	0.449	0.399
1924	0.997	NA	1.888	1.442	1.038	1.283	0.668	0.953
1925	0.843	NA	1.739	1.37	0.269	0.814	0.661	0.485
1926	0.96	NA	1.742	1.221	0.888	0.739	0.514	0.431
1927	1.348	NA	2.077	1.786	1.23	0.88	0.548	0.694
1928	1.674	NA	2.428	2.23	0.973	1.47	0.947	0.962
1929	2.23	NA	1.885	1.662	0.762	1.273	1	0.875
1930	2.394	3.248	1.574	1.362	1.052	1.097	0.997	0.74
1931	2.367	3.909	1.765	2.042	0.916	1.388	0.778	0.656
1932	2.591	3.803	1.424	1.971	0.48	0.968	1.201	1.014
1933	0.865	0.708	0.479	0.987	0.543	0.333	0.563	0.536
1934	0.509	0.322	0.715	1.555	0.604	0.743	0.756	0.668
1935	0.466	0.32	0.775	2.085	0.57	0.7	0.697	0.884
1936	0.315	0.369	0.672	1.154	0.695	0.512	0.543	0.569
1937	0.281	0.659	1.138	1.823	0.683	0.843	0.925	0.737
1938	0.174	0.381	1.223	1.969	0.167	0.794	0.96	0.698
1939	0.063	0.341	0.854	1.14	0.426	0.62	0.746	0.621
1940	0.169	0.297	1.727	2.082	1.108	1.086	1.231	0.904
1941	0.146	0.305	0.816	0.903	0.339	0.499	0.655	0.714
1942	0.284	0.846	1.611	1.559	0.937	0.921	0.991	1.196
1943	0.228	0.835	1.359	1.086	0.75	0.562	0.541	0.799
1944	0.235	0.459	0.903	0.976	0.584	0.236	0.676	0.662
1945	0.368	0.383	1.544	1.464	0.265	0.891	0.302	0.253
1946	0.663	1.007	1.583	1.352	0.559	0.844	0.791	0.638
1947	0.817	1.983	3.449	2.502	0.964	1.12	0.807	0.95
1948	0.581	2.263	2.152	1.753	0.915	1.784	1.149	1.448
1949	0.396	1.659	1.596	1.337	0.613	1.986	0.996	1.274
1950	1.263	1.478	1.838	1.623	0.846	1.516	1.558	1.417
1951	0.253	0.295	0.558	0.382	0.269	2.295	0.347	0.345
1952	0.777	1.926	1.559	0.923	0.733	0.447	1.511	1.031
1953	1.468	2.302	2.075	1.602	1.456	2.541	1.421	1.367
1954	1.128	2.357	1.68	1.202	1.162	3.474	1.693	1.537
1955	1.026	1.774	1.197	1.093	1.04	2.818	1.499	1.211
1956	0.992	1.741	1.553	1.659	1.268	1.989	1.62	1.503
1957	1.254	2.417	2.187	1.889	1.759	2.451	1.833	1.709
1958	0.906	2.032	1.622	1.801	0.772	0.72	1.687	1.569
1959	0.918	2.352	1.397	1.884	0.983	0.547	2.235	1.572
1960	0.955	1.115	0.97	1.551	0.881	0.17	2.1	1.464
1961	0.688	0.702	0.743	1.319	1.133	0.2	1.833	1.548
1962	1.244	1.022	0.748	1.352	0.767	0.296	1.384	1.273
1963	0.792	1.146	0.917	1.764	0.677	0.438	1.595	1.619
1964	1.02	1.336	1.21	1.765	0.769	0	1.581	1.742
1965	0.349	1.061	0.928	1.543	0.058	0	0.86	0.781
1966	0.372	0.781	1.105	1.594	0.507	0	0.849	0.998
1967	0.689	1.347	1.705	2.275	1.437	0	2.238	1.558
1968	0.521	1.526	2.005	2.647	1.656	0	2.487	1.706
1969	0.994	2.207	2.978	3.513	1.967	0	3.127	1.41
1970	0.86	1.764	1.916	2.237	1.746	0	2.717	1.274
1971	0.878	1.785	1.081	1.511	0.921	0	1.683	0.998
1972	1.986	2.592	3.258	2.781	2.174	1.414	3.061	1.684
1973	1.384	1.827	2.308	2.131	1.141	1.425	2.161	1.321
1974	1.644	2.229	1.845	1.755	1.364	2.132	1.759	1.401
1975	1.686	2.305	2.286	1.779	1.257	1.958	1.302	1.186
1976	1.46	1.669	1.832	1.879	0.645	1.782	1.331	1.165
1977	0.853	1.537	1.509	1.239	0.472	0.966	0.497	0.558
