# Bunn - Bison - PCGL - ITRDB CANA295
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/9931
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-9931.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana295-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana295-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana295.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana295.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-08-31
#--------------------
# File_Last_Modified_Date
#   Date: 2010-08-31
#--------------------
# Title
#   Study_Name: Bunn - Bison - PCGL - ITRDB CANA295
#--------------------
# Investigators
#   Investigators: Bunn, A.G.(https://orcid.org/0000-0001-9027-2162); Lloyd, A.H.; Berner, L.T.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bison
#   Location: Northwest Territories
#   Northernmost_Latitude: 61.7
#   Southernmost_Latitude: 61.7
#   Easternmost_Longitude: -116.95
#   Westernmost_Longitude: -116.95
#   Elevation_m: None
#--------------------
# Data_Collection
#   Collection_Name: CANA295
#   First_Year: 1933
#   Last_Year: 2008
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BIS001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS001B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS002A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS002B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS006B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS006B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS007A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS007A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS007B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS007B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS009A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS009A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS009B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS009B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS010A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS010A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS011A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS011A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS011B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS011B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS013A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS013A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS013B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS013B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS015A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS015A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS015B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS015B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS020A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS020A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BIS020B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BIS020B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BIS001A_raw	BIS001B_raw	BIS002A_raw	BIS002B_raw	BIS006B_raw	BIS007A_raw	BIS007B_raw	BIS009A_raw	BIS009B_raw	BIS010A_raw	BIS011A_raw	BIS011B_raw	BIS013A_raw	BIS013B_raw	BIS015A_raw	BIS015B_raw	BIS020A_raw	BIS020B_raw
1933	NA	NA	NA	NA	3.863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1934	NA	NA	NA	NA	2.572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1935	NA	NA	NA	NA	1.927	NA	0.495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1936	NA	NA	NA	NA	2.199	NA	0.577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1937	NA	NA	NA	NA	2.548	NA	1.227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	NA	NA	NA	2.273	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	NA	NA	NA	NA	1.795	NA	0.768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1940	NA	NA	NA	NA	1.057	NA	0.606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1941	NA	NA	NA	NA	0.622	0.662	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1942	NA	NA	NA	NA	1.2	0.793	1.201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1943	NA	NA	NA	NA	2.009	1.342	1.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	NA	2.425	1.254	1.167	NA	NA	NA	1.08	NA	NA	NA	NA	NA	NA	NA
1945	NA	NA	NA	NA	3.346	2.102	1.775	NA	NA	NA	1.728	NA	NA	NA	NA	NA	NA	NA
1946	NA	NA	NA	NA	3.389	2.184	1.828	NA	NA	NA	1.601	NA	NA	NA	NA	NA	NA	NA
1947	NA	NA	NA	NA	3.753	2.572	2.451	NA	NA	NA	1.685	NA	NA	NA	NA	NA	NA	NA
1948	NA	1.238	NA	NA	3.565	2.062	1.4	NA	NA	NA	2.029	NA	NA	NA	NA	NA	NA	NA
1949	NA	1.164	NA	NA	2.879	1.638	1.115	NA	NA	NA	1.463	NA	NA	NA	NA	NA	NA	NA
1950	NA	1.34	NA	NA	3.037	1.764	1.104	NA	NA	NA	1.958	NA	NA	NA	NA	NA	NA	NA
1951	NA	1.717	NA	NA	2.393	1.59	0.899	NA	NA	NA	2.132	NA	NA	NA	NA	NA	NA	NA
1952	2.339	2.067	2.174	NA	3.597	1.831	1.177	NA	NA	NA	2.089	2.19	NA	NA	NA	NA	NA	NA
1953	1.893	1.823	2.113	NA	2.562	2.007	1.336	NA	NA	NA	1.609	1.668	NA	NA	NA	NA	NA	NA
1954	3.313	3.372	2.52	NA	3.146	2.305	1.918	NA	NA	NA	2.408	2.277	NA	NA	NA	NA	NA	NA
1955	3.192	2.879	3.072	NA	3.31	3.342	2.522	NA	NA	NA	2.801	2.256	NA	NA	NA	NA	NA	NA
1956	2.992	3.169	2.509	NA	3.454	3.342	2.491	NA	NA	NA	2.48	2.393	2.028	2.252	NA	3.687	NA	NA
1957	3.231	2.801	2.039	NA	2.811	2.122	2.351	NA	1.245	1.612	3.053	2.663	1.677	2.099	NA	3.832	NA	2.946
1958	2.829	2.514	2.258	NA	2.839	2.179	2.3	NA	1.76	1.67	2.842	3.254	1.92	1.902	NA	3.149	NA	0.981
1959	3.151	2.379	2.291	NA	2.915	2.122	2.562	1.654	1.753	1.456	2.971	3.618	1.927	2.194	NA	3.598	NA	1.129
1960	3.521	3.159	2.163	2.277	2.059	2.128	2.695	1.192	1.238	1.175	2.625	2.844	1.525	2.105	3.045	3.032	1.143	1.158
1961	2.199	2.204	1.545	1.838	2.352	1.773	2.358	1.348	1.24	0.748	2.151	2.616	1.56	1.935	2.689	2.823	1.065	1.155
1962	1.225	1.734	1.177	1.586	1.853	1.245	2.208	1.303	1.071	0.922	1.997	2.102	1.464	1.768	2.57	2.235	0.922	1.025
1963	1.134	1.49	1.221	1.128	1.892	2.284	2.083	1.025	1.045	0.703	1.649	2.634	1.735	1.962	2.224	2.413	0.943	0.993
1964	1.352	1.11	1.295	0.773	1.689	2.061	2.144	1.601	1.632	1.174	2.077	3.029	1.531	2.139	2.432	2.793	1.147	1.148
1965	1.513	1.409	1.51	1.194	1.807	1.482	2.08	1.386	1.578	1.514	2.427	3.835	1.518	1.883	2.47	2.785	1.005	0.842
1966	1.765	1.343	1.246	1.195	2.575	2.159	2.018	1.09	1.138	1.086	2.062	3.244	1.336	1.507	2.472	2.036	0.787	0.836
1967	1.451	1.305	1.213	1.307	2.393	1.526	1.967	1.069	1.182	0.903	1.988	3.134	1.329	1.351	2.476	2.123	0.655	0.769
1968	1.09	1.068	1.144	1.086	1.406	1.28	1.9	0.873	1.071	0.864	1.421	1.845	1.087	1.117	1.484	1.429	0.711	0.681
1969	0.882	1.045	1.083	0.719	1.018	1.456	1.771	0.767	0.697	0.785	1.277	1.782	0.931	1.058	1.355	1.305	0.662	0.75
1970	0.801	1.162	1.091	0.662	0.982	1.073	1.465	0.955	0.769	0.947	1.212	1.859	0.833	1.035	1.617	1.299	0.797	0.784
1971	0.864	1.501	1.07	0.923	0.972	1.601	1.927	1.244	1.029	1.109	1.055	1.375	1.118	1.413	1.939	1.643	0.795	0.742
1972	0.695	1.32	1.092	0.802	1.028	1.552	1.773	1.3	0.98	1.051	1.015	1.083	1.367	1.207	1.628	1.222	0.705	0.681
1973	0.89	1.135	1.253	0.852	0.941	1.201	1.459	1.453	1.131	1.153	1.104	1.051	1.316	1.527	1.673	1.544	0.797	0.837
1974	0.803	1.053	1.206	1.082	1.13	1.411	1.794	1.618	1.362	1.503	1.219	1.453	1.599	2.169	1.714	1.367	1.047	0.998
1975	1.056	1.253	1.265	1.147	1.271	1.73	2.005	1.818	1.337	1.433	1.334	1.461	1.677	2.031	2.027	1.68	1.014	1.01
1976	1.064	1.306	1.174	0.98	1.201	1.258	1.392	1.894	1.55	1.815	1.036	1.274	1.407	1.384	1.797	1.861	1.066	1.226
1977	1.266	1.305	1.151	1.089	1.052	1.788	1.795	1.66	1.445	1.452	1.372	1.589	1.645	1.783	2.117	2.087	1.083	1.341
1978	1.75	1.118	1.038	0.985	1.048	1.41	1.368	1.172	1.339	1.326	0.962	1.118	1.431	1.271	1.574	1.584	0.966	0.966
1979	1.825	1.33	1.123	1.043	1.005	1.336	1.051	1.172	1.1	1.408	0.697	1.221	1.127	1.061	1.756	1.902	1.043	1.028
1980	1.054	1.085	0.83	1.078	0.764	0.803	0.681	1.022	1.148	0.943	0.446	0.848	0.665	0.604	1.566	1.593	1.24	1.389
1981	0.79	1.188	1.043	0.899	0.98	1.266	1.069	1.188	1.4	1.048	0.737	1.089	1.16	0.911	1.898	2.032	1.238	1.204
1982	0.803	1.101	1.091	0.936	0.898	0.765	0.827	1.58	1.691	1.099	0.672	0.975	1.007	0.845	2.171	2.295	1.587	1.785
