# Stefanuk - Algonquin Highlands AL08 - ACSH - ITRDB CANA622
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32599
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32599.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana622-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana622-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana622.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana622.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL08 - ACSH - ITRDB CANA622
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL08
#   Location: Canada
#   Northernmost_Latitude: 45.655489
#   Southernmost_Latitude: 45.655489
#   Easternmost_Longitude: -78.642595
#   Westernmost_Longitude: -78.642595
#   Elevation_m: 442
#--------------------
# Data_Collection
#   Collection_Name: CANA622
#   First_Year: 1932
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 061AL08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 061AL08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 061AL08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 061AL08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 063AL08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 063AL08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 063AL08B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 063AL08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	061AL08A_raw	061AL08B_raw	063AL08A_raw	063AL08B_raw
1932	NA	NA	1.345	NA
1933	NA	NA	2.182	NA
1934	2.214	NA	2.16	NA
1935	2.985	NA	2.798	NA
1936	1.838	NA	1.608	NA
1937	1.995	NA	2.84	NA
1938	2.183	NA	3.531	2.922
1939	1.822	NA	2.176	2.546
1940	1.866	NA	3.049	2.822
1941	1.431	2.421	1.593	2.086
1942	2.258	3.065	2.789	2.939
1943	2.327	2.824	2.809	3.277
1944	1.292	2.138	1.942	2.582
1945	2.129	2.308	1.901	1.994
1946	2.167	2.765	1.891	1.722
1947	2.178	2.254	2.204	1.955
1948	1.642	1.908	2.236	1.824
1949	2.116	2.087	2.069	1.802
1950	1.836	1.57	1.158	1.352
1951	0.089	0.082	0.231	0.173
1952	0.948	1.205	1.5	1.044
1953	1.09	1.642	1.962	1.458
1954	1.289	1.008	2.235	1.908
1955	1.31	1.065	1.615	1.775
1956	1.336	1.211	2.452	2.223
1957	1.337	1.183	2.407	2.334
1958	2.157	1.604	3.656	2.806
1959	1.765	1.626	3.578	2.133
1960	1.712	1.259	3.767	2.558
1961	1.841	1.755	3.357	3.004
1962	1.791	1.398	2.751	2.693
1963	1.504	1.817	2.667	2.857
1964	1.123	1.47	2.614	2.66
1965	1.042	1.234	1.721	2.183
1966	1.015	1.254	1.46	2.058
1967	1.327	1.396	1.711	2.191
1968	1.274	1.388	1.143	2.869
1969	1.61	1.838	1.138	3.067
1970	1.553	2.004	2.199	2.664
1971	1.027	1.853	1.386	2.019
1972	1.821	2.109	1.436	1.985
1973	1.744	2.62	0.938	1.498
1974	1.542	2.237	0.831	1.534
1975	1.803	2.725	1.32	3.904
1976	0.515	1.022	1.12	2.759
1977	0.962	1.476	0.842	2.344
1978	1.072	1.716	0.739	2.048
1979	0.969	1.896	0.946	2.561
1980	0.967	1.67	1.101	2.854
1981	1.032	1.571	0.852	1.933
1982	1.503	1.706	1.63	2
1983	1.345	1.334	1.111	1.598
1984	0.752	0.812	0.378	1.117
1985	1.41	1.648	1.406	1.965
1986	1.476	1.908	1.191	2.014
1987	2.076	2.292	1.393	2.084
1988	0.939	1.723	0.922	1.027
1989	0.654	1.096	0.49	0.689
1990	1.292	1.179	0.612	1.278
1991	1.178	1.392	0.498	0.815
1992	1.706	2.512	1.295	1.645
1993	0.995	2.616	1.269	2.691
1994	0.843	1.918	0.805	2.671
1995	1.896	2.494	1.135	3.375
1996	2.01	1.94	1.14	1.452
1997	1.823	1.584	1.139	1.544
1998	2.499	1.529	0.977	1.324
1999	2.506	1.902	0.762	3.057
2000	2.235	2.116	0.708	3.09
2001	1.751	2.309	0.834	2.242
2002	1.816	2.137	0.328	1.163
2003	1.629	2.334	0.428	1.358
2004	1.775	2.444	1.327	2.693
2005	1.592	2.487	1.183	1.961
2006	0.36	1.069	0.241	0.88
2007	0.16	0.384	0.854	2.442
2008	1.114	1.399	1.885	4.312
2009	1.599	1.988	1.989	2.53
2010	1.124	1.586	1.835	3.236
2011	2.141	2.862	3.126	3.227
2012	1.517	2.327	0	2.243
2013	0.213	1.101	0.615	1.735
2014	0	1.19	0.796	2.052
2015	1.777	2.183	1.839	2.624
2016	2.364	2.294	2.262	3.205
2017	1.373	2.033	3.46	3.603
