# Mamet - TUND, Wapusk National Park, Manitoba - LALA - ITRDB CANA281
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8527
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8527.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana281-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana281-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana281.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana281.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-10
#--------------------
# Title
#   Study_Name: Mamet - TUND, Wapusk National Park, Manitoba - LALA - ITRDB CANA281
#--------------------
# Investigators
#   Investigators: Mamet, S.D.; Kershaw, G.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: TUND, Wapusk National Park, Manitoba
#   Location: Manitoba
#   Northernmost_Latitude: 57.95
#   Southernmost_Latitude: 57.95
#   Easternmost_Longitude: -93.22
#   Westernmost_Longitude: -93.22
#   Elevation_m: 27
#--------------------
# Data_Collection
#   Collection_Name: CANA281
#   First_Year: 1927
#   Last_Year: 2003
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Larix laricina (Du Roi) K. Koch
#   Common_Name: tamarack
#   Tree_Species_Code: LALA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 09501a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09501a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 09501b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09501b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 09511a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09511a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 09511b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09511b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 09512a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09512a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 09512b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 09512b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10651a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10651a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10651b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10651b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 10652b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 10652b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	09501a_raw	09501b_raw	09511a_raw	09511b_raw	09512a_raw	09512b_raw	10651a_raw	10651b_raw	10652b_raw
1927	NA	NA	0.252	0.226	NA	NA	NA	NA	NA
1928	NA	NA	0.107	0.087	NA	NA	NA	NA	NA
1929	NA	NA	0.121	0.145	NA	NA	NA	NA	NA
1930	NA	NA	0.15	0.231	0.193	0.225	NA	NA	NA
1931	NA	NA	0.466	0.369	0.191	0.186	NA	NA	NA
1932	NA	NA	0.31	0.419	0.342	0.282	NA	NA	NA
1933	NA	NA	0.119	0.358	0.252	0.192	NA	NA	NA
1934	NA	NA	0.138	0.204	0.258	0.161	NA	NA	NA
1935	NA	NA	0.2	0.135	0.283	0.174	NA	NA	NA
1936	NA	NA	0.214	0.142	0.212	0.156	NA	NA	NA
1937	NA	NA	0.19	0.497	0.236	0.317	NA	NA	NA
1938	NA	NA	0.436	0.346	0.561	0.375	NA	NA	NA
1939	NA	NA	0.796	0.595	0.771	0.613	NA	NA	NA
1940	NA	NA	0.499	0.672	0.415	0.663	NA	NA	NA
1941	NA	NA	1.198	1.059	1.281	0.929	NA	NA	NA
1942	NA	NA	0.436	1.131	0.49	0.584	NA	NA	NA
1943	NA	NA	0.434	0.985	0.708	0.752	NA	NA	NA
1944	NA	NA	0.85	0.497	1.693	0.602	NA	NA	NA
1945	NA	NA	0.509	0.303	0.924	0.261	NA	NA	NA
1946	NA	NA	0.375	0.267	0.604	0.193	NA	NA	NA
1947	NA	NA	0.516	0.423	0.774	0.312	NA	NA	NA
1948	NA	NA	0.734	0.389	0.717	0.351	NA	NA	NA
1949	NA	NA	0.675	0.307	0.677	0.468	NA	NA	NA
1950	NA	NA	0.491	0.294	0.609	0.286	NA	NA	NA
1951	NA	NA	0.654	0.254	0.588	0.256	NA	NA	NA
1952	NA	NA	0.455	0.28	0.579	0.253	NA	NA	NA
1953	NA	NA	0.599	0.549	0.748	0.353	NA	NA	NA
1954	NA	NA	0.821	0.717	0.947	0.6	NA	NA	NA
1955	NA	NA	0.757	0.508	1.192	0.624	NA	NA	NA
1956	NA	NA	0.643	0.51	0.985	0.57	NA	NA	NA
1957	NA	NA	0.951	0.693	1.104	0.663	NA	NA	NA
1958	NA	NA	0.634	0.449	0.77	0.5	NA	NA	NA
1959	NA	NA	0.82	0.718	0.886	0.858	NA	NA	NA
1960	NA	NA	0.563	0.657	0.833	0.653	NA	NA	NA
1961	NA	NA	0.785	0.631	1.046	0.601	NA	NA	NA
1962	NA	NA	0.67	0.566	0.891	0.611	NA	NA	NA
1963	NA	NA	0.878	0.946	0.898	0.696	NA	NA	NA
1964	NA	NA	0.61	0.653	0.793	0.409	1.629	1.25	1.132
1965	NA	NA	0.395	0.397	0.473	0.386	1.513	1.436	1.452
1966	NA	NA	0.649	0.697	0.646	0.668	2.292	1.842	2.054
1967	NA	NA	0.523	0.535	0.465	0.492	2.365	2.539	2.496
1968	NA	NA	0.5	0.436	0.447	0.509	1.544	1.433	1.652
1969	NA	NA	0.655	0.67	0.512	0.541	2.012	1.769	1.837
1970	NA	NA	0.924	0.704	0.741	0.761	2.251	1.923	1.886
1971	NA	NA	0.841	0.741	0.7	0.742	1.94	1.579	1.385
1972	NA	NA	0.902	0.752	0.733	0.915	1.4	1.026	1.385
1973	NA	NA	0.641	0.404	0.273	0.339	0.437	0.72	0.61
1974	2.026	NA	1.181	0.606	0.463	1.144	1.911	1.259	1.328
1975	1.804	NA	0.906	0.561	0.505	0.768	0.802	0.821	0.815
1976	2.225	NA	1.306	0.791	0.794	1.03	1.86	1.074	0.961
1977	2.504	NA	0.878	0.536	0.517	0.707	1.314	0.703	0.846
1978	2.3	NA	0.81	0.558	0.543	0.752	0.621	0.261	0.685
1979	2.451	3.352	1.024	0.552	0.616	1.006	0.687	0.246	0.638
1980	2.12	2.923	0.903	0.523	0.48	0.798	1.043	0.193	0.511
1981	2.788	3.938	0.984	0.623	0.528	0.752	1.703	0.64	1.105
1982	1.935	3.198	0.755	0.553	0.52	0.898	1.002	0.713	0.771
1983	3.139	3.904	1.296	0.874	0.746	0.875	1.507	1.321	1.537
1984	2.773	4.171	1.246	0.843	0.593	0.918	1.234	1.745	1.514
1985	2.616	2.907	0.247	0.233	0.192	0.411	0.989	1.089	1.059
1986	2.521	2.636	0.338	0.388	0.347	0.474	0.927	0.909	1.151
1987	2.228	2.917	0.427	0.477	0.379	0.551	0.784	0.799	0.928
1988	1.843	3.345	0.809	0.764	0.47	0.781	1.237	0.879	1.343
1989	1.33	2.956	1.023	1.013	0.592	0.833	1.219	0.99	1.306
1990	1.486	3.313	0.444	0.528	0.341	0.381	1.172	0.803	1.113
1991	1.595	3.467	0.705	1.029	0.451	0.825	1.435	0.969	1.441
1992	0.931	1.734	0.364	0.513	0.247	0.477	0.731	0.572	0.807
1993	1.326	2.899	0.635	0.894	0.435	0.656	1.018	0.934	1.111
1994	1.011	2.407	0.881	0.992	0.862	0.957	1.374	1.062	1.124
1995	1.368	2.872	1.032	1.513	0.853	1.222	1.746	0.895	1.106
1996	1.588	2.906	1.195	1.704	0.987	1.45	2.253	1.288	1.209
1997	1.68	2.426	0.889	1.372	0.586	0.893	1.662	1.318	0.803
