# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ld-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8ld-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8ld.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8ld.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	51.17	NA	NA	NA
1920	NA	NA	47.48	54.31	NA	NA	NA
1921	38.18	NA	51.82	56.89	NA	NA	NA
1922	46.93	51.76	56.35	59.6	46.1	NA	NA
1923	51.13	63.49	54.42	64.49	57.25	NA	NA
1924	45.91	55.02	55.11	57.23	60.16	41.49	NA
1925	51.85	69.8	59.51	60.09	65.6	49.02	NA
1926	53.13	72.84	59.64	60.73	65.72	49.47	43.11
1927	55.94	77.23	58.89	68.51	69.22	58.69	58.83
1928	48.29	77.3	56.87	70.89	69.99	56.86	55.73
1929	50.64	79.89	65.64	74.84	72.99	61.46	55.99
1930	52.59	84.46	60.78	68.09	72.81	64.27	57.12
1931	53.18	83.11	62.94	88.45	73.63	60.09	62.33
1932	58.3	82.49	65	86.34	76.29	58.23	60.72
1933	41.91	75.58	55.67	65.17	65.9	50.45	59.25
1934	46.25	70.57	62.3	79.56	76.7	56.09	59.45
1935	40.97	72.5	65.29	67.99	74	58.89	62.05
1936	44.44	67.94	62.78	65.28	64.6	46.27	58.89
1937	55.3	80.07	67.17	82.3	71.6	56.02	58.35
1938	51.97	76.46	67.08	81.84	73.33	53.07	61.78
1939	54.26	76.24	71.27	80.54	70.87	60.18	65.36
1940	49.98	75.92	70.88	69.88	74.19	53.15	64.92
1941	48.05	78.71	64.98	69.09	69.9	48.53	62.44
1942	48.74	78.12	65.84	67.93	67.68	51.03	56.11
1943	47.19	72.12	58.35	69.94	68.11	43.81	52.05
1944	51.77	83.17	63.28	76.97	71.93	54.43	54.22
1945	47.17	72.29	63.1	74.05	67.66	55.6	42.93
1946	53.98	85.09	66.97	70.21	71.6	55.92	58.9
1947	54.56	85.99	70.4	72.72	71.27	57.27	56.73
1948	54.3	87.42	65.54	65.51	71.37	57.91	59.01
1949	52.63	88.15	59.44	66.93	71.53	60.46	54.19
1950	50.51	89.79	59.58	64.63	69.48	64.24	46.5
1951	50.71	83.48	61.32	64.22	71.21	63.6	45.99
1952	53.17	80.92	61.66	66.13	71.53	62.36	54.6
1953	50.3	80.33	59.76	61.11	67.08	55.66	52.79
1954	52.58	78.27	65.02	58.15	67.03	57.86	45.11
1955	59.38	71.95	67.43	62.64	69.45	60.23	49.49
1956	55.29	60.78	62.51	62.75	67.26	63.36	53.26
1957	56.56	67.56	62.81	62.6	69.47	61.49	54.42
1958	55.13	57.16	63.35	62.42	67.44	65.38	51.55
1959	56.91	71.53	55.25	64.32	67.92	70.29	52.06
1960	61.48	74.99	61.71	65.05	71.67	71.16	59.23
1961	57.08	68.24	59.08	60.21	67.64	53.22	52.97
1962	50.27	58.56	58.33	51.04	68.86	60.6	38.78
1963	52.44	54.72	50.83	53.86	62.82	55.88	40.52
1964	55.31	53.99	54.74	55.04	60.93	56.56	39.77
1965	51.86	50.01	52.89	55.17	60.95	54.1	41.91
1966	50.09	50.23	54.15	58.62	59.24	53.57	44.3
1967	53.58	56.03	58.73	63.36	64.85	66.69	50.25
1968	52.33	61.78	59.79	62.92	61.85	63.64	51.3
1969	53.77	63.21	57.38	59.45	62.46	70.54	55.65
1970	52.49	55.15	51.92	56.77	58.34	63.48	47.2
1971	56.24	58.39	55.99	63.64	62.41	57.83	52.96
1972	52.5	58.7	57.54	63.07	59.82	57.96	54.66
1973	50.42	52.2	53.87	56.25	59.54	62.04	56.7
1974	50.44	46.9	53.96	57.22	56.91	55.09	52.74
1975	54.19	57.88	58.37	57.05	64.14	64.83	51.82
1976	58.19	67.14	61.14	58.7	68.92	68.07	62.94
1977	51.97	61.04	59.76	58.1	66.56	60.3	52.45
1978	42.53	57.2	56.74	47.61	62.63	57.37	40.61
1979	40.27	51.94	51.48	48.31	52.77	53.59	42.57
1980	44.98	52.61	48.55	54.96	54.63	51.6	43.05
1981	38.76	53.8	47.87	54.08	57.72	43.1	43.82
1982	37.95	51.32	43.7	47.48	49.66	35.69	38.56
1983	40.01	46.77	39.99	48.85	51.26	38.21	41.84
1984	49.68	55.97	49.86	54.78	61.26	53.86	56.11
1985	47.74	50.95	52.61	55.96	63.65	56.74	49.7
1986	41.94	49.91	46.05	51.82	59.83	47.93	42.38
1987	42.61	49.65	39.77	50.21	50.39	49.15	41.2
1988	42.56	49.5	51.11	50.91	54.19	49.8	43.17
1989	44.26	48.31	52.71	52.53	56.98	47.56	45.55
1990	42.77	47.13	47.28	51.94	53.75	45.67	43.69
1991	39.75	45.18	50.06	50.47	56.66	48.2	37.34
1992	40.99	45.22	51.51	48.04	58.29	49.09	43.06
1993	39.06	46.87	49.06	47.31	58.27	51.37	40.21
1994	39.86	50.96	55.21	47.13	57.47	54.84	32.2
