# Dobry - Seymour Watershed Vancouver - THPL - ITRDB CANA109
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3120
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3120.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana109-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana109-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana109.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana109.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Dobry - Seymour Watershed Vancouver - THPL - ITRDB CANA109
#--------------------
# Investigators
#   Investigators: Dobry, J.; Klinka, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Seymour Watershed Vancouver
#   Location: British Columbia
#   Northernmost_Latitude: 49.53
#   Southernmost_Latitude: 49.53
#   Easternmost_Longitude: -123.03
#   Westernmost_Longitude: -123.03
#   Elevation_m: 560
#--------------------
# Data_Collection
#   Collection_Name: CANA109
#   First_Year: 1539
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Thuja plicata Donn ex D. Don
#   Common_Name: western redcedar
#   Tree_Species_Code: THPL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SE0011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0022_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0022; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0031_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0031; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0032_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0032; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0041_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0041; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0051_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0051; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0061_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0061; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SE0071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SE0071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SE0011_raw	SE0012_raw	SE0021_raw	SE0022_raw	SE0031_raw	SE0032_raw	SE0041_raw	SE0051_raw	SE0061_raw	SE0071_raw
1539	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA
1540	NA	NA	NA	NA	NA	NA	NA	1.4	NA	NA
1541	NA	NA	NA	NA	NA	NA	NA	1.33	NA	NA
1542	NA	NA	NA	NA	NA	NA	NA	1.21	NA	NA
1543	NA	NA	NA	NA	NA	NA	NA	1.37	NA	NA
1544	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA
1545	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA
1546	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA
1547	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA
1548	NA	NA	NA	NA	NA	NA	NA	1.12	NA	NA
1549	NA	NA	NA	NA	NA	NA	NA	0.95	NA	NA
1550	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA
1551	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA
1552	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA
1553	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA
1554	NA	NA	NA	NA	NA	NA	NA	0.89	NA	NA
1555	NA	NA	NA	NA	NA	NA	NA	0.83	NA	NA
1556	NA	NA	NA	NA	NA	NA	NA	0.84	NA	NA
1557	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA
1558	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA
1559	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA
1560	NA	NA	NA	NA	NA	NA	NA	1.28	NA	NA
1561	NA	NA	NA	NA	NA	NA	NA	1.06	NA	NA
1562	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA
1563	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA
1564	NA	NA	NA	NA	NA	NA	NA	1.28	NA	NA
1565	NA	NA	NA	NA	NA	NA	NA	1.07	NA	NA
1566	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA
1567	NA	NA	NA	NA	NA	NA	NA	1.18	NA	NA
1568	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA
1569	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA
1570	NA	NA	NA	NA	NA	NA	NA	1.26	NA	NA
1571	2.19	NA	NA	NA	NA	NA	NA	1.44	NA	NA
1572	2.27	NA	NA	NA	NA	NA	NA	1.16	NA	NA
1573	2.4	NA	NA	NA	NA	NA	1.66	1.42	NA	NA
1574	1.87	NA	NA	NA	NA	NA	1.49	1.3	NA	NA
1575	1.84	NA	NA	NA	NA	NA	0.83	0.82	NA	NA
1576	1.96	NA	NA	NA	NA	NA	1.13	1.25	NA	NA
1577	2.03	NA	NA	NA	NA	NA	1.19	1.19	NA	NA
1578	2.11	NA	NA	NA	NA	NA	1.27	1.16	NA	NA
1579	1.83	NA	NA	NA	NA	NA	1.31	1.24	NA	NA
1580	1.4	NA	NA	NA	NA	NA	1.19	1.17	NA	NA
1581	1.81	NA	NA	NA	NA	NA	0.8	0.78	NA	NA
1582	1.52	NA	NA	NA	NA	NA	1	1.09	NA	NA
1583	1.89	NA	NA	NA	NA	NA	1.22	1.23	NA	NA
1584	1.64	NA	NA	NA	NA	NA	0.82	1.02	NA	NA
1585	1.39	NA	NA	NA	NA	NA	0.99	1.01	NA	NA
1586	1.68	NA	NA	NA	NA	NA	1.1	1.13	NA	NA
1587	1.76	NA	NA	NA	NA	NA	1.22	1.18	NA	NA
1588	1.54	NA	NA	NA	NA	NA	0.89	0.93	NA	NA
1589	1.54	NA	NA	NA	NA	NA	0.99	0.92	NA	NA
1590	1.96	NA	NA	NA	NA	NA	1.5	1.07	NA	NA
1591	1.51	NA	NA	NA	NA	NA	1.33	1.03	NA	NA
1592	1.57	NA	NA	NA	NA	NA	1.31	1.06	NA	NA
1593	1.64	NA	NA	NA	NA	NA	1.13	1.11	NA	NA
1594	0.98	NA	NA	NA	NA	NA	1.17	1.12	NA	NA
1595	0.42	NA	NA	NA	NA	NA	1.12	1.08	NA	NA
1596	0.5	NA	NA	NA	NA	NA	0.89	1.01	NA	NA
1597	1.17	NA	NA	NA	NA	NA	1.04	1.04	NA	NA
1598	1.67	NA	NA	NA	NA	NA	1.33	1.16	NA	NA
1599	1.82	NA	NA	NA	NA	NA	1.21	1.03	NA	NA
1600	1.54	NA	NA	NA	NA	NA	0.69	0.91	NA	NA
1601	1.69	NA	NA	NA	NA	NA	0.98	0.95	NA	NA
1602	1.56	NA	NA	NA	NA	NA	0.98	0.95	NA	NA
1603	1.46	NA	NA	NA	NA	NA	0.92	0.9	NA	NA
1604	1.54	1.67	NA	NA	NA	NA	0.98	1.03	NA	NA
1605	1.25	1.97	NA	NA	NA	NA	1.06	1.17	NA	NA
1606	1.39	2.16	NA	NA	NA	NA	1.14	1.49	NA	NA
1607	1.52	1.78	NA	NA	NA	NA	1.01	1.07	NA	NA
1608	1.64	1.89	NA	NA	NA	NA	1.01	1.19	NA	NA
1609	1.78	1.74	NA	NA	NA	NA	1.12	1.29	NA	NA
1610	1.95	1.78	NA	NA	NA	NA	1.15	1.3	NA	NA
1611	1.93	1.82	NA	NA	NA	NA	1.09	1.21	NA	NA
1612	1.5	1.25	NA	NA	NA	NA	1.26	1.05	NA	NA
