# Stefanuk - Frontenac Arch FR07 - ACSH - ITRDB CANA630
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32607
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32607.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana630-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana630-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana630.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana630.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR07 - ACSH - ITRDB CANA630
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR07
#   Location: Canada
#   Northernmost_Latitude: 44.506864
#   Southernmost_Latitude: 44.506864
#   Easternmost_Longitude: -76.042256
#   Westernmost_Longitude: -76.042256
#   Elevation_m: 92
#--------------------
# Data_Collection
#   Collection_Name: CANA630
#   First_Year: 1853
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 094FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 094FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 094FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 094FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 095FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 095FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 096FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 096FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 096FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 096FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 097FR07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 097FR07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 097FR07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 097FR07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	094FR07A_raw	094FR07B_raw	095FR07B_raw	096FR07A_raw	096FR07B_raw	097FR07A_raw	097FR07B_raw
1853	NA	NA	NA	NA	NA	NA	1.999
1854	NA	NA	NA	NA	NA	NA	2.354
1855	NA	NA	NA	NA	NA	NA	1.633
1856	NA	NA	NA	NA	NA	NA	1.985
1857	NA	NA	NA	NA	NA	NA	1.557
1858	NA	NA	NA	NA	NA	NA	1.646
1859	NA	NA	NA	NA	NA	1.746	1.211
1860	NA	NA	NA	NA	NA	1.188	0.79
1861	NA	NA	NA	NA	NA	1.028	1.007
1862	NA	NA	NA	NA	NA	0.762	0.43
1863	NA	NA	NA	NA	NA	0.503	0.508
1864	NA	NA	NA	NA	NA	0.632	0.614
1865	NA	NA	NA	NA	NA	0.882	0.811
1866	NA	NA	NA	NA	NA	0.417	0.489
1867	NA	NA	NA	NA	NA	0.591	0.499
1868	NA	NA	NA	NA	NA	0.99	1.006
1869	NA	NA	NA	NA	NA	1.176	1.014
1870	NA	NA	NA	NA	NA	1.303	1.075
1871	NA	NA	NA	NA	NA	1.205	1.315
1872	NA	NA	NA	NA	NA	1.275	1.323
1873	NA	NA	NA	NA	NA	1.504	1.062
1874	NA	NA	NA	NA	NA	1.629	1.048
1875	NA	NA	NA	NA	NA	1.185	0.932
1876	NA	NA	NA	NA	NA	1.532	1.065
1877	NA	NA	NA	NA	NA	1.349	0.998
1878	NA	NA	NA	NA	NA	1.034	0.825
1879	NA	NA	NA	NA	NA	1.024	1.02
1880	NA	NA	NA	NA	NA	1.104	1.088
1881	NA	NA	NA	NA	NA	2.282	2.702
1882	NA	NA	NA	NA	NA	2.465	3.811
1883	NA	NA	NA	NA	NA	2.828	2.5
1884	NA	NA	NA	NA	NA	4.429	3.907
1885	NA	NA	NA	NA	NA	3.038	2.185
1886	NA	NA	NA	NA	NA	2.95	1.369
1887	NA	NA	NA	NA	NA	3.419	2.09
1888	NA	NA	NA	NA	NA	4.394	2.716
1889	NA	NA	NA	NA	NA	3.261	2.162
1890	NA	NA	NA	NA	NA	3	2.214
1891	NA	NA	NA	NA	NA	6.444	4.487
1892	NA	NA	NA	NA	NA	3.737	3.815
1893	NA	NA	NA	NA	NA	2.645	4.263
1894	NA	NA	NA	NA	NA	1.819	3.749
1895	NA	NA	NA	NA	NA	1.919	3.412
1896	NA	0.403	NA	NA	NA	2.008	2.531
1897	NA	0.741	NA	NA	NA	1.948	2.038
1898	NA	1.026	NA	NA	2.109	2.43	2.828
1899	NA	1.664	NA	NA	2.648	2.832	2.904
1900	NA	1.908	NA	NA	1.21	4.175	3.111
1901	2.196	2.303	NA	NA	0.132	3.75	2.975
1902	1.456	1.572	NA	NA	0.725	4.998	3.73
1903	1.303	1.312	NA	NA	0.89	4.992	3.413
1904	1.278	1.505	NA	NA	1.942	4.1	2.53
1905	0.974	1.036	0.338	NA	1.535	3.989	2.573
1906	1.515	1.49	1.023	NA	1.075	2.95	1.963
1907	1.762	1.906	0.65	NA	2.099	3.445	3.301
1908	1.991	2.071	1.279	NA	2.045	3.312	3.05
1909	1.986	2.102	1.407	NA	1.938	3.022	2.386
1910	1.187	1.073	1.253	NA	1.472	3.281	2.486
1911	1.482	1.419	0.12	1.187	1.058	2.815	1.918
1912	1.677	1.688	1.266	1.436	1.429	2.409	1.487
1913	1.997	2.091	1.631	1.944	1.614	2.563	1.456
1914	1.662	1.89	1.667	1.585	2.379	3.178	1.754
1915	1.76	1.886	1.318	2.149	1.542	2.607	1.564
1916	1.944	1.975	1.428	2.692	2.353	2.516	1.327
1917	1.63	2.084	1.557	2.234	2.649	2.959	1.232
1918	1.495	1.674	1.448	2.121	2.011	2.521	1.135
1919	1.313	1.654	1.456	1.373	1.947	2.689	1.724
1920	0.014	0.053	1.243	0.144	1.469	1.71	1.217
1921	1.903	2.255	2.542	2.695	2.143	2.736	2.288
1922	0.716	0.901	0.399	0.977	0.923	3.38	3.601
1923	1.606	1.695	0.787	2.406	2.56	4.841	4.758
1924	0.739	1.466	0.142	1.758	1.843	3.741	4.061
1925	0.918	1.121	1.617	1.235	1.28	2.337	2.716
1926	1.165	1.053	1.476	0	0	2.14	1.58
1927	1.683	1.293	1.804	1.537	1.266	2.996	1.812
1928	1.175	1.35	1.717	1.934	1.716	2.753	2.456
1929	1.301	1.321	1.382	2.196	1.939	3.052	2.271
1930	1.067	1.254	1.689	1.581	1.409	2.34	1.758
1931	0.963	0.95	1.521	0.966	1.809	2.298	2.237
1932	0.78	0.866	1.514	2.004	2.071	2.117	2.023
1933	0.591	0.787	1.284	1.545	1.425	1.828	2.133
1934	0.662	0.698	1.566	1.537	1.768	1.82	2.187
1935	0.443	0.562	1.708	1.397	1.718	1.361	1.831
1936	0.666	0.694	1.3	1.151	1.001	1.382	1.492
1937	0.617	0.463	1.439	1.074	1.096	1.275	1.41
1938	0.592	0.497	1.444	0.85	1.262	1.097	1.171
1939	1.588	0.43	0.883	1.022	0.726	1.217	1.229
1940	0.624	0.859	0.659	0.736	0.575	0.936	0.731
