# Stefanuk - Frontenac Arch FR06 - ACSH - ITRDB CANA629
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32606
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32606.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana629-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana629-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana629.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana629.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Frontenac Arch FR06 - ACSH - ITRDB CANA629
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Frontenac Arch FR06
#   Location: Canada
#   Northernmost_Latitude: 44.528194
#   Southernmost_Latitude: 44.528194
#   Easternmost_Longitude: -76.03958
#   Westernmost_Longitude: -76.03958
#   Elevation_m: 140
#--------------------
# Data_Collection
#   Collection_Name: CANA629
#   First_Year: 1895
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 091FR06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 091FR06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 092FR06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 092FR06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 092FR06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 092FR06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 092FR06C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 092FR06C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 093FR06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 093FR06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 093FR06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 093FR06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	091FR06B_raw	092FR06A_raw	092FR06B_raw	092FR06C_raw	093FR06A_raw	093FR06B_raw
1895	NA	1.531	NA	NA	NA	NA
1896	NA	0.995	NA	NA	NA	NA
1897	NA	0.615	NA	NA	NA	NA
1898	NA	1.284	NA	NA	NA	NA
1899	NA	0.858	NA	NA	NA	NA
1900	NA	0.986	NA	NA	NA	NA
1901	NA	0.584	NA	NA	NA	NA
1902	NA	0.759	NA	NA	NA	NA
1903	NA	0.451	NA	NA	NA	NA
1904	NA	0.36	NA	NA	NA	NA
1905	NA	0.58	NA	NA	NA	NA
1906	NA	0.431	NA	NA	NA	NA
1907	NA	0.639	NA	NA	NA	NA
1908	NA	0.503	NA	NA	NA	NA
1909	NA	0.467	NA	NA	NA	NA
1910	NA	0.265	NA	NA	NA	NA
1911	NA	0.406	NA	NA	NA	NA
1912	NA	0.369	NA	NA	NA	NA
1913	NA	0.292	NA	NA	NA	NA
1914	NA	0.92	0.972	NA	NA	NA
1915	NA	1.13	1.808	NA	NA	NA
1916	NA	1.175	1.476	NA	NA	NA
1917	0.948	1.009	1.272	NA	NA	NA
1918	0.729	1.411	1.481	NA	NA	NA
1919	1.294	0.887	0.959	NA	NA	NA
1920	0.666	1.169	1.012	NA	NA	NA
1921	1.065	1.402	1.525	1.8	NA	NA
1922	0.319	0.739	0.907	1.387	NA	NA
1923	0.425	0.963	1.379	1.404	NA	NA
1924	0.577	0.563	1.036	1.153	NA	NA
1925	0.322	0.682	0.891	1.281	NA	NA
1926	0.757	0.68	1.088	0.637	NA	NA
1927	1.198	1.18	1.361	0.997	NA	NA
1928	1.226	0.921	1.26	1.031	NA	NA
1929	1.576	1.311	1.824	1.553	NA	NA
1930	0.751	0.772	0.915	0.926	NA	NA
1931	1.187	1.108	1.213	1.031	NA	NA
1932	0.922	1.443	1.564	0.823	NA	NA
1933	0.705	1.072	1.527	0.953	NA	NA
1934	0.906	1.046	1.401	1.113	NA	NA
1935	0.864	1.006	1.209	1.198	NA	NA
1936	0.894	1.008	1.108	0.736	NA	NA
1937	1.08	0.939	0.677	0.698	NA	NA
1938	0.679	0.81	0.957	0.998	NA	NA
1939	1.727	0.747	1.153	0.868	NA	NA
1940	1.151	0.945	0.988	0.902	NA	NA
1941	1.381	1.145	1.22	1.023	NA	1.628
1942	1.172	1.182	1.126	0.565	1.631	1.808
1943	0.713	0.809	1.048	0.925	0.933	1.132
1944	0.594	0.568	0.487	0.464	1.525	1.869
1945	1.842	0.935	1.018	1	1.096	1.853
1946	1.445	1.66	1.66	1.703	2.57	3.19
1947	1.15	1.268	1.547	1.47	2.21	3.024
1948	0.841	1.051	1.048	0.931	1.299	2.215
1949	0	0.797	1.021	1.06	2.415	3.209
1950	2.387	1.405	1.273	1.05	2.688	3.561
1951	0.327	0.337	0.245	0.205	0.488	0.619
1952	0.564	1.012	1.483	1.68	3.428	4.081
1953	0	1.658	1.864	1.874	3.13	3.674
1954	1.659	1.179	1.156	1.306	1.548	2.745
1955	1.071	1.566	1.417	2.044	3.097	3.184
1956	1.461	1.551	1.498	1.747	2.73	2.488
1957	1.87	0.891	1.13	1.166	1.26	2.166
1958	0.968	0.828	0.974	0.881	0.684	2.972
1959	1.295	0.14	0.046	0.041	1.116	2.484
1960	1.363	1.23	1.287	1.18	2.073	3.101
1961	1.597	1.068	1.051	1.254	2.121	2.179
1962	0.757	1.011	1.116	1.151	1.832	1.927
1963	0.711	0.84	0.877	0.828	1.893	1.834
1964	0.853	0.863	0.593	0.54	1.475	1.328
1965	0.447	0.534	0.609	0.486	1.501	1.728
1966	0.858	0.67	0.659	0.581	2.183	2.288
1967	1.478	0.722	0.75	0.627	1.855	1.959
1968	1.354	0.749	0.561	0.669	1.799	2.599
1969	1.707	0.807	0.692	0.68	2.359	2.731
1970	2.045	0.911	0.839	0.825	1.796	2.261
1971	1.074	0.756	1.072	0.763	2.736	3.369
1972	2.283	1.212	1.28	1.039	2.358	2.141
1973	1.299	0.863	0.938	0.678	2.417	3.33
1974	2.281	1.024	1.148	0.881	1.761	2.957
1975	1.099	1.072	1.158	0.761	1.752	2.544
1976	0.901	0.715	1.112	0.683	1.271	1.99
1977	0.592	0.663	0.77	0.551	1.279	1.813
1978	0.769	0.717	0.869	0.772	1.609	1.926
1979	1.086	1.161	1.325	1.432	2.026	2.83
1980	1.593	1.693	1.766	1.885	2.05	1.832
1981	0.759	0.841	0.922	1.183	1.65	1.791
1982	1.515	0.997	0.974	1.186	0.929	0.942
1983	1.137	0.602	0.592	0.711	0.477	0.741
1984	0.85	0.791	0.861	1.037	0.548	0.665
1985	1.905	1.791	1.82	1.819	1.304	1.383
1986	1.814	1.646	1.723	1.428	1.21	1.869
1987	1.726	1.349	1.29	1.241	1.043	1.844
1988	0.747	0.618	0.936	0.622	0	0
