# St. George - Bruce Park - QUMA - ITRDB CANA177
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4788
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4788.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana177-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana177-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana177.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana177.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-13
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-13
#--------------------
# Title
#   Study_Name: St. George - Bruce Park - QUMA - ITRDB CANA177
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Bruce Park
#   Location: Manitoba
#   Northernmost_Latitude: 49.87
#   Southernmost_Latitude: 49.87
#   Easternmost_Longitude: -97.22
#   Westernmost_Longitude: -97.22
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA177
#   First_Year: 1855
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## B0001a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0001a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0002a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0002a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0003a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0003a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0004a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0004a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0005a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0005a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0006a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0006a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0007a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0007a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0008a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0008a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0009a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0009a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0010a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0010a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0011a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0011a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0012a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0012a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0013a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0013a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0014a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0014a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## B0015a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: B0015a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	B0001a_raw	B0002a_raw	B0003a_raw	B0004a_raw	B0005a_raw	B0006a_raw	B0007a_raw	B0008a_raw	B0009a_raw	B0010a_raw	B0011a_raw	B0012a_raw	B0013a_raw	B0014a_raw	B0015a_raw
1855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.044
1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.623
1857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.075
1858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.255
1859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.69	NA	1.599
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.417	1.83	1.855
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.16	1.556	2.434
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.002	1.528	1.595
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.768	1.527	0.986
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.664	1.029	1.855
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.434	1.08	2.321
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.102	1.217	1.9
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.417	1	0.951
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.649	0.574	0.114
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.414	1.039	0.182
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.338	1.171	0.204
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.776	1.331	0.281
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63	1.458	0.406
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.242	0.907	0.305
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.079	0.666	0.404
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.503	0.387	0.304
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.646	0.525	0.461
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.676	1.12	1.035
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.291	0.6	1.194
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.737	0.582	1.211
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.575	1.738	0.668	1.511
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.043	1.697	0.601	1.552
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.21	1.5	0.812	1.69
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.166	1.052	0.643	1.048
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.567	1.367	0.541	1.046
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.457	1.586	0.531	1.736
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.578	1.078	0.551	1.404
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.397	1.084	0.523	1.563
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.766	1.215	0.672	1.95
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.447	0.833	0.524	1.277
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.573	1.068	0.704	1.852
1891	NA	3.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97	1.409	0.727	3.015
1892	NA	3.055	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.25	1.526	0.811	3.174
1893	NA	3.739	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.134	1.669	0.827	2.77
1894	NA	3.618	NA	1.485	NA	NA	NA	NA	NA	NA	NA	4.965	1.485	0.882	2.6
1895	NA	3.494	NA	1.832	NA	NA	NA	NA	NA	NA	NA	3.243	1.706	0.968	2.416
1896	NA	3.406	NA	1.609	NA	NA	NA	NA	NA	NA	NA	3.114	1.88	1.006	2.369
1897	NA	3.233	NA	1.543	NA	NA	NA	NA	NA	NA	NA	3.947	1.948	1.031	2.477
1898	NA	2.712	NA	0.993	NA	NA	NA	NA	NA	NA	NA	2.967	1.98	1.131	2.54
1899	NA	3.105	NA	0.899	NA	NA	NA	NA	0.43	NA	2.437	2.934	1.672	1.024	2.821
1900	NA	1.875	NA	0.783	1.202	NA	0.848	NA	0.624	NA	1.057	2.257	1.099	0.717	1.664
1901	NA	3.324	NA	1.375	3.348	NA	1.177	NA	1.33	NA	1.486	3.037	1.837	1.394	2.816
1902	NA	3.325	NA	1.652	2.968	NA	1.729	NA	2.023	NA	1.885	3.024	1.667	1.486	3.353
1903	NA	2.362	NA	1.126	1.915	NA	1.218	NA	1.506	NA	1.11	1.838	0.854	0.884	2.153
1904	NA	3.327	NA	1.298	3.26	NA	1.322	NA	1.641	NA	1.894	3.432	1.378	1.09	2.849
1905	NA	3.765	NA	1.538	2.517	NA	1.676	NA	2.177	NA	3.296	2.79	1.422	1.316	3.139
1906	NA	3.143	NA	1.531	2.906	2.197	1.676	NA	1.237	NA	2.578	2.517	0.88	0.932	2.743
1907	1.796	2.467	NA	1.475	3.543	2.387	1.484	NA	1.25	NA	2.708	2.056	0.84	0.918	2.748
1908	2.118	2.365	2.745	1.402	3.611	1.993	1.47	NA	1.761	NA	2.238	2.018	0.698	0.832	2.302
1909	1.939	2.776	2.903	1.541	4.319	2.166	1.673	NA	1.743	NA	2.848	2.799	0.982	0.739	2.864
1910	1.771	1.913	2.346	1.18	3.971	1.715	1.645	1.957	1.512	1.421	1.434	1.657	0.859	0.743	1.81
1911	2.037	2.211	3.044	1.738	4.49	1.819	1.965	2.475	1.905	2.562	2.885	1.955	0.888	0.665	2.258
