# Campbell - Nelson House - PIBN - ITRDB CANA7
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2926
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2926.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ld-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana7ld-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana7ld.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana7ld.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Nelson House - PIBN - ITRDB CANA7
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nelson House
#   Location: Manitoba
#   Northernmost_Latitude: 55.93
#   Southernmost_Latitude: 55.93
#   Easternmost_Longitude: -98.63
#   Westernmost_Longitude: -98.63
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA7
#   First_Year: 1939
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NOJ104C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ104C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ121C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ121C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ168C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ168C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ088C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ088C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ148B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ148B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 0TF141C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 0TF141C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ073C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ073C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ139C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ139C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NOJ045C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NOJ045C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NOJ104C_raw	NOJ121C_raw	NOJ168C_raw	NOJ088C_raw	NOJ148B_raw	0TF141C_raw	NOJ073C_raw	NOJ139C_raw	NOJ045C_raw
1938	NA	NA	33.71	NA	NA	41.09	NA	NA	NA
1939	NA	43.09	46.72	NA	41.24	43.5	NA	NA	NA
1940	NA	46.69	51.67	40.56	56.88	51.82	NA	38.62	NA
1941	37.67	48.15	50.99	49.05	55.99	64.87	NA	49.22	NA
1942	42.82	49.08	52.45	52.19	54.71	67.23	NA	46	NA
1943	50.77	52.09	52.87	56.05	54.9	65.4	43.66	50.1	NA
1944	53.89	56.95	55.68	58.53	58.4	69.21	53.91	54.74	NA
1945	43.41	48.02	52.7	47.86	56.28	56.45	63.09	48.33	NA
1946	55.78	54.97	53.74	54.15	57.86	60.14	54.98	55	NA
1947	60.49	57.73	56.09	62.53	58.11	64.89	61.96	54.58	NA
1948	60.91	58.76	56.46	64.1	59.82	52.65	59.69	61.07	NA
1949	60.56	56.29	54.48	64.94	56.16	62.93	56.89	57.75	NA
1950	55.02	58.28	53.16	57.93	58.87	56.29	55.76	57.32	NA
1951	60.37	56.12	55.08	65.37	58.57	54.87	56.18	62.56	NA
1952	58.82	58.58	58.56	63.77	60.3	60.42	59.84	63.74	NA
1953	59.98	57.8	55.33	62.84	57.99	56.12	62.62	56.61	NA
1954	64.95	60.5	54.81	52.9	57.56	53.53	62.57	61.67	NA
1955	67.28	60.18	56.04	65.69	58.39	51.1	66.78	62.41	43.65
1956	65.5	57.58	51.69	61.7	54.59	51.13	69.04	57	48.39
1957	68.76	61.15	57.08	60.29	57.75	51.3	61.19	64.15	50.33
1958	66.79	60.51	54.29	66.05	58.55	58.02	67.81	60.71	57.19
1959	64.63	59.85	53.38	63.69	51.48	59.44	64.6	56.69	56.11
1960	69.1	60.05	55.64	61.58	57.38	59.92	64.83	58.45	60.55
1961	63.02	58.94	56.54	59.25	58.21	60.97	64.4	62.99	53.87
1962	57.64	57.37	57.52	53.05	55.78	60.76	68.32	59.5	54.83
1963	61.12	58.27	58.11	62.29	54.31	56.2	64.95	61.32	58.83
1964	64.04	52.12	56.24	57.75	55.01	63.91	65.46	59.06	60.12
1965	61.15	57.01	56.78	69.44	54.56	56.75	69.93	60.97	56.84
1966	60.59	58.67	56.25	68.34	59.38	64.41	71.5	61.65	49.03
1967	56.9	60	55.08	60.64	55.51	61.62	67.67	58.9	58.12
1968	61.3	59.16	55.65	64.61	53.72	59.2	66.22	60.54	55.03
1969	63.5	55.15	55.14	66.17	51.06	51.41	71.71	56.69	54.11
1970	60.87	57.14	55.47	57.9	49.22	52.35	69.16	56.06	52.12
1971	61.14	56.83	53.74	56.08	55.32	56.35	58.85	57.56	46.94
1972	56.85	56.64	54.43	59.02	54.93	58.65	67.41	53.34	50.2
1973	59.91	49.97	53.86	49.67	50.12	58.65	65.33	53.14	50.91
1974	58.16	54.55	53.09	50.34	46.1	49.71	65.59	50.48	51.34
1975	58.52	52.99	54.22	56.17	56.24	55.24	63.56	51.42	50.87
1976	54.46	59.08	55.78	58.41	57.42	60.13	68.83	54.63	50.93
1977	57.55	54.48	56.75	49.05	54.95	57.86	69.41	53.15	50.72
1978	57.06	52.39	54.02	49.3	45.15	58.82	68.84	50.07	45.27
1979	50.92	43.9	53.11	46.6	39.99	44.29	63.7	42.59	47.76
1980	53.1	42.33	54.46	48.91	40.5	47.09	55.96	37.79	46.21
1981	53.9	45.18	52.97	42.39	51.96	45.75	60.05	43.31	43.14
1982	59.29	42.84	53.17	44.19	49.13	47.04	60.13	48.14	44.27
1983	54.6	51.21	53.18	43.73	54.41	52.67	61.23	49.48	46.21
1984	59.59	51.57	52.86	46.7	45.87	51.5	60.74	48.76	44.53
1985	55.6	54.37	53.3	54.67	46.6	50.91	59.87	54.53	44.57
1986	51.06	53.68	50.39	48.8	33.37	40.84	66.28	47.01	42.72
1987	52.83	44.09	50.93	51.14	41.23	46.37	59.12	51.04	42.54
1988	56.76	51.18	50.09	49.71	51.97	49.64	59.14	51.26	44.94
1989	56.92	53	49.61	45.18	48.65	46.59	60.67	58.26	45.12
1990	51.39	48.95	49.6	43.98	38.63	45.68	63.43	59.07	45.24
1991	58.9	49.21	48.98	50.14	44.6	52.92	64.84	56.46	44.27
1992	60.19	51.99	48.66	51.22	45.29	51.14	62.44	55.68	44.55
1993	53.75	50.9	47.84	60.19	51.47	51.94	63.83	54.34	46.62
1994	45.54	53.69	33.12	63	31.84	52.7	52.97	42.79	54.44
