# Stefanuk - Algonquin Highlands AL01 - ACSH - ITRDB CANA615
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32592
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32592.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana615-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana615-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana615.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana615.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL01 - ACSH - ITRDB CANA615
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL01
#   Location: Canada
#   Northernmost_Latitude: 45.47067
#   Southernmost_Latitude: 45.47067
#   Easternmost_Longitude: -78.7045
#   Westernmost_Longitude: -78.7045
#   Elevation_m: 447
#--------------------
# Data_Collection
#   Collection_Name: CANA615
#   First_Year: 1885
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 013AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 013AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 013AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 013AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 014AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 014AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 014AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 014AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015AL01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015AL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 015AL01B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 015AL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	013AL01A_raw	013AL01B_raw	014AL01A_raw	014AL01B_raw	015AL01A_raw	015AL01B_raw
1885	0.149	NA	NA	NA	NA	NA
1886	0.419	NA	NA	NA	NA	NA
1887	0.322	NA	NA	NA	NA	NA
1888	0.314	NA	NA	NA	NA	NA
1889	0.477	NA	NA	NA	NA	NA
1890	1.172	NA	NA	1.808	NA	NA
1891	1.494	NA	NA	2.667	NA	NA
1892	1.909	NA	NA	2.744	NA	NA
1893	1.28	NA	NA	2.811	NA	NA
1894	1.617	NA	NA	2.236	NA	NA
1895	1.054	NA	2.528	2.309	NA	NA
1896	2.286	NA	2.396	1.618	NA	NA
1897	1.505	NA	1.854	2.256	NA	NA
1898	1.442	NA	2.167	1.413	NA	NA
1899	2.052	NA	1.873	0.929	NA	NA
1900	2.131	NA	1.404	1.622	NA	NA
1901	0	NA	2.717	2.15	NA	NA
1902	2.289	NA	2.488	2.521	NA	NA
1903	2.688	NA	2.191	2.329	NA	NA
1904	2.792	NA	2.79	2.379	NA	NA
1905	2.235	NA	2.856	2.13	NA	NA
1906	2.611	NA	2.671	2.067	NA	NA
1907	1.96	1.461	1.998	1.946	NA	NA
1908	2.755	2.377	2.548	2.389	NA	NA
1909	3.135	1.743	0	3.795	NA	NA
1910	1.824	1.533	0.428	2.828	NA	NA
1911	3.694	1.319	1.097	1.775	NA	NA
1912	2.407	2.483	2.583	2.132	NA	NA
1913	0	1.744	1.926	2.153	NA	NA
1914	1.669	1.342	2.457	2.161	NA	NA
1915	2.909	1.512	3.209	2.252	NA	NA
1916	2.179	1.415	2.393	1.957	NA	NA
1917	1.441	2.203	1.812	1.738	NA	NA
1918	1.339	1.905	1.268	0.857	NA	NA
1919	1.726	2.966	2.081	1.28	NA	NA
1920	2.622	1.708	2.992	1.536	NA	NA
1921	2.409	2.163	2.686	1.851	NA	NA
1922	3.02	2.328	2.577	2.273	2.803	NA
1923	1.801	2.362	1.044	1.383	2.115	NA
1924	2.276	2.128	1.778	1.664	1.994	NA
1925	2.24	2.984	1.543	1.535	0.565	1.147
1926	2.351	2.763	1.958	1.218	1.067	2.266
1927	1.956	3.173	1.669	0.94	1.861	2.567
1928	2.059	3.447	2.071	1.417	2.666	2.965
1929	2.551	3.17	1.569	0.717	2.31	1.856
1930	2.557	2.427	1.835	0.551	2.618	1.774
1931	2.852	2.808	1.86	0.817	1.99	1.457
1932	2.079	2.583	1.718	0.716	2.491	1.331
1933	2.973	3.001	1.734	0.852	2.763	0.922
1934	2.336	2.939	1.788	0.719	1.47	0.612
1935	2.923	3.325	2.239	1.287	2.418	0.8
1936	1.782	2.062	1.299	0.724	1.631	0
1937	2.085	2.585	1.849	1.353	0.947	0.597
1938	2.614	3.01	2.451	1.45	3.398	1.909
1939	3.271	3.695	1.889	1.226	5.104	2.368
1940	2.414	2.289	1.137	0.715	4.248	1.158
1941	2.151	2.078	1.254	0.812	4.143	1.344
1942	1.88	1.668	0.918	0.698	2.706	1.584
1943	2.812	2.375	1.259	0.45	2.576	0.918
1944	2.24	2.071	0.898	0.645	2.202	0.866
1945	1.967	2.085	1.104	0.929	3.679	1.128
1946	1.749	2.002	1.433	1.082	3.52	1.408
1947	1.97	2.151	1.553	0.912	4.194	2.287
1948	1.843	1.493	1.11	1.035	2.175	1.412
1949	1.974	2.081	1.24	1.622	2.149	1.711
1950	1.594	2.17	1.482	1.911	2.107	2.288
1951	2.033	2.437	2.104	1.459	3.742	3.517
1952	1.831	2.157	1.711	0	4.748	3.832
1953	1.475	1.261	1.2	1.218	2.594	3.257
1954	0.978	1.033	1.234	1.001	1.096	0.984
1955	1.694	2.018	1.716	2.047	2.45	2.241
1956	1.233	1.54	1.701	1.775	1.896	1.634
1957	1.46	1.812	1.651	2.052	4.362	1.377
1958	1.976	2.307	1.451	2.225	3.136	1.154
1959	2.112	2.666	1.774	2.961	3.153	1.501
1960	1.961	2.463	1.585	2.109	2.86	1.692
1961	2.071	2.192	1.668	2.174	2.893	1.865
1962	1.592	1.683	1.759	1.806	1.719	1.24
1963	2.428	2.781	2.181	2.25	1.208	1.311
1964	1.404	1.889	1.819	1.861	2.536	1.863
1965	1.168	1.746	1.623	1.334	1.905	1.663
1966	1.152	2.121	1.592	1.416	1.683	1.22
1967	1.016	1.486	1.426	1.804	1.524	0.931
1968	1.281	1.364	2.142	2.029	2.255	1.862
1969	1.165	1.35	1.573	2.234	2.178	1.491
1970	2.004	2.328	1.642	2.039	2.225	1.861
1971	1.686	2.009	1.878	2.369	2.533	1.784
1972	1.587	1.936	1.626	1.743	2.286	1.857
1973	1.894	2.406	1.559	1.684	2.635	1.911
1974	1.221	1.871	1.859	1.318	1.869	1.774
1975	1.662	2.428	2.324	1.87	1.796	1.942
1976	1.848	2.589	2.09	1.521	2.029	1.697
1977	1.432	1.756	1.884	1.947	1.441	1.61
1978	0.785	1.666	1.82	1.935	1.147	1.196
1979	1.373	2.638	1.953	2.213	1.635	2.128
1980	1.908	3.158	2.022	2.395	1.31	1.526
1981	1.491	2.901	1.737	2.408	1.748	1.268
1982	2.271	3.452	1.905	2.337	1.588	1.012
1983	1.594	3.154	2.28	2.829	1.201	0.772
1984	0.951	2.697	1.49	2.506	0.727	0.791
1985	1.606	2.767	2.113	3.059	1.469	1.246
1986	1.019	2.414	1.671	3.065	1.292	1.018
1987	1.272	2.888	1.902	1.755	1.671	1.423
1988	0.727	1.074	1.171	1.401	0.85	0.847
1989	0.638	1.468	1.71	1.428	0.279	0.203
1990	0.757	1.586	2.042	1.965	0.25	0.224
1991	0.607	1.449	1.72	1.853	0.642	0.526
1992	0.661	1.305	1.882	2.175	0.543	0.664
1993	0.975	1.985	2.41	2.973	0.681	0.585
1994	1.798	2.132	2.086	2.316	0.946	0.819
1995	3.033	2.479	2.446	3.019	0.929	0.749
1996	1.889	1.827	1.678	1.836	0.614	0.402
1997	1.929	1.91	2.035	1.943	0.656	0.612
1998	1.995	1.899	2.652	2.158	0.456	0.206
1999	2.041	2.182	1.915	2.091	0.982	0.429
2000	1.609	1.116	1.117	1.797	1.087	0.456
2001	2.03	1.334	1.16	2.27	1.046	0.339
2002	1.268	0.959	1.031	1.595	0.633	0.354
2003	1.705	0.823	0.805	1.583	0.569	0.388
2004	1.21	1.177	0.921	2.135	0.896	0.508
2005	1.911	1.122	0.957	2.097	0.296	0
