# St. George - St. Norbert - QUMA - ITRDB CANA190
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4803
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4803.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana190-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana190-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana190.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana190.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-09-13
#--------------------
# File_Last_Modified_Date
#   Date: 2002-09-13
#--------------------
# Title
#   Study_Name: St. George - St. Norbert - QUMA - ITRDB CANA190
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: St. Norbert
#   Location: Manitoba
#   Northernmost_Latitude: 49.75
#   Southernmost_Latitude: 49.75
#   Easternmost_Longitude: -97.15
#   Westernmost_Longitude: -97.15
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA190
#   First_Year: 1855
#   Last_Year: 1998
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## n9901a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9901a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9902a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9902a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9903a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9903a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## N9904a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: N9904a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9905a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9905a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9906a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9906a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9907a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9907a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9908a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9908a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9909a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9909a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## n9910a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: n9910a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	n9901a_raw	n9902a_raw	n9903a_raw	N9904a_raw	n9905a_raw	n9906a_raw	n9907a_raw	n9908a_raw	n9909a_raw	n9910a_raw
1855	NA	NA	NA	NA	NA	NA	NA	NA	1.506	NA
1856	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA
1857	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA
1858	NA	NA	NA	NA	1.184	NA	NA	NA	0.995	NA
1859	2.193	NA	NA	NA	0.996	NA	NA	NA	0.992	NA
1860	1.927	NA	NA	NA	0.915	NA	NA	NA	1.062	NA
1861	1.742	NA	NA	NA	1.595	NA	NA	NA	1.124	NA
1862	1.162	NA	NA	NA	1.151	NA	0.788	NA	0.789	NA
1863	0.766	NA	NA	NA	0.916	NA	0.352	NA	0.8	NA
1864	0.789	NA	NA	NA	0.75	NA	0.335	NA	0.619	NA
1865	0.914	NA	NA	NA	1.155	NA	0.744	0.681	0.869	NA
1866	0.967	NA	NA	NA	1.916	2.033	0.973	0.645	1.385	NA
1867	1.184	NA	1.381	NA	2.06	2.22	0.712	1.301	1.531	NA
1868	1.223	NA	0.882	NA	1.281	1.408	1.052	1.629	2.019	NA
1869	0.476	NA	0.495	NA	0.694	0.956	0.756	0.945	0.727	NA
1870	0.805	NA	0.697	NA	1.105	1.256	0.614	0.818	1.151	NA
1871	0.821	NA	0.634	NA	1.278	1.328	0.924	0.827	1.432	NA
1872	0.727	NA	1.067	NA	1.461	1.496	0.799	0.881	1.232	NA
1873	0.655	NA	0.953	NA	1.337	1.447	1.032	0.727	1.012	NA
1874	0.58	NA	0.715	NA	1.316	1.378	0.946	0.907	1.112	NA
1875	0.628	NA	0.495	NA	1.097	1.145	0.695	0.978	0.845	NA
1876	0.745	NA	0.651	NA	1.048	1.674	0.938	0.963	1.01	NA
1877	0.729	NA	1.026	1.8	1.631	2.376	1.517	1.55	1.142	NA
1878	0.708	NA	0.911	1.574	1.375	1.038	1.479	1.314	1.107	NA
1879	0.854	0.8	1.07	1.46	1.732	1.321	1.692	1.14	1.506	NA
1880	0.753	0.887	0.85	1.499	1.788	0.791	1.906	1.01	1.692	NA
1881	0.906	0.95	0.885	1.484	1.742	0.923	2.967	1.157	1.831	NA
1882	0.812	0.946	1.072	1.45	1.644	0.937	2.585	1.441	1.75	NA
1883	0.855	0.65	0.788	1.347	1.326	0.611	1.5	1.249	1.796	NA
1884	0.812	0.68	0.678	1.364	1.302	0.503	1.69	1.087	1.412	NA
1885	1.016	0.815	0.737	1.649	1.472	0.711	1.677	1.144	1.704	NA
1886	1.128	0.683	0.616	1.237	0.958	0.693	1.125	0.638	1.255	NA
1887	1.358	0.68	1.343	1.743	1.091	1.073	1.493	0.833	1.129	NA
1888	1.153	0.701	0.899	1.787	0.976	0.663	0.986	1.232	1.324	NA
1889	1.026	0.555	0.434	0.993	0.569	0.415	0.578	1.262	1.058	NA
1890	1.496	0.764	0.609	1.423	0.724	0.555	0.847	2.613	1.668	NA
1891	1.203	0.788	0.821	1.424	0.993	0.864	0.91	1.996	1.77	NA
1892	1.394	1.279	0.851	1.502	1.119	0.836	1.379	2.408	2.21	NA
1893	0.865	1.121	1.06	1.702	0.964	0.896	1.503	2.33	1.784	0.705
1894	0.833	0.966	0.866	1.295	0.961	0.801	1.449	1.717	1.597	0.388
1895	1.148	1.031	1.305	1.585	1.153	1.159	1.756	1.603	1.867	0.606
1896	1.25	1.217	1.207	1.368	1.174	1.142	1.787	1.784	1.731	1.34
1897	0.751	0.879	0.711	1.362	0.932	0.905	1.544	1.519	1.407	2.046
1898	0.871	1.111	0.957	1.312	1.045	0.88	1.753	1.641	1.769	1.218
1899	0.986	0.902	0.751	1.447	1.031	0.895	1.754	1.585	1.74	0.648
1900	0.713	0.529	0.573	1.168	0.691	0.564	1.088	0.991	0.982	0.417
1901	0.773	0.561	1.152	1.52	1.15	0.929	1.486	1.231	1.576	1.054
1902	1.202	1.055	1.194	1.855	1.32	1.347	1.594	1.389	1.64	1.041
1903	0.871	0.69	0.677	1.204	0.819	0.809	1.208	0.843	1.103	0.612
1904	1.023	0.878	1.313	1.443	1.14	1.013	1.346	1.177	1.344	1.019
1905	1.174	0.805	1.494	1.487	1.336	1.301	1.58	1.564	1.537	1.654
1906	1.078	0.768	1.249	1.533	1.223	1.027	1.469	1.774	1.442	1.378
1907	0.796	0.954	1.208	1.627	1.431	1.108	1.692	1.257	0.891	1.587
1908	0.74	1.031	1.667	1.624	1.664	1.332	2.854	1.251	0.522	1.678
1909	0.826	1.103	2.235	2.107	1.524	1.83	3.132	1.807	0.662	2.182
1910	1.117	1.183	1.461	1.786	1.495	1.013	2.572	0.988	0.909	1.958
1911	1.361	1.284	1.978	2.013	1.779	1.484	2.529	1.627	1.429	2.333
1912	1.326	1.352	1.939	2.099	1.5	1.422	1.725	1.55	1.694	2.558
1913	1.147	1.152	1.34	1.709	1.084	1.089	1.139	1.463	1.513	2.354
1914	1.124	0.853	1.162	1.939	0.837	1.013	0.996	1.292	1.106	2.121
1915	1.015	0.746	0.75	1.609	0.526	0.772	0.944	0.953	1.138	1.382
1916	1.16	0.966	1.519	1.999	0.916	1.217	1.622	1.612	1.491	1.972
1917	0.78	0.765	0.903	1.072	0.611	0.709	1.081	0.992	0.866	1.701
