# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8rw-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8rw-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8rw.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8rw.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	15.07	NA	NA	NA
1920	NA	NA	20.72	13.41	NA	NA	NA
1921	21.01	NA	26.52	23.53	NA	NA	NA
1922	18.95	38.32	32.32	29.93	36.26	NA	NA
1923	19.77	30.49	33.98	29.51	31.73	NA	NA
1924	17.71	25.75	28.39	33.23	29.25	24.46	NA
1925	22.04	33.79	37.3	42.51	36.26	28.87	NA
1926	19.77	26.58	28.59	36.32	30.7	24.66	22.87
1927	17.71	18.95	21.96	27.04	24.52	24.46	15.25
1928	16.06	17.1	16.37	23.32	20.19	25.26	15.05
1929	12.15	14.01	15.96	19.61	22.66	26.86	14.04
1930	11.74	15.25	15.13	20.64	21.84	28.87	11.84
1931	10.3	12.77	9.12	17.54	23.49	25.66	11.23
1932	6.8	9.89	8.29	12.8	22.66	16.04	10.43
1933	3.91	4.94	5.18	7.02	16.07	7.62	9.03
1934	4.94	3.91	5.39	9.29	15.25	8.02	10.23
1935	5.35	4.74	7.46	9.49	13.8	10.42	11.03
1936	5.35	5.36	5.8	6.81	8.65	9.62	9.03
1937	8.65	10.51	9.95	9.91	9.27	13.23	11.63
1938	10.71	14.63	11.6	11.97	16.48	15.84	11.84
1939	15.86	9.27	11.81	16.1	14.42	19.24	14.04
1940	12.15	11.33	9.74	8.87	12.57	17.84	8.63
1941	7	8.24	9.32	9.49	11.12	12.63	6.62
1942	7.41	6.59	9.12	9.08	9.89	8.42	7.22
1943	8.24	5.97	5.39	8.67	8.03	7.22	7.42
1944	10.71	8.65	7.87	9.91	11.74	10.02	10.83
1945	11.12	10.3	8.29	9.7	12.77	10.02	13.24
1946	10.71	8.65	8.91	8.26	11.95	8.42	15.65
1947	12.77	11.74	10.57	7.43	12.36	10.02	13.24
1948	8.24	9.89	8.91	7.64	9.06	8.02	9.23
1949	14.42	10.3	7.46	10.32	11.12	11.63	10.83
1950	9.89	8.86	6.42	7.43	9.68	11.23	8.02
1951	7.83	8.45	6.84	7.84	10.3	12.43	6.42
1952	7.83	6.8	5.18	6.81	8.65	10.42	6.82
1953	8.65	8.24	6.63	6.19	9.48	8.82	7.62
1954	9.27	9.68	7.05	8.67	11.74	6.41	8.02
1955	11.33	9.07	7.05	7.02	11.33	5.41	6.42
1956	9.27	5.56	6.63	7.84	9.48	5.21	7.62
1957	11.74	7.21	5.8	8.05	11.12	10.42	9.23
1958	7.83	4.74	5.8	8.67	8.24	11.63	6.02
1959	8.24	4.12	6.42	9.49	8.65	10.82	4.81
1960	11.53	7	5.8	9.08	8.86	9.62	6.02
1961	5.35	4.53	4.14	5.37	7	6.21	4.01
1962	4.94	3.3	3.73	5.16	7.62	5.21	1.2
1963	5.77	2.68	2.9	3.92	6.59	5.61	0.8
1964	3.71	2.47	2.49	2.27	3.3	3.21	1.6
1965	6.59	3.09	3.73	4.95	5.36	6.01	2.01
1966	4.94	2.68	4.14	4.95	4.53	4.01	3.21
1967	6.18	3.3	4.56	6.19	5.36	5.21	4.41
1968	7	3.3	5.18	5.78	4.94	6.01	4.81
1969	9.06	4.33	5.59	5.99	7.21	8.02	6.42
1970	8.24	4.12	3.94	4.33	6.18	7.42	5.22
1971	10.3	3.71	4.56	7.84	7.42	6.82	5.62
1972	7.83	3.71	6.22	7.22	6.59	5.01	5.62
1973	8.24	3.3	4.56	6.6	6.18	6.41	5.82
1974	9.47	3.91	4.97	7.02	7.42	6.82	4.81
1975	9.06	4.94	5.8	10.11	10.71	8.42	7.62
1976	9.47	5.36	7.25	9.08	12.98	9.62	9.43
1977	4.53	2.47	4.35	5.99	8.45	7.42	2.61
1978	3.71	2.06	3.52	3.92	7	7.42	3.21
1979	3.3	0.82	2.07	3.3	3.71	5.21	2.41
1980	2.88	1.44	1.45	3.3	2.47	3.01	2.01
1981	2.47	1.85	1.86	4.13	3.3	2.81	2.41
1982	2.06	1.85	2.07	3.71	2.88	1.2	2.81
1983	3.3	1.65	2.07	4.54	3.3	2.21	2.81
1984	5.77	3.09	3.32	6.6	5.77	4.41	6.02
1985	3.71	1.24	2.07	4.95	6.18	6.21	4.81
1986	2.88	0.62	1.86	4.54	4.94	4.41	3.21
1987	4.53	0.41	2.07	5.37	2.88	5.01	3.61
1988	3.71	0.41	2.69	5.37	2.88	3.61	2.81
1989	4.53	0.62	4.35	6.81	4.53	4.21	4.41
1990	4.12	0.62	3.32	4.95	4.12	3.81	3.21
1991	3.71	0.41	2.49	4.54	4.12	4.41	2.41
1992	4.53	0.62	2.49	3.3	4.94	4.61	2.41
1993	2.88	0.41	1.45	3.3	4.33	4.81	1.6
1994	2.88	0.82	0.83	1.86	3.09	5.01	1.81
