# D'Arrigo - Nutak - PCGL - ITRDB CANA160
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3056
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3056.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana160-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana160-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana160.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana160.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: D'Arrigo - Nutak - PCGL - ITRDB CANA160
#--------------------
# Investigators
#   Investigators: D'Arrigo, R.D.(https://orcid.org/0000-0002-9797-0796); Buckley, B.M.; Jacoby, G.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Nutak
#   Location: Newfoundland
#   Northernmost_Latitude: 57.5
#   Southernmost_Latitude: 57.5
#   Easternmost_Longitude: -61.75
#   Westernmost_Longitude: -61.75
#   Elevation_m: 25
#--------------------
# Data_Collection
#   Collection_Name: CANA160
#   First_Year: 1700
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Picea glauca (Moench) Voss
#   Common_Name: white spruce
#   Tree_Species_Code: PCGL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## OI-01-A._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-01-A.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-01-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-01-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-03-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-03-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-03.se_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-03.se; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-07-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-07-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-07.SE_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-07.SE; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-11-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-11-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-12-A._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-12-A.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-12-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-12-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## OI-15-B._raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: OI-15-B.; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	OI-01-A._raw	OI-01-B._raw	OI-03-B._raw	OI-03.se_raw	OI-07-B._raw	OI-07.SE_raw	OI-11-B._raw	OI-12-A._raw	OI-12-B._raw	OI-15-B._raw
1700	NA	NA	0.92	NA	NA	NA	NA	NA	NA	NA
1701	NA	NA	1.46	NA	NA	NA	NA	NA	NA	NA
1702	NA	NA	0.84	NA	NA	NA	NA	NA	NA	NA
1703	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA
1704	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
1705	NA	NA	0.81	NA	NA	NA	NA	NA	NA	NA
1706	NA	NA	1.1	NA	NA	NA	NA	NA	NA	NA
1707	NA	NA	1.62	NA	NA	NA	NA	NA	NA	NA
1708	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA
1709	NA	NA	1.15	NA	NA	NA	NA	NA	NA	NA
1710	0.5	NA	1.75	NA	NA	NA	NA	NA	NA	NA
1711	0.5	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1712	0.55	NA	1	NA	NA	NA	NA	NA	NA	NA
1713	0.55	NA	0.81	NA	NA	NA	NA	NA	NA	NA
1714	0.3	NA	0.58	NA	NA	NA	NA	NA	NA	NA
1715	0.35	NA	0.83	NA	NA	NA	NA	NA	NA	NA
1716	0.35	NA	0.44	NA	NA	NA	NA	NA	NA	NA
1717	0.35	NA	0.39	NA	NA	NA	NA	NA	NA	NA
1718	0.25	NA	0.43	NA	NA	NA	NA	NA	NA	NA
1719	0.25	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1720	0.3	NA	0.97	NA	NA	NA	NA	NA	NA	NA
1721	0.25	NA	0.63	NA	NA	NA	NA	NA	NA	NA
1722	0.25	NA	1.11	NA	NA	NA	NA	NA	NA	NA
1723	0.3	NA	1.21	NA	NA	NA	NA	NA	NA	NA
1724	0.2	NA	0.93	NA	NA	NA	NA	NA	NA	NA
1725	0.25	NA	1.65	NA	NA	NA	NA	NA	NA	NA
1726	0.25	NA	1.37	NA	NA	NA	NA	NA	NA	NA
1727	0.25	NA	1.37	NA	NA	NA	NA	NA	NA	NA
1728	0.3	NA	1.64	NA	NA	NA	NA	NA	NA	NA
1729	0.4	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1730	0.5	NA	1.54	NA	NA	NA	NA	NA	NA	NA
1731	0.5	NA	1.39	NA	NA	NA	NA	NA	NA	NA
1732	0.55	NA	1.14	NA	NA	NA	NA	NA	NA	NA
1733	0.55	NA	1.22	NA	NA	NA	NA	NA	NA	NA
1734	0.65	NA	1.38	NA	NA	NA	NA	NA	NA	NA
1735	0.55	NA	1.58	NA	NA	NA	NA	NA	NA	NA
1736	0.35	NA	1.19	NA	NA	NA	NA	NA	NA	NA
1737	0.45	NA	1.64	NA	NA	NA	NA	NA	NA	NA
1738	0.35	NA	1.1	1.45	NA	NA	NA	NA	NA	NA
1739	0.4	NA	1	1.22	NA	NA	NA	NA	NA	NA
1740	0.5	NA	1.44	1.47	NA	NA	NA	NA	NA	NA
1741	0.25	NA	1.05	1.09	NA	NA	NA	NA	NA	NA
1742	0.4	NA	1.65	1.18	NA	NA	NA	NA	NA	NA
1743	0.35	NA	1.35	1.23	NA	NA	NA	NA	NA	NA
1744	0.4	NA	1.3	1.21	NA	NA	NA	NA	NA	NA
1745	0.45	NA	1.35	1.3	NA	NA	NA	NA	NA	NA
1746	0.25	NA	0.7	0.9	NA	NA	NA	NA	NA	0.35
1747	0.2	NA	0.6	0.95	NA	NA	NA	NA	NA	0.45
1748	0.2	NA	0.54	0.76	NA	NA	NA	NA	NA	0.4
1749	0.35	NA	0.75	1.04	NA	NA	NA	NA	NA	0.55
1750	0.2	NA	0.4	0.61	NA	NA	NA	NA	NA	0.6
1751	0.15	NA	0.2	0.24	NA	NA	NA	NA	NA	0.65
1752	0.3	NA	0.55	0.77	NA	NA	NA	NA	NA	0.8
1753	0.35	NA	0.45	0.62	NA	NA	NA	NA	NA	0.5
1754	0.25	NA	0.75	1	NA	NA	NA	NA	NA	0.74
1755	0.3	NA	0.7	1	NA	NA	NA	NA	NA	0.81
1756	0.2	NA	0.55	0.82	NA	NA	NA	NA	NA	0.62
1757	0.2	NA	0.75	0.77	NA	NA	NA	NA	NA	0.81
1758	0.2	NA	0.5	0.67	NA	NA	NA	NA	NA	0.7
1759	0.1	NA	0.65	1.25	NA	NA	NA	NA	NA	0.47
1760	0.15	NA	0.75	1.58	NA	NA	NA	NA	NA	0.47
1761	0.2	NA	0.8	2	NA	NA	NA	NA	NA	0.56
1762	0.15	NA	0.6	1.22	NA	NA	NA	NA	NA	0.42
1763	0.1	NA	0.55	1.03	NA	NA	NA	NA	NA	0.38
1764	0.15	NA	0.6	0.98	NA	NA	NA	NA	NA	0.28
1765	0.2	NA	0.35	0.66	NA	NA	NA	NA	NA	0.24
1766	0.1	NA	0.45	1.11	NA	NA	NA	NA	NA	0.23
1767	0.15	NA	0.6	1.69	NA	NA	NA	NA	NA	0.33
1768	0.25	NA	0.5	1.26	NA	NA	NA	NA	NA	0.29
1769	0.3	NA	0.4	0.88	NA	NA	NA	NA	NA	0.48
1770	0.25	1.05	0.45	0.8	NA	0.3	NA	NA	NA	0.53
1771	0.3	1	0.5	0.73	NA	0.35	NA	NA	NA	0.57
1772	0.25	0.7	0.4	0.58	NA	0.3	NA	NA	NA	0.43
1773	0.35	0.95	0.79	1.05	NA	0.35	NA	NA	NA	0.57
1774	0.4	0.85	0.65	0.91	NA	0.3	NA	NA	NA	0.34
