# Luckman - Upper Mina - PSME - ITRDB CANA429
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/16586
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-16586.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana429-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana429-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana429.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana429.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2014-05-06
#--------------------
# File_Last_Modified_Date
#   Date: 2014-05-06
#--------------------
# Title
#   Study_Name: Luckman - Upper Mina - PSME - ITRDB CANA429
#--------------------
# Investigators
#   Investigators: Luckman, B.H.(https://orcid.org/0000-0003-0365-6059); Kenigsberg, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: Cores are stored at:
# # # University of Western Ontario
# # # 
# # # References:
# # # Kenigsberg, M.R., O?Reilly, B., Luckman, B.H. and Moser, K.A. 2009 
# # # Lake Sediment and Tree-Ring Sampling in the Canadian Rockies, 2007-8.  
# # # Report submitted to Parks Canada, Jasper, June 2009, 23pages. NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Upper Mina
#   Location: Alberta
#   Northernmost_Latitude: 52.8833
#   Southernmost_Latitude: 52.8833
#   Easternmost_Longitude: -118.1167
#   Westernmost_Longitude: -118.1167
#   Elevation_m: 1220
#--------------------
# Data_Collection
#   Collection_Name: CANA429
#   First_Year: 1693
#   Last_Year: 2006
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## A7M01N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M01N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M01W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M01W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M02N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M02N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M03E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M03E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M03N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M03N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7m04N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7m04N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M04W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M04W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M05N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M05N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M05W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M05W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M10N1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M10N1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M10E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M10E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M10W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M10W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M11W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M11W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M11E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M11E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M12N_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M12N; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M12W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M12W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M13W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M13W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M14E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M14E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M14W1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M14W1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M15E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M15E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M26S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M26S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M28E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M28E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M28W_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M28W; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## A7M29E_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: A7M29E; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	A7M01N_raw	A7M01W_raw	A7M02N_raw	A7M03E_raw	A7M03N_raw	A7m04N_raw	A7M04W_raw	A7M05N_raw	A7M05W_raw	A7M10N1_raw	A7M10E_raw	A7M10W_raw	A7M11W_raw	A7M11E_raw	A7M12N_raw	A7M12W_raw	A7M13W_raw	A7M14E_raw	A7M14W1_raw	A7M15E_raw	A7M26S_raw	A7M28E_raw	A7M28W_raw	A7M29E_raw
1693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.162	NA	NA	NA	NA	NA	NA
1694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92	NA	NA	NA	NA	NA	NA
1695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.599	NA	NA	NA	NA	NA	NA
1696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.411	NA	NA	NA	NA	NA	NA
1697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.314	NA	NA	NA	NA	NA	NA
1698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.219	NA	NA	NA	NA	NA	NA
1699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.93	NA	NA	NA	NA	NA	NA
1700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.669	NA	NA	NA	NA	NA	NA
1701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.377	NA	NA	NA	NA	NA	NA
1702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.177	NA	NA	NA	NA	NA	NA
1703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.708	NA	NA	NA	NA	NA	NA
1704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.371	NA	NA	NA	NA	NA	NA
1705	NA	NA	NA	NA	NA	NA	NA	1.986	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.522	NA	NA	NA	NA	NA	NA
1706	NA	NA	NA	NA	NA	NA	NA	2.318	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.84	NA	NA	NA	NA	NA	NA
1707	NA	NA	NA	NA	NA	NA	NA	2.434	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.723	NA	NA	NA	NA	NA	NA
1708	NA	NA	NA	NA	NA	NA	NA	2.447	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.297	NA	NA	NA	NA	NA	NA
1709	NA	NA	NA	NA	NA	NA	NA	2.975	3.029	NA	NA	NA	NA	NA	NA	NA	NA	2.115	NA	NA	NA	NA	NA	NA
1710	NA	NA	NA	NA	NA	NA	NA	3.031	3.421	NA	NA	NA	NA	NA	NA	NA	NA	2.373	NA	NA	NA	NA	NA	NA
1711	NA	NA	NA	NA	NA	NA	NA	2.606	2.943	NA	NA	NA	NA	NA	NA	NA	NA	2.437	NA	NA	NA	NA	NA	NA
1712	NA	NA	NA	NA	NA	NA	NA	2.689	3.367	NA	NA	NA	NA	NA	NA	NA	NA	2.42	NA	NA	NA	NA	NA	NA
1713	NA	NA	NA	NA	NA	NA	NA	2.912	3.215	1.686	NA	NA	NA	NA	NA	NA	NA	2.548	NA	NA	2.395	NA	NA	NA
1714	NA	NA	NA	NA	NA	NA	NA	2.288	2.098	1.043	NA	NA	NA	NA	NA	NA	NA	1.81	NA	NA	1.449	NA	NA	NA
1715	NA	NA	NA	NA	NA	NA	NA	2.2	2.009	1.67	NA	NA	NA	NA	NA	NA	NA	1.726	NA	NA	1.297	NA	NA	NA
1716	NA	NA	NA	NA	NA	NA	NA	1.85	1.418	1.134	NA	NA	NA	NA	NA	NA	NA	1.386	NA	NA	1.156	NA	NA	NA
1717	NA	NA	NA	NA	NA	NA	NA	2.686	2.37	1.407	NA	NA	NA	NA	NA	NA	NA	2.158	NA	NA	1.572	NA	NA	NA
1718	NA	NA	NA	NA	NA	NA	NA	2.255	1.995	1.247	NA	NA	NA	NA	NA	NA	NA	1.986	NA	NA	1.118	NA	NA	NA
1719	NA	NA	NA	NA	NA	NA	NA	2.594	1.967	1.721	NA	NA	NA	NA	NA	NA	NA	1.607	NA	NA	1.577	NA	NA	NA
1720	NA	NA	NA	NA	NA	NA	NA	2.521	1.566	1.521	NA	NA	NA	NA	NA	NA	NA	1.451	NA	NA	1.189	NA	NA	NA
1721	NA	NA	NA	NA	NA	NA	NA	3.056	2.064	1.737	NA	NA	NA	NA	NA	NA	NA	1.841	NA	NA	1.559	NA	NA	NA
1722	NA	NA	NA	NA	NA	NA	1.499	2.874	2.279	1.69	NA	NA	NA	NA	NA	NA	NA	2.004	NA	NA	1.749	NA	NA	NA
1723	NA	NA	NA	NA	NA	NA	1.26	2.479	1.883	1.273	2.436	NA	NA	NA	NA	NA	NA	1.566	NA	NA	1.272	NA	1	NA
1724	NA	NA	NA	NA	NA	NA	1.547	1.624	1.193	1.149	1.391	NA	NA	NA	NA	NA	NA	1.397	NA	NA	0.78	NA	0.801	NA
1725	NA	NA	NA	NA	NA	NA	1.561	2.299	1.93	1.224	1.248	NA	NA	NA	NA	NA	NA	1.951	NA	NA	1.499	NA	1.57	NA
1726	NA	NA	NA	NA	0.91	2.371	1.207	2.642	2.115	0.673	1.056	NA	NA	NA	NA	NA	NA	1.34	NA	NA	1.512	NA	1.154	NA
1727	NA	NA	NA	NA	1.204	1.959	1.655	1.786	2.457	0.697	0.451	NA	NA	NA	NA	NA	NA	1.453	NA	NA	1.488	NA	1.873	NA
1728	NA	NA	NA	NA	1.552	1.147	1.211	3.013	2.674	0.993	0.508	NA	NA	NA	NA	NA	NA	1.615	NA	NA	1.524	NA	2.232	NA
1729	NA	NA	NA	NA	1.322	1.887	2.032	2.254	2.14	0.839	0.71	NA	NA	NA	NA	NA	NA	1.25	NA	NA	1.517	NA	1.9	NA
1730	NA	NA	NA	NA	0.972	1.858	1.927	2.388	2.059	1.156	0.536	NA	NA	NA	NA	NA	NA	1.234	NA	NA	1.488	NA	1.579	NA
1731	NA	NA	NA	NA	0.823	2.561	1.44	1.759	1.518	1.301	0.561	NA	NA	NA	NA	NA	NA	0.953	NA	NA	1.121	NA	1.321	NA
1732	NA	NA	NA	NA	0.829	2.195	1.32	1.994	1.666	1.19	0.556	NA	NA	NA	NA	NA	NA	1.366	NA	NA	1.585	NA	1.6	NA
1733	NA	NA	NA	NA	1.364	2.665	1.443	2.479	1.935	1.402	0.839	NA	NA	NA	NA	NA	NA	1.736	1.966	NA	1.478	NA	2.057	NA
1734	NA	NA	NA	NA	0.997	1.965	0.924	2.86	1.673	1.525	1.597	NA	NA	NA	NA	NA	NA	1.239	2.632	1.254	1.301	NA	1.57	NA
1735	NA	NA	NA	NA	1.242	2.009	1.041	2.559	2.745	1.556	1.507	NA	NA	NA	NA	NA	NA	1.688	3.532	1.683	1.423	NA	1.995	NA
1736	NA	NA	NA	NA	1.767	1.619	1.346	2.279	2.879	1.572	1.728	NA	NA	NA	NA	NA	NA	1.714	2.431	1.958	1.617	NA	2.219	NA
1737	NA	NA	NA	NA	0.908	1.516	1.532	1.594	1.686	1.169	1.686	NA	NA	NA	NA	NA	NA	0.923	2.486	1.016	0.973	NA	1.884	NA
1738	NA	NA	NA	NA	1.496	1.665	1.381	2.525	2.577	2.016	1.279	NA	NA	NA	NA	NA	NA	1.249	1.689	2.009	1.488	NA	2.611	NA
1739	NA	NA	NA	NA	0.707	2.273	0.869	1.252	1.599	1.386	1.2	NA	NA	NA	NA	NA	NA	0.804	2.297	0.982	0.659	NA	1.217	NA
1740	NA	NA	NA	NA	0.778	2.194	1.602	1.322	1.564	1.415	1.193	NA	NA	NA	NA	NA	NA	0.792	2.315	1.052	0.689	NA	1.401	NA
1741	NA	NA	NA	NA	0.751	1.466	0.834	0.918	1.42	1.543	1.078	NA	NA	NA	NA	NA	NA	0.97	1.695	1.154	0.709	NA	0.74	NA
1742	NA	NA	NA	NA	0.902	2.375	0.831	1.131	1.696	1.619	1.209	NA	NA	NA	NA	NA	NA	1.436	1.76	1.093	1.029	NA	1.3	NA
1743	NA	NA	NA	NA	0.701	1.233	0.673	1.125	1.572	0.962	0.997	NA	NA	NA	NA	NA	NA	0.926	1.089	1.081	0.886	NA	1.174	NA
