# Campbell - Prince Albert - PIBN - ITRDB CANA8
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/2927
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-2927.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8lw-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana8lw-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana8lw.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana8lw.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Campbell - Prince Albert - PIBN - ITRDB CANA8
#--------------------
# Investigators
#   Investigators: Campbell, I.D.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Prince Albert
#   Location: Saskatchewan
#   Northernmost_Latitude: 53.92
#   Southernmost_Latitude: 53.92
#   Easternmost_Longitude: -104.68
#   Westernmost_Longitude: -104.68
#   Elevation_m: -999
#--------------------
# Data_Collection
#   Collection_Name: CANA8
#   First_Year: 1919
#   Last_Year: 1994
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pinus banksiana Lamb.
#   Common_Name: jack pine
#   Tree_Species_Code: PIBN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOJ123C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ123C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ130C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ130C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ159C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ159C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ188C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ188C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ172C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ172C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ154C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ154C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOJ099C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOJ099C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOJ123C_raw	SOJ130C_raw	SOJ159C_raw	SOJ188C_raw	SOJ172C_raw	SOJ154C_raw	SOJ099C_raw
1919	NA	NA	NA	4.52	NA	NA	NA
1920	NA	NA	11.24	7.01	NA	NA	NA
1921	11.99	NA	16.84	7.84	NA	NA	NA
1922	5.45	22.7	7.95	8.72	22.07	NA	NA
1923	4.29	8.29	6.98	6.41	7.26	NA	NA
1924	3.87	13.8	6.89	15.52	4.45	10.9	NA
1925	4.71	6.69	8.19	9.17	9.24	7.35	NA
1926	4.25	4.55	5.61	6.43	3.79	3.96	12.05
1927	3.51	3.65	4.15	6.28	5.35	5.98	3.55
1928	3.45	2.31	3.95	4.02	3.34	3.41	2.15
1929	3.66	3.01	4.98	3.06	5.26	4.52	2.48
1930	3.63	2.89	3.86	3.81	5.04	3.96	2.29
1931	3.23	4.2	2.4	2.45	7.19	4.87	1.96
1932	2.64	2.48	2.57	3.58	7.4	3.84	2.48
1933	2.13	1.74	1.92	1.39	2.91	2.51	1.96
1934	2.76	1.44	2.24	1.48	3.97	2.91	1.84
1935	2.62	1.84	2.44	1.67	2.83	2.82	3.19
1936	2.33	1.58	1.82	1.49	1.67	2.78	1.35
1937	3.87	3.6	2.78	2.75	3.05	3.53	3.67
1938	3.18	3.13	3.4	2.13	4.25	3.31	3.1
1939	3.03	3.82	3.49	2.48	3.02	5.83	2.91
1940	2.89	2.62	2.45	1.85	3.38	3.54	2.2
1941	2.6	2.71	3.43	2.6	3	2.58	1.77
1942	2.45	2.04	2.97	2.37	2.49	2.56	1.66
1943	2.49	1.51	1.67	2.16	2.4	1.97	2.19
1944	2.43	2.25	2.61	1.66	3.27	2.08	2.85
1945	2.53	3.25	2.91	2.05	2.38	2.56	5.36
1946	2.96	2.41	3.11	1.98	3.27	2.14	3.38
1947	3.15	3.42	2.62	2	2.93	2.54	3.55
1948	2.77	4.28	3.21	1.92	2.89	2.35	1.94
1949	4.43	2.97	2.61	2.73	2.81	2.76	2.92
1950	2.82	2.33	1.84	1.72	2.37	2.47	1.46
1951	2.41	2.18	2.25	1.99	2.57	3	1.41
1952	2.97	2.34	1.8	2.35	2.68	2.17	1.94
1953	3.43	2.22	2.17	1.99	2.73	1.18	1.68
1954	3.25	2.74	2.37	2.34	2.62	1.21	2.42
1955	4.63	3.64	2.53	2.02	3.88	1.63	1.68
1956	3.42	2.01	2.69	2.32	3.13	1.58	2.16
1957	3.39	2.27	2.23	2.1	2.82	2.89	2.45
1958	2.53	1.58	2.31	1.99	2.15	2.34	1.81
1959	3.3	1.77	2.69	3.06	2.71	2.83	1.71
1960	4.1	2.8	2.21	2.55	3.09	2	2.04
1961	1.93	1.64	1.44	1.62	1.65	1.85	1.22
1962	1.82	1.34	1.81	1.79	2.5	1.32	0.19
1963	1.68	1.17	1.35	1.38	1.65	1.23	0.5
1964	1.6	1.33	1.49	1.41	1.64	1.11	0.94
1965	1.63	1.36	1.71	1.8	1.95	1.31	0.94
1966	1.43	1.18	1.88	1.7	1.68	1.31	1.08
1967	1.97	1.49	1.85	1.71	2.12	1.47	1.57
1968	2.32	1.54	2.18	1.67	1.82	1.58	1.54
1969	3.36	1.93	2.64	1.91	2.3	2.58	2.24
1970	2.14	1.6	1.38	1.51	1.97	1.61	1.05
1971	3.39	1.5	1.55	2.37	2.28	1.39	1.23
1972	2.99	1.59	2.5	2.35	2.12	1.55	1.68
1973	2.22	1.41	1.84	2	2.34	1.42	1.36
1974	2.45	2.36	1.95	1.91	2.45	1.48	1.4
1975	2.24	1.83	2.14	2.02	2.92	2.05	2.48
1976	2.9	1.97	3.09	2.31	4.77	2.8	2.51
1977	1.85	1.25	2.25	1.96	3.2	1.87	0.97
1978	1.16	1.17	1.59	1.37	1.94	1.51	1.16
1979	1.42	0.31	0.93	1.43	1.28	1.44	1.05
1980	1.43	0.71	0.86	1.36	1.4	1.1	1.12
1981	1.22	1.05	1.09	1.42	1.57	1.16	1.21
1982	1.07	1.06	1.22	1.3	1.35	0	1.29
1983	1.17	1.07	1.28	1.29	1.49	1.04	1.12
1984	2	1.63	1.64	1.74	1.95	1.34	2.37
1985	1.58	0	1.14	1.69	2.35	1.33	1.37
1986	1.3	0.27	0.96	1.4	1.74	1.14	1.07
1987	1.49	0.1	0.84	1.65	1.2	1.14	1.16
1988	1.49	0	1.4	1.85	1.75	1.21	1.26
1989	1.62	0	2.09	1.83	1.66	0.98	1.56
1990	1.78	0	1.66	1.72	1.86	1.12	1.11
1991	1.5	0	1.41	1.69	1.65	1.19	0.92
1992	1.76	0.1	1.18	1.35	1.9	1.11	1.25
1993	1.43	0.1	0.29	1.59	1.93	1.25	0.7
1994	0.37	0.2	0.3	0.4	0.97	0.82	1.2
