# Stefanuk - Algonquin Highlands AL05 - ACSH - ITRDB CANA619
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/32596
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-32596.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana619-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana619-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana619.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana619.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2021-02-05
#--------------------
# File_Last_Modified_Date
#   Date: 2021-02-05
#--------------------
# Title
#   Study_Name: Stefanuk - Algonquin Highlands AL05 - ACSH - ITRDB CANA619
#--------------------
# Investigators
#   Investigators: Stefanuk, M.A.; Danby, R.
#--------------------
# Description_Notes_and_Keywords
#   Description: Sample plots were circular with a radius of 75m, located within sugar maple dominated stands in protected areas within each region including Algonquin Provincial Park, Frontenac Provincial Park, Charleston Lake Provincial Park and the Queen's University Biological Station. NOAA Template Raw Measurements file added 2021-02-22.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Canadian Foundation for Innovation
#   Grant: 22534
#--------------------
# Site_Information
#   Site_Name: Algonquin Highlands AL05
#   Location: Canada
#   Northernmost_Latitude: 45.478414
#   Southernmost_Latitude: 45.478414
#   Easternmost_Longitude: -78.716929
#   Westernmost_Longitude: -78.716929
#   Elevation_m: 460
#--------------------
# Data_Collection
#   Collection_Name: CANA619
#   First_Year: 1869
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Acer saccharum Marsh.
#   Common_Name: sugar maple
#   Tree_Species_Code: ACSH
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 041AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 041AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 044AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 044AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 044AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 044AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 040AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 040AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 041AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 041AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 045AL05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 045AL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 045AL05B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 045AL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	041AL05B_raw	044AL05A_raw	044AL05B_raw	040AL05B_raw	041AL05A_raw	045AL05A_raw	045AL05B_raw
1869	2.678	NA	NA	1.22	NA	NA	NA
1870	2.01	NA	NA	0.831	NA	NA	NA
1871	1.896	NA	NA	0.636	NA	NA	NA
1872	0.183	NA	NA	1.285	NA	NA	NA
1873	1.832	NA	NA	2.663	NA	NA	NA
1874	1.57	NA	NA	1.529	NA	NA	NA
1875	1.642	NA	NA	0.848	NA	NA	NA
1876	0	NA	NA	0.754	NA	NA	NA
1877	1.392	NA	NA	0.989	NA	NA	NA
1878	1.046	NA	NA	0.951	NA	NA	NA
1879	1.002	NA	NA	0.701	NA	NA	NA
1880	1.483	NA	NA	0.835	NA	NA	NA
1881	1.096	NA	NA	1.028	NA	NA	NA
1882	1.235	NA	NA	1.441	NA	NA	NA
1883	1.471	NA	NA	0.825	NA	NA	NA
1884	1.375	NA	NA	0	NA	NA	NA
1885	1.97	NA	NA	1.915	NA	NA	NA
1886	1.372	NA	NA	1.702	NA	NA	NA
1887	1.703	NA	NA	1.275	NA	NA	NA
1888	1.104	NA	0.55	1.134	NA	NA	NA
1889	1.784	NA	1.325	1.728	NA	NA	NA
1890	1.609	NA	1.379	1.811	NA	NA	NA
1891	1.715	NA	0.944	1.991	NA	0.889	NA
1892	2.148	NA	1.558	2.441	NA	0.53	NA
1893	1.444	1.722	1.296	1.924	NA	0.948	NA
1894	1.656	1.63	1.244	1.817	NA	0.96	NA
1895	0.416	1.711	0.056	1.381	NA	1.282	NA
1896	2.418	1.878	1.535	2.802	NA	1.236	NA
1897	2.106	1.41	1.27	1.757	NA	0.618	NA
1898	1.983	1.112	0.934	1.021	NA	1.024	NA
1899	1.513	1.733	1.287	1.592	NA	0.759	NA
1900	2.1	2.258	1.203	1.223	NA	0.554	NA
1901	1.692	2.18	1.235	0.644	NA	0.887	NA
1902	0.467	2.308	0.842	1.056	NA	0.597	NA
1903	1.715	2.968	1.942	1.899	NA	0.65	0.863
1904	1.957	2.613	1.751	1.219	NA	0.77	0.699
1905	1.192	2.338	1.586	0.719	NA	0.582	0.492
1906	1.744	2.002	1.342	0.704	NA	0.5	0.124
1907	1.45	2.223	1.129	0.858	NA	0.619	0.634
1908	1.472	2.474	1.552	0.804	NA	1.161	1.037
1909	1.251	1.914	1.224	0.797	NA	0.524	0.641
1910	1.183	1.442	0.926	0.895	NA	0.17	0.171
1911	1.627	2.194	1.526	0.967	NA	0.058	0.171
1912	1.116	1.747	1.046	1.135	NA	0.171	0.12
1913	0.656	1.492	1.015	0.801	NA	0.078	0.151
1914	1.103	1.244	0.72	1.204	NA	0.107	0.038
1915	1.431	1.941	1.197	2.202	NA	0.351	0.418
1916	1.747	1.661	1.169	2.134	NA	0.433	0.536
1917	2.003	1.256	0.963	1.046	NA	0.161	0.363
1918	1.585	0.382	0.475	1.514	NA	0.321	0.382
1919	1.087	0.532	0.506	1.314	NA	0.711	0.508
1920	1.838	1.37	0.991	2.068	NA	0.785	0.602
1921	1.873	1.138	0.891	1.748	NA	1.031	0.866
1922	2.504	1.368	0.959	2.15	NA	1.78	1.601
1923	1.326	0.938	1.119	1.513	NA	2.06	1.379
1924	1.395	1.71	1.915	2.388	NA	2.444	1.594
1925	1.115	1.316	1.576	1.841	NA	2.42	2.151
1926	1.553	1.731	1.741	1.179	NA	1.825	1.509
1927	1.153	2.071	1.984	0.843	NA	1.607	1.442
1928	2.088	3.242	2.466	1.646	NA	1.815	1.826
1929	2.404	2.844	1.764	3.24	NA	1.69	1.751
1930	2.466	2.648	1.647	2.502	NA	1.466	1.94
1931	2.777	2.42	1.164	2.388	NA	1.591	0
1932	2.088	1.27	0.625	0.923	NA	1.959	1.689
1933	3.106	2.784	0.836	1.447	NA	2.281	1.347
1934	2.756	2.045	0.688	1.893	NA	2.46	0.971
1935	2.554	2.845	1.489	1.948	1.744	3.201	1.342
1936	1.672	1.317	0.798	1.198	1.861	1.357	0.968
1937	2.352	1.566	0.816	1.192	4.704	1.796	1.006
1938	2.494	3.023	1.786	0.961	3.504	4.66	3.746
1939	1.964	2.686	1.442	2.414	2.175	5.48	4.472
1940	1.369	2.107	1.501	0.48	1.949	3.931	3.425
1941	1.483	2.16	1.703	0.991	2.182	3.699	3.565
1942	0.9	1.428	1.604	1.019	2.482	3.485	3.036
1943	0.807	1.756	1.695	1.23	2.412	2.944	1.953
1944	0.918	0.509	0.518	0.884	3.626	3.12	1.818
1945	1.486	1.728	1.196	1.185	4.233	3.432	2.832
1946	1.489	2.391	1.536	1.351	3.43	2.798	2.947
1947	2.396	2.646	1.735	1.213	3.602	4.045	5.288
1948	1.904	2.199	0.776	0.852	2.569	3.74	3.804
1949	1.822	3.302	1.52	0.893	2.284	3.86	3.992
1950	1.663	2.644	1.216	1.052	2.112	3.364	3.07
1951	1.48	3.268	2.237	1.318	1.673	4.598	4.264
1952	1.313	2.259	2.368	1.649	1.752	4.052	4.386
1953	1.539	1.588	1.575	0.852	1.443	2.65	2.965
