# St. George - Munsen Park - QUMA - ITRDB CANA184
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/4796
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-4796.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana184-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana184-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana184.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana184.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2005-08-25
#--------------------
# File_Last_Modified_Date
#   Date: 2005-08-25
#--------------------
# Title
#   Study_Name: St. George - Munsen Park - QUMA - ITRDB CANA184
#--------------------
# Investigators
#   Investigators: St. George, S.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-27. NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Munsen Park
#   Location: Manitoba
#   Northernmost_Latitude: 49.87
#   Southernmost_Latitude: 49.87
#   Easternmost_Longitude: -97.17
#   Westernmost_Longitude: -97.17
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: CANA184
#   First_Year: 1860
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Quercus macrocarpa Michx.
#   Common_Name: burr oak
#   Tree_Species_Code: QUMA
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## u0001a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0001a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0002a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0002a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0003a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0003a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0004a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0004a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0005a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0005a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0006a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0006a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0007a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0007a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0008a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0008a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## u0009a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: u0009a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	u0001a_raw	u0002a_raw	u0003a_raw	u0004a_raw	u0005a_raw	u0006a_raw	u0007a_raw	u0008a_raw	u0009a_raw
1860	0.958	NA	NA	NA	NA	NA	NA	NA	NA
1861	0.163	NA	2.727	NA	NA	NA	NA	NA	NA
1862	0.875	NA	2.088	NA	NA	NA	NA	NA	NA
1863	0.628	NA	1.327	NA	NA	NA	2.768	NA	NA
1864	0.94	NA	0.876	NA	NA	NA	2.769	NA	NA
1865	1.132	NA	1.323	NA	NA	NA	2.336	NA	NA
1866	1.565	NA	1.845	NA	NA	NA	2.445	NA	NA
1867	1.815	NA	0.98	NA	NA	0.738	1.784	NA	NA
1868	1.746	NA	0.806	NA	NA	0.263	2.457	NA	NA
1869	0.931	NA	0.595	NA	NA	0.319	1.753	NA	1.379
1870	1.868	NA	0.975	NA	NA	0.494	3.175	NA	2.474
1871	2.097	NA	0.891	NA	NA	0.736	3.661	NA	2.991
1872	2.113	NA	1.036	NA	NA	1.147	2.935	3.101	2.865
1873	1.203	NA	1.262	NA	NA	1.266	3.138	2.776	2.388
1874	1.684	NA	0.969	NA	0.708	1.789	2.301	2.165	2.182
1875	1.76	NA	0.65	NA	0.717	0.657	2.422	1.803	2.134
1876	2.482	NA	1.324	NA	1.251	1.347	2.333	2.05	2.786
1877	3.667	NA	1.505	NA	2.018	2.352	1.898	3.647	3.586
1878	3.196	NA	0.939	NA	1.894	2.03	1.751	3.017	2.824
1879	3.118	NA	1.649	NA	2.83	2.375	2.079	2.534	3.451
1880	2.839	NA	0.96	1.529	2.048	2.041	1.584	2.426	4.041
1881	2.492	NA	0.818	1.977	2.187	1.522	1.806	2.692	3.213
1882	3.195	NA	1.27	2.185	1.243	1.818	1.403	3.269	4.301
1883	2.827	NA	1.088	1.286	1.06	1.35	2.724	3.251	3.174
1884	2.765	NA	1.326	1.294	1.147	1.614	3.182	3.34	3.329
1885	3.513	2.153	2.424	1.739	1.281	2.386	3.047	3.763	3.445
1886	2.601	1.646	1.748	0.652	1.142	1.398	1.609	2.84	2.16
1887	2.428	1.582	1.445	1.456	0.986	1.764	1.644	2.938	2.455
1888	2.194	1.899	1.461	1.536	1.235	2.006	1.346	2.737	2.613
1889	1.439	1.043	0.964	0.604	1.253	1.046	0.82	2.023	1.518
1890	2.189	1.967	1.331	1.395	1.666	2.382	1.9	3.402	2.219
1891	1.88	1.567	1.207	1.656	1.559	2.2	1.862	3.902	2.744
1892	3.083	2.286	1.584	1.92	2.184	3.134	2.736	4.633	3.763
1893	3.062	2.516	2.169	1.898	2.608	2.841	2.72	4	4.073
1894	2.993	2.469	1.44	2.071	2.534	2.215	2.664	3.827	3.474
1895	1.759	1.961	1.217	1.579	1.503	1.526	2.677	2.578	3.396
1896	2.499	2.361	2.052	2.004	2.437	3.154	3.083	3.655	3.281
1897	1.686	1.928	1.255	1.652	2.038	2.227	2.259	3.595	3.107
1898	2.569	2.414	1.33	1.684	2.286	3.209	2.752	4.099	3.177
1899	2.763	2.601	1.594	1.517	2.154	2.582	2.822	3.884	3.262
1900	1.735	1.753	1.215	1.053	1.372	1.351	1.881	2.181	2.161
1901	2.652	2.705	2.11	1.743	2.132	3.27	3.32	3.07	3.255
1902	2.585	2.729	2.35	1.864	1.715	2.587	2.53	3.053	3
1903	1.635	2.221	1.125	1.094	1.069	1.051	1.348	1.762	1.935
1904	2.218	2.934	1.471	1.726	1.57	1.881	2.183	2.271	2.658
1905	2.633	3.309	1.691	1.609	2.221	2.194	2.075	2.619	2.996
1906	2.152	3.187	1.534	2.33	1.79	1.768	1.797	2.44	2.647
1907	1.789	2.505	1.249	1.133	1.147	1.36	1.263	1.489	1.725
1908	1.786	2.361	1.208	1.48	1.484	1.772	1.41	1.523	2.138
1909	1.736	2.177	0.686	0.762	0.915	1.583	1.281	1.481	1.49
1910	1.628	2.068	0.694	0.895	1.263	1.114	1.156	1.982	1.722
1911	2.389	2.427	0.59	1.402	1.087	1.608	1.413	1.444	1.946
1912	2.511	2.912	1.399	1.622	1.424	1.624	1.481	1.476	2.26
1913	2.391	2.942	1.43	1.205	1.154	1.656	1.301	1.342	2.181
1914	1.744	2.986	1.276	1.197	0.937	1.406	1.354	1.44	1.601
1915	1.254	2.431	1.04	0.717	0.774	1.353	1.019	0.971	1.318
1916	2.434	3.455	1.47	1.514	1.183	2.007	1.76	1.701	1.859
1917	1.237	2.427	1.071	0.751	0.638	1.049	1.336	1.435	1.073
1918	1.589	2.69	0.957	0.93	0.983	1.335	1.589	1.575	1.149
1919	1.61	2.486	0.804	1.067	1.105	1.607	1.603	2.43	1.542
1920	1.548	2.161	0.707	0.75	0.884	1.383	1.769	2.112	1.281
1921	1.81	2.74	0.718	1.177	0.989	1.823	1.643	2.361	1.597
1922	1.232	3.165	0.625	0.775	0.755	1.445	1.468	1.988	1.533
1923	1.707	2.848	0.59	0.77	0.794	1.358	1.731	2.669	1.609
1924	1.343	2.228	0.567	0.76	0.71	1.111	1.401	2.514	1.367
1925	1.853	2.69	0.56	0.981	0.733	1.682	1.618	1.97	1.506
1926	1.258	2.492	0.555	1.423	0.751	1.998	1.184	1.668	1.332
