# Kyncl - Capilano Watershed Vancouver - ABAM - ITRDB CANA108
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3821
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3821.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana108-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; cana108-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/cana108.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/cana108.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Kyncl - Capilano Watershed Vancouver - ABAM - ITRDB CANA108
#--------------------
# Investigators
#   Investigators: Kyncl, J.; Dobry, J.; Klinka, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Capilano Watershed Vancouver
#   Location: British Columbia
#   Northernmost_Latitude: 49.52
#   Southernmost_Latitude: 49.52
#   Easternmost_Longitude: -123.07
#   Westernmost_Longitude: -123.07
#   Elevation_m: 1000
#--------------------
# Data_Collection
#   Collection_Name: CANA108
#   First_Year: 1754
#   Last_Year: 1991
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Abies amabilis Douglas ex J. Forbes
#   Common_Name: Pacific silver fir
#   Tree_Species_Code: ABAM
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA2012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2021_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2021; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2052_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2052; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2071_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2071; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2161_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2161; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA2171_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA2171; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA2012_raw	CA2021_raw	CA2052_raw	CA2071_raw	CA2121_raw	CA2161_raw	CA2171_raw
1754	NA	NA	NA	NA	NA	0.64	NA
1755	NA	NA	NA	NA	NA	0.73	NA
1756	NA	NA	NA	NA	NA	0.61	NA
1757	NA	NA	NA	NA	NA	0.74	NA
1758	NA	NA	NA	NA	NA	0.73	NA
1759	NA	NA	NA	NA	NA	0.71	NA
1760	NA	NA	0.77	NA	NA	0.75	NA
1761	NA	NA	0.78	NA	NA	0.72	NA
1762	NA	NA	0.64	NA	0.65	0.63	NA
1763	NA	NA	0.75	NA	0.55	0.62	NA
1764	NA	NA	0.67	NA	0.68	0.66	NA
1765	NA	NA	0.78	NA	0.65	0.77	NA
1766	NA	NA	0.81	NA	0.61	0.63	NA
1767	NA	NA	0.73	NA	0.67	0.65	NA
1768	NA	NA	0.82	NA	0.64	0.53	NA
1769	NA	NA	0.68	NA	0.66	0.6	NA
1770	NA	0.63	0.72	0.7	0.69	0.72	NA
1771	NA	0.64	0.74	0.72	0.74	0.56	NA
1772	0.77	0.67	0.73	0.7	0.75	0.61	NA
1773	0.67	0.63	0.75	0.73	0.7	0.62	NA
1774	0.71	0.6	0.82	0.71	0.75	0.58	NA
1775	0.64	0.72	0.84	0.74	0.75	0.62	NA
1776	0.76	0.63	0.81	0.65	0.78	0.6	NA
1777	0.67	0.52	0.7	0.64	0.65	0.51	NA
1778	0.66	0.63	0.67	0.65	0.8	0.58	NA
1779	0.69	0.77	0.74	0.65	0.78	0.63	NA
1780	0.72	0.69	0.81	0.7	0.77	0.61	NA
1781	0.63	0.6	0.73	0.67	0.73	0.53	NA
1782	0.71	0.63	0.79	0.67	0.76	0.61	NA
1783	0.72	0.59	0.75	0.62	0.77	0.63	NA
1784	0.76	0.63	0.76	0.7	0.81	0.7	NA
1785	0.69	0.51	0.75	0.65	0.75	0.6	NA
1786	0.73	0.55	0.71	0.62	0.72	0.61	NA
1787	0.68	0.64	0.77	0.69	0.71	0.46	NA
1788	0.67	0.54	0.78	0.67	0.72	0.5	NA
1789	0.7	0.6	0.75	0.71	0.73	0.63	NA
1790	0.65	0.57	0.75	0.62	0.66	0.56	NA
1791	0.67	0.64	0.76	0.65	0.81	0.68	NA
1792	0.62	0.61	0.78	0.68	0.77	0.65	NA
1793	0.62	0.62	0.74	0.6	0.77	0.66	NA
1794	0.54	0.55	0.67	0.53	0.64	0.64	NA
1795	0.63	0.63	0.72	0.71	0.76	0.68	NA
1796	0.65	0.75	0.82	0.68	0.82	0.69	NA
1797	0.58	0.64	0.8	0.86	0.77	0.76	NA
1798	0.56	0.57	0.79	0.78	0.72	0.64	NA
1799	0.64	0.7	0.83	0.83	0.81	0.71	NA
1800	0.61	0.7	0.8	0.79	0.81	0.65	NA
1801	0.58	0.59	0.64	0.75	0.62	0.65	NA
1802	0.61	0.58	0.65	0.61	0.6	0.52	NA
1803	0.68	0.75	0.71	0.7	0.68	0.66	NA
1804	0.67	0.68	0.81	0.8	0.71	0.67	NA
1805	0.67	0.73	0.83	0.81	0.76	0.82	NA
1806	0.55	0.5	0.56	0.58	0.57	0.62	NA
1807	0.62	0.67	0.83	0.7	0.7	0.7	NA
1808	0.58	0.71	0.81	0.78	0.72	0.72	NA
1809	0.55	0.61	0.62	0.52	0.63	0.68	NA
1810	0.62	0.65	0.68	0.72	0.7	0.75	NA
1811	0.63	0.56	0.73	0.72	0.72	0.68	NA
1812	0.7	0.63	0.86	0.77	0.79	0.73	0.79
1813	0.68	0.58	0.8	0.75	0.63	0.67	0.78
1814	0.64	0.67	0.78	0.77	0.81	0.68	0.87
1815	0.64	0.69	0.83	0.84	0.75	0.75	0.87
1816	0.62	0.62	0.77	0.82	0.82	0.72	0.84
1817	0.58	0.68	0.81	0.79	0.82	0.65	0.74
1818	0.64	0.64	0.8	0.76	0.83	0.72	0.81
1819	0.57	0.64	0.73	0.69	0.71	0.72	0.79
1820	0.65	0.64	0.7	0.68	0.76	0.68	0.8
1821	0.62	0.61	0.73	0.77	0.66	0.69	0.81
1822	0.72	0.65	0.79	0.83	0.72	0.77	0.8
1823	0.63	0.62	0.7	0.77	0.53	0.59	0.74
1824	0.68	0.6	0.73	0.75	0.65	0.73	0.73
1825	0.63	0.58	0.78	0.79	0.71	0.72	0.63
1826	0.55	0.55	0.76	0.77	0.75	0.72	0.72
1827	0.58	0.57	0.75	0.81	0.75	0.76	0.71
1828	0.57	0.65	0.78	0.73	0.87	0.74	0.77
1829	0.68	0.7	0.82	0.73	0.87	0.77	0.82
1830	0.57	0.61	0.73	0.71	0.75	0.71	0.78
1831	0.52	0.65	0.78	0.69	0.79	0.68	0.79
1832	0.57	0.73	0.81	0.73	0.8	0.82	0.86
1833	0.82	0.66	0.77	0.68	0.73	0.73	0.81
