# Villanueva-Diaz - Las Bateas - PSME - ITRDB MEXI030
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5197
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5197.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi030l-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi030l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mexi030l.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-05-21
#--------------------
# File_Last_Modified_Date
#   Date: 2002-05-21
#--------------------
# Title
#   Study_Name: Villanueva-Diaz - Las Bateas - PSME - ITRDB MEXI030
#--------------------
# Investigators
#   Investigators: Villanueva-Diaz, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Las Bateas
#   Location: Coahuila de Zaragoza
#   Northernmost_Latitude: 25.27
#   Southernmost_Latitude: 25.27
#   Easternmost_Longitude: -100.48
#   Westernmost_Longitude: -100.48
#   Elevation_m: 3300
#--------------------
# Data_Collection
#   Collection_Name: MEXI030
#   First_Year: 1780
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  latewood width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAT14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT26A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT26A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT26B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT26B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT26C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT26C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT27B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT27B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT29B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT29B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT31B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT31B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT32B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT32B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT33A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT33A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAT33B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAT33B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAT14A_raw	BAT14B_raw	BAT26A_raw	BAT26B_raw	BAT26C_raw	BAT27A_raw	BAT27B_raw	BAT29A_raw	BAT29B_raw	BAT31A_raw	BAT31B_raw	BAT32A_raw	BAT32B_raw	BAT33A_raw	BAT33B_raw
1780	NA	NA	NA	0.391	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1781	NA	NA	NA	0.22	0.221	NA	NA	0.273	NA	NA	NA	NA	NA	NA	NA
1782	NA	NA	NA	0.269	0.246	NA	NA	0.582	NA	NA	NA	NA	NA	NA	NA
1783	NA	NA	NA	0.297	0.262	NA	NA	0.362	NA	0.543	NA	NA	NA	NA	NA
1784	NA	NA	NA	0.215	0.189	NA	NA	0.317	NA	0.382	NA	NA	NA	NA	NA
1785	NA	NA	NA	0.187	0.193	NA	NA	0.348	NA	0.598	NA	NA	NA	NA	NA
1786	NA	NA	NA	0.14	0.197	NA	NA	0.552	0.889	0.843	NA	NA	NA	NA	NA
1787	NA	NA	NA	0.218	0.236	NA	NA	0.467	0.71	0.962	NA	NA	NA	NA	NA
1788	NA	NA	NA	0.233	0.18	NA	NA	0.308	0.423	0.956	NA	NA	NA	NA	NA
1789	NA	NA	NA	0.392	0.791	NA	NA	0.579	0.548	0.938	NA	NA	NA	NA	NA
1790	NA	NA	NA	0.166	0.244	NA	NA	0.439	0.479	0.878	NA	NA	NA	NA	NA
1791	NA	NA	NA	0.39	0.511	NA	NA	0.516	0.39	0.843	0.834	NA	NA	NA	NA
1792	NA	NA	NA	0.282	0.364	NA	NA	0.509	0.413	0.59	0.683	NA	NA	NA	NA
1793	NA	NA	NA	0.355	0.538	NA	NA	0.837	0.506	0.812	0.859	NA	NA	NA	NA
1794	NA	NA	NA	0.218	0.286	NA	NA	0.79	0.489	0.672	1.138	NA	NA	NA	NA
1795	NA	NA	NA	0.245	0.33	NA	NA	0.814	0.583	0.816	0.946	NA	NA	NA	NA
1796	NA	NA	NA	0.119	0.243	NA	NA	0.419	0.409	0.727	0.857	NA	NA	NA	NA
1797	NA	NA	NA	0.112	0.27	NA	NA	0.722	0.315	0.931	0.966	NA	NA	NA	NA
1798	NA	NA	NA	0.154	0.157	NA	NA	0.695	0.98	1.374	0.847	NA	NA	NA	NA
1799	NA	NA	NA	0.152	0.201	NA	NA	0.808	0.416	1.693	1.111	NA	NA	NA	NA
1800	NA	NA	NA	0.293	0.355	NA	NA	0.963	0.63	0.905	0.725	NA	NA	NA	NA
1801	NA	NA	NA	0.234	0.172	NA	NA	0.966	0.34	1.09	0.978	NA	NA	NA	NA
1802	NA	NA	NA	0.153	0.165	NA	NA	0.35	0.256	1.486	0.931	NA	NA	NA	NA
1803	NA	NA	NA	0.143	0.207	NA	NA	0.263	0.315	0.909	0.702	NA	NA	NA	NA
1804	NA	NA	NA	0.261	0.504	NA	NA	0.446	0.306	1.053	0.62	NA	NA	NA	NA
1805	NA	NA	NA	0.134	0.238	NA	NA	0.633	0.657	0.976	0.965	NA	NA	NA	NA
1806	NA	NA	NA	0.234	0.238	NA	NA	0.693	0.443	0.817	0.673	NA	NA	NA	NA
1807	NA	NA	NA	0.191	0.187	NA	NA	0.415	0.201	0.857	0.752	NA	NA	NA	NA
1808	NA	NA	NA	0.065	0.128	NA	NA	0.377	0.267	0.961	1.023	NA	NA	NA	NA
1809	NA	NA	NA	0.073	0.151	NA	NA	0.294	0.385	0.737	0.833	NA	NA	NA	NA
1810	NA	NA	NA	0.079	0.143	NA	NA	0.247	0.376	0.652	0.611	NA	NA	NA	NA
1811	NA	NA	NA	0.069	0.125	NA	NA	0.18	0.141	0.608	0.475	NA	NA	NA	NA
1812	NA	NA	NA	0.084	0.097	NA	NA	0.424	0.304	0.384	0.577	NA	NA	0.648	NA
1813	NA	NA	NA	0.125	0.133	NA	NA	0.18	0.371	0.56	0.543	NA	NA	0.605	NA
1814	NA	NA	NA	0.175	0.256	NA	NA	0.326	0.547	0.513	0.818	NA	NA	0.901	NA
1815	NA	NA	NA	0.191	0.238	NA	NA	0.199	0.425	0.327	0.528	NA	NA	0.711	NA
1816	NA	NA	NA	0.201	0.238	NA	NA	0.166	0.539	0.369	0.472	NA	NA	0.934	NA
1817	NA	NA	NA	0.249	0.299	NA	NA	0.266	0.502	0.283	0.543	NA	NA	0.831	NA
1818	NA	NA	0.641	0.233	0.227	NA	NA	0.675	0.786	0.251	0.415	NA	NA	0.751	0.282
1819	NA	NA	0.578	0.262	0.291	NA	NA	0.507	0.359	0.577	0.75	NA	NA	0.503	0.299
1820	NA	NA	0.519	0.287	0.25	NA	NA	0.414	0.458	0.396	0.517	NA	NA	0.594	0.308
1821	NA	NA	0.474	0.236	0.263	NA	NA	0.245	0.428	0.305	0.43	NA	NA	0.563	0.328
1822	NA	NA	0.541	0.265	0.274	NA	NA	0.22	0.331	0.347	0.685	NA	0.565	0.736	0.375
1823	NA	NA	0.381	0.295	0.29	NA	0.157	0.252	0.422	0.569	0.699	NA	0.794	0.51	0.526
1824	NA	NA	0.637	0.294	0.27	NA	0.127	0.27	0.541	0.569	0.669	NA	0.73	0.717	0.6
1825	NA	NA	0.756	0.265	0.256	NA	0.207	0.346	0.396	0.602	0.842	NA	0.805	0.603	0.546
1826	NA	NA	0.546	0.36	0.338	NA	0.086	0.302	1.213	0.561	0.844	NA	0.861	0.52	0.63
1827	NA	NA	0.554	0.329	0.291	NA	0.18	0.265	0.937	0.609	0.872	NA	0.93	0.404	0.487
1828	NA	NA	0.225	0.125	0.201	NA	0.184	0.296	0.555	0.411	0.61	NA	0.595	0.283	0.24
1829	NA	NA	0.552	0.169	0.201	NA	0.195	0.397	0.611	0.6	1.078	NA	0.808	0.604	0.434
1830	NA	NA	0.275	0.152	0.17	NA	0.157	0.509	0.612	0.615	0.868	0.409	0.582	0.365	0.46
1831	NA	NA	0.458	0.289	0.23	NA	0.162	0.317	0.777	0.615	0.719	0.618	0.608	0.665	0.743
1832	NA	NA	0.51	0.133	0.158	NA	0.154	0.522	0.559	0.436	0.618	0.449	0.47	0.604	0.527
1833	NA	NA	0.37	0.11	0.153	NA	0.175	0.694	0.755	0.606	0.741	0.453	0.593	0.684	0.576
1834	NA	NA	0.533	0.166	0.176	NA	0.116	0.482	0.773	0.592	0.769	0.39	0.689	0.502	0.517
1835	NA	NA	0.514	0.121	0.186	NA	0.315	0.44	1.013	0.585	0.799	0.465	0.55	0.722	0.638
