# Stahle - San Juan de Teotihuacan - TAMU - ITRDB MEXI041
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8566
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8566.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi041-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/mexico/mexi041.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mexi041.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-10
#--------------------
# Title
#   Study_Name: Stahle - San Juan de Teotihuacan - TAMU - ITRDB MEXI041
#--------------------
# Investigators
#   Investigators: Stahle, D.W.; Therrell, M.D.; Villanueva-Diaz, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-04.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: San Juan de Teotihuacan
#   Location: Mexico
#   Northernmost_Latitude: 19.67
#   Southernmost_Latitude: 19.67
#   Easternmost_Longitude: -98.87
#   Westernmost_Longitude: -98.87
#   Elevation_m: 2292
#--------------------
# Data_Collection
#   Collection_Name: MEXI041
#   First_Year: 1842
#   Last_Year: 2001
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Taxodium mucronatum Ten.
#   Common_Name: Montezuma cypress
#   Tree_Species_Code: TAMU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SJT06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SJT06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SJT06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SJT06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SJT07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SJT07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SJT07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SJT07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SJT06A_raw	SJT06B_raw	SJT07A_raw	SJT07B_raw
1842	NA	NA	7.644	NA
1843	NA	NA	6.632	NA
1844	NA	NA	6.277	NA
1845	NA	NA	3.905	NA
1846	NA	NA	4.139	NA
1847	NA	NA	3.631	NA
1848	NA	NA	3.882	NA
1849	NA	NA	2.831	NA
1850	NA	NA	1.66	NA
1851	NA	NA	0.802	NA
1852	NA	NA	1.25	NA
1853	NA	NA	1.714	NA
1854	NA	NA	2.775	NA
1855	NA	NA	2.62	NA
1856	NA	NA	2.968	NA
1857	NA	NA	2.325	NA
1858	NA	NA	2.791	NA
1859	NA	6.607	3.06	NA
1860	NA	6.988	3.649	NA
1861	NA	6.053	2.778	NA
1862	NA	6.095	2.734	NA
1863	NA	6.949	3.63	NA
1864	NA	7.473	2.07	NA
1865	NA	8.094	2.625	NA
1866	NA	6.617	2.052	NA
1867	NA	6.748	2.258	NA
1868	NA	8.954	1.43	NA
1869	NA	8.932	2.313	NA
1870	NA	7.648	2.288	NA
1871	NA	5.907	3.054	NA
1872	NA	6.918	2.674	NA
1873	NA	6.878	2.24	NA
1874	NA	7.168	9.058	NA
1875	NA	4.34	2.784	NA
1876	NA	5.626	2.997	NA
1877	NA	5.007	1.399	NA
1878	NA	5.107	1.465	NA
1879	NA	5.503	2.125	4.38
1880	2.432	4.253	1.573	3.25
1881	2.613	2.821	1.981	3.339
1882	2.25	2.052	1.208	1.818
1883	4.654	1.924	1.414	1.709
1884	3.476	1.64	1.388	1.849
1885	3.343	1.072	0.853	2.257
1886	7.558	1.966	1.04	3.135
1887	4.95	2.967	1.633	3.612
1888	1.879	1.507	1.001	6.179
1889	2.551	1.095	1.378	5.433
1890	4.214	2.671	1.596	5.834
1891	5.261	2.376	1.173	5.136
1892	4.053	1.338	1.076	3.936
1893	4.999	2.102	1.729	4.642
1894	5.294	2.576	1.545	3.145
1895	4.608	2.56	1.868	2.831
1896	5.673	1.315	1.663	2.049
1897	4.711	2.571	1.408	3.95
1898	6.696	3.641	1.633	6.869
1899	6.503	3.243	1.297	6.966
1900	6.321	3.136	1.615	5.721
1901	6.662	3.448	1.529	5.283
1902	6.62	3.889	1.48	5.358
1903	6.076	3.216	1.579	4.789
1904	5.584	2.999	1.673	5.448
1905	4.802	1.743	1.117	3.397
1906	4.731	1.658	1.699	4.537
1907	5.118	1.73	1.603	3.564
1908	6.242	2.519	1.799	3.58
1909	5.041	2.138	1.979	3.235
1910	4.738	1.579	2.044	3.993
1911	6.245	3.141	3.095	4.894
1912	7.099	3.086	2.168	4.581
1913	5.935	3.004	3.073	5.053
1914	3.692	1.97	2.028	3.61
1915	2.383	1.392	2.031	2.834
1916	5.224	2.118	3.682	3.252
1917	9.725	0.815	4.208	3.423
1918	8.833	3.06	3.924	3.419
1919	7.302	2.487	3.648	3.706
1920	8.869	3.846	4.809	4.182
1921	7.558	3.026	4.014	3.371
1922	6.008	1.897	3.961	2.505
1923	7.614	3.143	4.521	3.345
1924	6.661	2.705	2.772	3.655
1925	4.818	8.594	2.738	3.564
1926	3.611	0	2.761	3.42
1927	8.018	8.415	1.935	2.245
1928	6.978	7.959	4.299	3.862
1929	7.571	6.676	5.48	2.978
1930	8.937	4.082	5.852	2.432
1931	9.143	1.911	3.686	2.677
1932	8.557	4.919	4.128	3.454
1933	7.159	4.684	3.572	2.872
1934	4.157	0.885	1.473	1.893
1935	4.444	2.918	2.335	4.048
1936	4.671	1.882	1.722	2.468
1937	4.223	2.596	3.415	4.316
1938	5.79	3.115	2.38	3.384
1939	3.599	0.777	2.572	2.578
1940	4.33	4.453	3.577	3.143
1941	4.923	4.745	4.069	2.639
1942	4.439	4.687	4.847	0.186
1943	4.64	4.38	4.621	4.865
1944	5.639	3.996	3.614	4.094
1945	6.062	2.928	2.995	3.104
1946	5.121	3.672	2.417	2.997
1947	5.529	2.823	2.298	2.828
1948	3.88	1.722	2.436	2.054
1949	2.29	1.94	1.657	1.035
1950	4.872	3.287	1.795	0.346
1951	4.92	2.35	1.924	0.963
1952	3.439	1.902	1.379	1.235
1953	6.33	3.073	1.924	0.991
1954	4.447	0.793	1.17	1.065
1955	4.087	2.883	1.43	1.706
1956	3.713	3.915	1.758	1.485
