# Lamarche - Coolangatta Road - PHAS - ITRDB AUSL012
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3827
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3827.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl012-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ausl012-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl012.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ausl012.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Lamarche - Coolangatta Road - PHAS - ITRDB AUSL012
#--------------------
# Investigators
#   Investigators: Lamarche, V.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Coolangatta Road
#   Location: Tasmania
#   Northernmost_Latitude: -43.37
#   Southernmost_Latitude: -43.37
#   Easternmost_Longitude: 147.27
#   Westernmost_Longitude: 147.27
#   Elevation_m: 450
#--------------------
# Data_Collection
#   Collection_Name: AUSL012
#   First_Year: 1711
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Phyllocladus aspleniifolius (Labill.) Hook. f.
#   Common_Name: celery top pine
#   Tree_Species_Code: PHAS
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## COO491_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO491; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO492_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO492; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO501_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO501; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO504_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO504; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO521_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO521; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO522_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO522; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO541_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO541; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO542_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO542; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO582_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO582; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO493_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO493; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO523_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO523; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO543_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO543; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO544_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO544; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO573_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO573; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO583_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO583; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## COO584_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: COO584; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	COO491_raw	COO492_raw	COO501_raw	COO504_raw	COO521_raw	COO522_raw	COO541_raw	COO542_raw	COO571_raw	COO572_raw	COO581_raw	COO582_raw	COO493_raw	COO523_raw	COO543_raw	COO544_raw	COO573_raw	COO583_raw	COO584_raw
1761	1.28	1.29	0.94	0.69	NA	NA	0.76	0.77	0.91	0.36	NA	NA	1.1	NA	0.6	0.42	NA	NA	NA
1762	0.82	0.76	0.58	0.47	NA	NA	0.62	0.56	0.64	0.39	NA	NA	0.76	NA	0.4	0.2	NA	NA	NA
1763	1.22	1.39	0.89	0.73	NA	NA	0.86	0.58	0.81	0.42	NA	NA	1.43	NA	0.45	0.21	NA	NA	NA
1764	1.23	1.52	0.85	0.63	NA	NA	0.67	0.46	0.7	0.46	NA	NA	1.37	NA	0.32	0.14	NA	NA	NA
1765	1.29	1.43	0.95	0.77	NA	NA	0.69	0.57	0.48	0.4	NA	NA	1.27	NA	0.3	0.27	NA	NA	NA
1766	1.16	1.47	0.93	0.72	NA	NA	0.69	0.65	0.49	0.37	NA	NA	1.34	NA	0.28	0.37	NA	NA	NA
1767	0.93	1.16	0.86	0.74	NA	NA	0.63	0.6	0.59	0.45	NA	NA	0.98	NA	0.42	0.36	NA	NA	NA
1768	1.18	1.54	0.84	0.73	NA	NA	0.58	0.57	0.99	0.5	NA	NA	1.27	NA	0.42	0.34	NA	NA	NA
1769	0.94	1.02	0.83	0.88	NA	NA	0.47	0.57	0.77	0.47	NA	NA	1.06	NA	0.44	0.26	NA	NA	NA
1770	1.33	1.47	0.88	0.87	NA	0.33	0.7	0.55	0.94	0.43	NA	NA	1.57	NA	0.44	0.44	NA	NA	NA
1771	0.9	1.14	0.73	0.77	NA	0.28	0.78	0.54	0.78	0.36	NA	NA	1.16	NA	0.6	0.51	NA	NA	NA
1772	1.26	1.29	0.7	0.85	NA	0.34	0.89	0.59	0.86	0.45	NA	NA	1.54	NA	0.86	0.57	NA	NA	NA
1773	1.21	1.31	0.74	0.97	NA	0.4	0.89	0.8	0.8	0.54	NA	NA	1.7	NA	0.93	0.62	NA	NA	NA
1774	1.15	1.47	0.7	0.7	NA	0.39	0.76	0.57	0.69	0.6	NA	NA	1.49	NA	0.76	0.4	NA	NA	NA
1775	1.1	1.49	0.74	0.83	NA	0.34	0.94	0.53	0.72	0.68	NA	NA	1.47	NA	0.89	0.59	NA	NA	NA
1776	0.58	0.63	0.41	0.38	0.3	0.23	0.6	0.31	0.43	0.38	NA	NA	0.58	NA	0.52	0.33	NA	NA	NA
1777	0.8	0.91	0.4	0.45	0.38	0.24	0.62	0.17	0.59	0.42	NA	NA	0.93	NA	0.51	0.3	NA	NA	NA
1778	1.55	1.45	0.85	0.83	0.67	0.52	1.27	0.59	0.98	0.81	NA	NA	1.47	NA	1.04	0.64	NA	NA	NA
1779	1.23	1.19	0.5	0.55	0.47	0.41	1.22	0.62	0.8	0.52	NA	NA	1.08	NA	0.85	0.44	NA	NA	NA
1780	1.34	1.39	0.79	0.77	0.63	0.56	1.37	0.67	0.98	0.63	NA	NA	1.3	NA	1.15	0.81	NA	NA	0.75
1781	1.27	1.34	0.69	0.55	0.61	0.42	1.05	0.43	0.74	0.54	NA	NA	1.19	NA	0.91	0.55	NA	NA	0.54
1782	1.32	1.47	0.84	0.58	0.48	0.36	1.06	0.44	0.92	0.85	NA	NA	1.17	NA	1.01	0.55	0.82	NA	0.51
1783	1.05	0.98	0.79	0.65	0.52	0.41	0.9	0.42	0.84	0.67	NA	NA	0.98	NA	0.74	0.53	0.7	NA	0.45
1784	0.81	0.83	0.57	0.42	0.34	0.37	0.87	0.38	0.71	0.46	NA	NA	0.95	NA	0.72	0.54	1.01	NA	0.31
1785	0.58	0.56	0.47	0.34	0.25	0.2	0.61	0.23	0.58	0.31	NA	NA	0.59	NA	0.44	0.31	0.6	NA	0.21
1786	0.81	0.8	0.46	0.49	0.49	0.44	1.35	0.39	0.63	0.33	NA	NA	0.76	NA	1.02	0.53	0.64	NA	0.19
1787	0.69	0.81	0.6	0.52	0.32	0.41	0.99	0.35	0.51	0.44	NA	NA	0.75	NA	0.76	0.36	0.51	NA	0.27
1788	1.02	0.89	0.65	0.6	0.46	0.55	0.82	0.25	0.44	0.39	NA	NA	0.89	NA	0.59	0.24	0.47	NA	0.22
1789	1.04	1	0.66	0.54	0.3	0.29	0.89	0.47	0.43	0.49	NA	NA	0.94	NA	0.71	0.51	0.73	NA	0.26
1790	0.99	0.86	0.56	0.74	0.58	0.47	0.72	0.5	0.5	0.57	NA	0.63	0.8	NA	0.56	0.47	0.64	NA	0.4
1791	1.42	1.33	0.79	1.12	0.57	0.49	0.97	0.78	0.92	0.88	NA	0.76	1.13	NA	0.79	0.7	0.95	0.7	0.62
1792	1.33	1.5	0.79	0.9	0.35	0.29	0.85	0.79	0.95	0.66	NA	0.9	1.3	NA	0.99	0.61	0.91	0.8	0.67
1793	1.06	1.11	0.58	0.88	0.53	0.34	1.04	0.68	0.89	0.68	0.62	0.72	1.06	NA	0.8	0.5	0.66	0.71	0.54
1794	1.11	1.08	0.78	0.87	0.54	0.5	1.12	0.8	0.85	0.73	0.65	0.84	1.28	NA	0.89	0.71	0.66	0.77	0.64
1795	0.91	0.92	0.66	0.72	0.55	0.55	0.88	0.56	0.55	0.67	0.6	0.81	1.17	NA	0.74	0.63	0.47	0.72	0.52
1796	1.02	0.83	0.6	1.08	0.3	0.28	0.97	1.09	0.7	1.07	0.48	0.72	1.36	NA	1.05	0.83	0.84	0.6	0.42
1797	1.16	1.13	0.84	0.92	0.69	0.39	1.17	1.16	0.82	0.64	0.65	0.87	1.44	NA	1	0.86	1.09	0.84	0.61
1798	0.99	1.43	0.81	0.75	0.59	0.65	1.04	1.03	0.92	0.55	0.54	0.75	1.46	NA	1.06	0.77	1.15	0.74	0.57
1799	0.93	1.28	0.6	0.68	0.63	0.9	0.94	1.01	0.79	0.31	0.54	0.89	1.2	NA	1.27	0.79	0.77	0.68	0.62
1800	1.52	1.76	0.7	0.88	0.8	1.06	1.31	1.09	1.32	0.74	0.68	0.88	1.54	1.34	1.09	0.84	1.13	0.74	0.66
1801	0.94	1.54	0.42	0.55	0.46	0.63	0.81	0.74	0.7	0.44	0.58	0.83	1.05	1.11	0.74	0.55	0.53	0.61	0.46
1802	1.03	1.36	0.44	0.61	0.74	1.04	1.08	1.14	0.98	0.82	0.7	0.91	0.97	1.4	1.16	0.83	0.82	1.01	0.58
1803	0.79	1.14	0.37	0.55	0.53	0.8	0.95	0.85	0.56	0.48	0.46	0.73	0.94	0.97	0.93	0.57	0.42	0.88	0.67
1804	1.02	1.5	0.35	0.56	0.6	1.3	1.18	1.24	0.77	0.65	0.59	0.74	1.16	1.35	1.27	0.75	0.81	1.14	0.87
1805	0.92	1.17	0.31	0.35	0.49	0.79	1.05	0.98	0.7	0.64	0.44	0.54	0.93	1.1	0.97	0.59	0.86	0.72	0.61
