# Boswijk - MORS Sample - AGAU - ITRDB NEWZ095
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/13910
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-13910.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz095-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; newz095-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz095.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/newz095.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2012-08-15
#--------------------
# File_Last_Modified_Date
#   Date: 2012-08-15
#--------------------
# Title
#   Study_Name: Boswijk - MORS Sample - AGAU - ITRDB NEWZ095
#--------------------
# Investigators
#   Investigators: Boswijk, G.
#--------------------
# Description_Notes_and_Keywords
#   Description: Purpose of collection: 
# # # Archaeology - construction (felling dates)
# # # 
# # # 
# # # Cores stored at: 
# # # Single sample of unknown provenance. Stored at the Tree-Ring 
# # # Laboratory, School of Environment, University of Auckland. Available to 
# # # view on site. 
# # # 
# # # 
# # # 
# # # NOTES: 
# # # Single kauri sample gifted to GB by a builder friend. Probably from 
# # # wall lining or sarking. Note that Lat Long and Elevation are for the 
# # # School of Environment as of August 2012, as the provenance (structure) 
# # # of the sample is unknown. Raw ring width measurement (0.01mm). Sample 
# # # contributed to late-Holocene kauri chronology. Crossdating details 
# # # available on request.
# # # 
# # #  NOAA Template Raw Measurements file added 2019-01-24. NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: MORS Sample
#   Location: New Zealand
#   Northernmost_Latitude: -36.85
#   Southernmost_Latitude: -36.85
#   Easternmost_Longitude: 174.7667
#   Westernmost_Longitude: 174.7667
#   Elevation_m: 28
#--------------------
# Data_Collection
#   Collection_Name: NEWZ095
#   First_Year: 1280
#   Last_Year: 1497
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: 
#--------------------
# Species
#   Species_Name: Agathis australis (D. Don) Loudon
#   Common_Name: kauri pine
#   Tree_Species_Code: AGAU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MOR001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MOR001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MOR001_raw
1280	1.46
1281	1.22
1282	1.19
1283	0.99
1284	2.4
1285	3.05
1286	1.4
1287	3.26
1288	1.59
1289	1.99
1290	0.95
1291	1.08
1292	1.59
1293	0.8
1294	1.51
1295	1.22
1296	0.74
1297	1.52
1298	1.07
1299	1.77
1300	1.67
1301	1.23
1302	1.62
1303	0.93
1304	1.95
1305	1.93
1306	2.41
1307	2.02
1308	2.41
1309	1.66
1310	1.87
1311	2.64
1312	1.54
1313	2.2
1314	1.33
1315	0.71
1316	0.75
1317	0.99
1318	1.12
1319	1.3
1320	2.41
1321	2.4
1322	1.24
1323	1.31
1324	0.78
1325	0.83
1326	1.03
1327	0.53
1328	0.83
1329	0.47
1330	1.06
1331	0.97
1332	0.67
1333	0.61
1334	0.86
1335	0.51
1336	0.75
1337	0.8
1338	1.01
1339	1.12
1340	0.72
1341	1.54
1342	1.23
1343	0.77
1344	1.02
1345	1.97
1346	1.33
1347	2.01
1348	0.97
1349	1.87
1350	1.49
1351	2.06
1352	1.94
1353	1.39
1354	1.34
1355	1.66
1356	1.97
1357	1.59
1358	1.03
1359	0.55
1360	0.8
1361	0.92
1362	0.96
1363	1.46
1364	0.79
1365	0.49
1366	0.47
1367	0.61
1368	0.45
1369	0.55
1370	0.86
1371	1.05
1372	1.28
1373	1.68
1374	0.79
1375	1.12
1376	1
1377	1.11
1378	2.31
1379	2.33
1380	1.11
1381	1.31
1382	0.87
1383	0.98
1384	0.84
1385	1.34
1386	1.78
1387	1.67
1388	1.48
1389	1.21
1390	1.83
1391	1.85
1392	1.77
1393	1.89
1394	1.33
1395	1.13
1396	0.88
1397	1.53
1398	0.78
1399	1.8
1400	0.91
1401	1.54
1402	1.1
1403	1.67
1404	1.16
1405	0.76
1406	0.6
1407	1.11
1408	1
1409	1.01
1410	1
1411	0.97
1412	1.26
1413	0.4
1414	0.78
1415	1.37
1416	0.9
1417	0.79
1418	0.93
1419	1.06
1420	1.25
1421	1.2
1422	0.76
1423	0.56
1424	1.21
1425	0.78
1426	0.77
1427	0.9
1428	1.16
1429	0.7
1430	0.91
1431	1.07
1432	0.72
1433	1.3
1434	0.95
1435	1.02
1436	1.25
1437	1.19
1438	1.87
1439	1.23
1440	1.56
1441	0.92
1442	0.91
1443	0.79
1444	0.89
1445	0.95
1446	0.7
1447	0.87
1448	1.02
1449	0.92
1450	0.69
1451	0.71
1452	0.73
1453	0.62
1454	0.71
1455	0.69
1456	0.82
1457	1.16
1458	1.05
1459	1.35
1460	0.85
1461	0.67
1462	0.78
1463	0.73
1464	0.94
1465	0.8
1466	0.69
1467	0.54
1468	0.75
1469	0.74
1470	1.08
1471	0.94
1472	0.73
1473	0.83
1474	0.82
1475	0.6
1476	0.82
1477	0.83
1478	1.22
1479	1
1480	1.16
1481	1.03
1482	0.88
1483	1.2
1484	1.29
1485	1.25
1486	1.13
1487	1.23
1488	1.11
1489	1.63
1490	1.68
1491	2.07
1492	2.03
1493	1.78
1494	1.96
1495	1.99
1496	1.24
1497	1.34
