# Lamarche - Woodman's Point - CARO - ITRDB AUSL008
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3852
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3852.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl008-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ausl008-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl008.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ausl008.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Lamarche - Woodman's Point - CARO - ITRDB AUSL008
#--------------------
# Investigators
#   Investigators: Lamarche, V.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-01-24. NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Woodman's Point
#   Location: Australia
#   Northernmost_Latitude: -32.12
#   Southernmost_Latitude: -32.12
#   Easternmost_Longitude: 115.75
#   Westernmost_Longitude: 115.75
#   Elevation_m: 13
#--------------------
# Data_Collection
#   Collection_Name: AUSL008
#   First_Year: 1912
#   Last_Year: 1975
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Callitris robusta (A. Cunn. ex Parl.) F.M. Bailey  = Callitris preissii Miq.
#   Common_Name: Rottnest Island pine
#   Tree_Species_Code: CARO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## WPT221_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT221; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT222_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT222; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT242_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT242; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT254_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT254; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT282_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT282; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT283_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT283; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT241_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT241; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT243_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT243; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT251_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT251; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT253_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT253; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT261_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT261; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT262_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT262; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WPT272_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WPT272; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	WPT221_raw	WPT222_raw	WPT242_raw	WPT254_raw	WPT282_raw	WPT283_raw	WPT241_raw	WPT243_raw	WPT251_raw	WPT253_raw	WPT261_raw	WPT262_raw	WPT271_raw	WPT272_raw
1912	NA	NA	NA	NA	NA	NA	2.75	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	5.25	NA	NA	NA	2.34	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	3.35	NA	NA	NA	1.83	3.73	NA	NA	NA	NA	NA	NA
1915	NA	NA	4.76	NA	NA	NA	3.85	5.55	NA	NA	NA	NA	NA	NA
1916	NA	NA	1.92	NA	NA	NA	2.25	2.19	NA	NA	3.95	NA	NA	NA
1917	NA	NA	2.46	NA	NA	NA	2.61	2.38	NA	NA	5.2	NA	NA	NA
1918	NA	NA	2.79	NA	NA	NA	2.75	2.17	NA	NA	6.61	NA	NA	NA
1919	NA	NA	2.26	NA	NA	NA	1.68	1.07	NA	NA	5.19	NA	NA	NA
1920	4.52	NA	0.94	NA	NA	NA	1.03	0.88	NA	NA	4.37	NA	NA	NA
1921	3.68	NA	1.35	NA	NA	NA	1.78	1.44	NA	NA	4.48	1.68	NA	NA
1922	3.16	NA	0.74	NA	NA	NA	1.18	1.19	NA	NA	3.01	1.52	NA	NA
1923	2.9	NA	1.19	2.28	NA	NA	1.81	2.3	2.06	NA	4.58	1.88	NA	NA
1924	3.56	NA	1.11	1.93	NA	NA	1.11	1.97	1.73	NA	2.94	1.67	NA	NA
1925	2.96	2.4	0.7	1.89	NA	NA	0.65	1.78	1.59	NA	1.94	1.67	NA	NA
1926	3.73	1.93	1.6	2.89	1.91	NA	0.8	2.91	1.24	NA	2.58	1.95	2.55	3.36
1927	2.71	2.15	1.19	2.13	1.47	NA	0.51	1.27	1.2	NA	1.73	1.46	4.24	3.37
1928	2.78	1.79	0.98	1.83	1.64	NA	0.49	1.98	1.09	1.81	1.49	0.7	2.94	3.05
1929	1.48	1.9	0.72	2.6	1.83	NA	0.42	2.02	1.67	2.15	1.97	1.12	3.26	2.74
1930	2.62	1.9	1.34	2.48	1.32	NA	0.54	2.57	1.67	2.34	2.08	0.75	4.08	2.51
1931	2.79	2.1	1.51	2.28	1.29	NA	0.43	1.97	1.66	2	2.28	1.57	3.83	2.25
1932	3.25	1.6	2.23	2.65	1.37	NA	0.98	2.5	2.2	2.51	2.04	1.22	3.72	2.44
1933	2.45	1.85	1.55	2.02	1.83	NA	0.4	1.65	1.58	1.62	1.75	1.06	4.17	2.37
1934	2.05	1.7	2.01	2.31	1.93	NA	0.89	2.37	2.33	2.06	1.47	0.83	5.29	3.61
1935	1.16	1.79	0.92	1.59	1.34	NA	0.51	0.89	1.72	1.63	0.58	0.67	3.69	2.79
1936	0.81	1.25	1.03	2.04	1.51	NA	0.72	1.28	2.02	1.84	0.48	0.78	3.62	2.67
1937	1.34	2.52	1.15	2.12	1.09	NA	0.66	1.58	2.29	2.21	0.96	1.05	4.99	2.94
1938	1.37	1.87	1.22	2.23	1.13	NA	0.51	1.5	2.41	2.1	1.15	0.67	5.06	2.99
1939	1.53	1.19	0.84	1.7	1.22	NA	0.69	1.15	1.89	1.64	0.67	0.57	3.84	2.51
1940	1.63	1.07	0.66	1.26	1.43	NA	0.48	0.48	1.3	1.06	0.72	0.39	2.6	2.05
1941	2	1.32	0.69	0.92	0.85	NA	0.37	0.51	1.19	0.91	0.63	0.58	2.46	1.02
1942	1.88	1.18	1.08	2.48	0.69	NA	0.43	0.59	1.91	1.62	0.36	0.42	2.78	1.94
1943	1.99	1.51	1.11	2.76	1.4	2.5	0.49	0.42	2.25	2	0.41	0.44	3.41	1.12
1944	1.43	1.09	0.72	2.12	1.06	0.98	0.42	0.26	2.15	1.59	0.6	0.36	1.66	0.85
1945	2.01	1.19	1.59	3.21	1.08	1.56	0.79	0.72	3.37	2.41	0.71	0.52	2.82	1.61
1946	1.63	1.88	1.63	2.8	1.35	2.01	0.94	0.84	2.48	2.7	0.63	1.16	2.37	1.12
1947	1.68	1.4	2.21	3.03	1.36	2.21	0.68	1.3	3.78	3.17	1.24	1.49	1.77	0.62
1948	1.09	1.04	1.71	2.12	1.34	1.29	0.98	0.85	2.34	2.04	0.95	0.9	2.28	1.4
1949	2.02	1.13	1.46	1.93	1.22	1.9	0.88	0.66	2.13	1.69	1.32	0.9	2.55	1.68
1950	1.71	1.36	2.24	2.36	1.85	1.91	1.38	1.29	2.59	2.18	1.18	0.7	2.69	1.48
1951	1.21	1.11	2.73	3.25	1.52	1.22	1.38	1.46	3.5	3.42	1.39	0.76	2.86	2.06
1952	0.97	1.7	1.42	2.5	1.09	0.95	0.88	0.76	2.06	2.34	0.95	0.6	1.37	1.11
1953	1	1.3	1.61	2.98	1.24	1.6	1.06	0.95	2.15	3.12	1.05	0.73	1.31	0.96
1954	0.56	0.63	0.88	1.28	0.64	0.49	0.66	0.47	0.76	1.5	0.7	0.43	0.79	1.09
1955	1.36	1.42	1.42	2.19	1.18	1.77	1.65	1.1	1.04	1.82	1.32	0.62	1.07	1.49
1956	1.75	1.16	1.18	1.39	1.52	2.75	1.7	1.17	1.03	1.94	1.6	0.42	0.79	1.28
1957	1.78	1.08	0.51	0.89	0.3	1.02	1.02	0.63	0.37	0.97	1.22	0.4	1.05	1.31
1958	2.05	NA	0.54	1.02	0.6	0.95	1.1	0.49	0.49	1.08	0.97	0.36	0.84	0.96
1959	1.57	NA	0.55	1.98	0.94	1.59	1.21	0.58	0.59	1.53	1.09	0.34	0.77	0.86
1960	1.26	NA	0.4	1.58	0.34	0.76	0.52	0.24	0.43	1.27	0.76	0.32	0.74	0.52
1961	1.14	NA	NA	1.74	0.51	1.61	1.23	1.05	0.84	1.58	1.02	0.67	0.36	0.39
1962	1.14	NA	NA	2.35	0.49	1.14	0.72	0.82	0.62	2.38	0.85	0.77	0.53	0.47
1963	1.11	NA	NA	3.11	0.61	0.77	1.07	0.64	0.55	2.6	1.01	0.84	0.72	0.33
1964	1.08	NA	NA	2.32	0.67	1.5	1.25	0.71	1.33	2.23	1.21	1.16	0.75	0.45
