# Lamarche - St. Helens - PHAS - ITRDB AUSL019
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3851
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3851.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl019-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; ausl019-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/ausl019.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ausl019.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Lamarche - St. Helens - PHAS - ITRDB AUSL019
#--------------------
# Investigators
#   Investigators: Lamarche, V.C.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: St. Helens
#   Location: Tasmania
#   Northernmost_Latitude: -41.18
#   Southernmost_Latitude: -41.18
#   Easternmost_Longitude: 148.0
#   Westernmost_Longitude: 148.0
#   Elevation_m: 750
#--------------------
# Data_Collection
#   Collection_Name: AUSL019
#   First_Year: 1507
#   Last_Year: 1974
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Phyllocladus aspleniifolius (Labill.) Hook. f.
#   Common_Name: celery top pine
#   Tree_Species_Code: PHAS
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SHT062_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT062; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT072_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT072; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT082_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT082; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT093_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT093; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT132_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT132; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT411_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT411; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT421_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT421; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SHT431_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SHT431; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SHT062_raw	SHT072_raw	SHT082_raw	SHT093_raw	SHT132_raw	SHT411_raw	SHT421_raw	SHT431_raw
1507	NA	NA	NA	NA	NA	NA	NA	0.19
1508	NA	NA	NA	NA	NA	NA	NA	0.17
1509	NA	NA	NA	NA	NA	NA	NA	0.08
1510	NA	NA	NA	NA	NA	NA	NA	0.11
1511	NA	NA	NA	NA	NA	NA	NA	0.2
1512	NA	NA	NA	NA	NA	NA	NA	0.07
1513	NA	NA	NA	NA	NA	NA	NA	0.27
1514	NA	NA	NA	NA	NA	NA	NA	0.09
1515	NA	NA	NA	NA	NA	NA	NA	0.31
1516	NA	NA	NA	NA	NA	NA	NA	0.22
1517	NA	NA	NA	NA	NA	NA	NA	0.33
1518	NA	NA	NA	NA	NA	NA	NA	0.21
1519	NA	NA	NA	NA	NA	NA	NA	0.32
1520	NA	NA	NA	NA	NA	NA	NA	0.17
1521	NA	NA	NA	NA	NA	NA	NA	0.28
1522	NA	NA	NA	NA	NA	NA	NA	0.25
1523	NA	NA	NA	NA	NA	NA	NA	0.35
1524	NA	NA	NA	NA	NA	NA	NA	0.07
1525	NA	NA	NA	NA	NA	NA	NA	0.25
1526	NA	NA	NA	NA	NA	NA	NA	0.19
1527	NA	NA	NA	NA	NA	NA	NA	0.32
1528	NA	NA	NA	NA	NA	NA	NA	0.1
1529	NA	NA	NA	NA	NA	NA	NA	0.26
1530	NA	NA	NA	NA	NA	NA	NA	0.32
1531	NA	NA	NA	NA	NA	NA	NA	0.19
1532	NA	NA	NA	NA	NA	NA	NA	0.43
1533	NA	NA	NA	NA	NA	NA	NA	0.13
1534	NA	NA	NA	NA	NA	NA	NA	0.42
1535	NA	NA	NA	NA	NA	NA	NA	0.26
1536	NA	NA	NA	NA	NA	NA	NA	0.25
1537	NA	NA	NA	NA	NA	NA	NA	0.11
1538	NA	NA	NA	NA	NA	NA	NA	0.3
1539	NA	NA	NA	NA	NA	NA	NA	0.14
1540	NA	NA	NA	NA	NA	NA	NA	0.39
1541	NA	NA	NA	NA	NA	NA	NA	0.35
1542	NA	NA	NA	NA	NA	NA	NA	0.36
1543	NA	NA	NA	NA	NA	NA	NA	0.42
1544	NA	NA	NA	NA	NA	NA	NA	0.49
1545	NA	NA	NA	NA	NA	NA	NA	0.27
1546	NA	NA	NA	NA	NA	NA	NA	0.5
1547	NA	NA	NA	NA	NA	NA	NA	0.3
1548	NA	NA	NA	NA	NA	NA	NA	0.51
1549	NA	NA	NA	NA	NA	NA	NA	0.33
1550	NA	NA	NA	NA	NA	NA	NA	0.62
1551	NA	NA	NA	NA	NA	NA	NA	0.31
1552	NA	NA	NA	NA	NA	NA	NA	0.51
1553	NA	NA	NA	NA	NA	NA	NA	0.19
1554	NA	NA	NA	NA	NA	NA	NA	0.42
1555	NA	NA	NA	NA	NA	NA	NA	0.37
1556	NA	NA	NA	NA	NA	NA	NA	0.5
1557	NA	NA	NA	NA	NA	NA	NA	0.33
1558	NA	NA	NA	NA	NA	NA	NA	0.45
1559	NA	NA	NA	NA	NA	NA	NA	0.22
1560	NA	NA	NA	NA	NA	NA	NA	0.41
1561	NA	NA	NA	NA	NA	NA	NA	0.29
1562	NA	NA	NA	NA	NA	NA	NA	0.42
1563	NA	NA	NA	NA	NA	NA	NA	0.27
1564	NA	NA	NA	NA	NA	NA	NA	0.38
1565	NA	NA	NA	NA	NA	NA	NA	0.14
1566	NA	NA	NA	NA	NA	NA	NA	0.34
1567	NA	NA	NA	NA	NA	NA	NA	0.2
1568	NA	NA	NA	NA	NA	NA	NA	0.37
1569	NA	NA	NA	NA	NA	NA	NA	0.23
1570	NA	NA	NA	NA	NA	NA	NA	0.24
1571	NA	NA	NA	NA	NA	NA	NA	0.13
1572	NA	NA	NA	NA	NA	NA	NA	0.31
1573	NA	NA	NA	NA	NA	NA	NA	0.1
1574	NA	NA	NA	NA	NA	NA	NA	0.29
1575	NA	NA	NA	NA	NA	NA	NA	0.12
1576	NA	NA	NA	NA	NA	NA	NA	0.29
1577	NA	NA	NA	NA	NA	NA	NA	0.12
1578	NA	NA	NA	NA	NA	NA	NA	0.16
1579	NA	NA	NA	NA	NA	NA	NA	0.05
1580	NA	NA	NA	NA	NA	NA	NA	0.23
1581	NA	NA	NA	NA	NA	NA	NA	0.07
1582	NA	NA	NA	NA	NA	NA	NA	0.16
1583	NA	NA	NA	NA	NA	NA	NA	0.24
1584	NA	NA	NA	NA	NA	NA	NA	0.05
1585	NA	NA	NA	NA	NA	NA	NA	0.14
1586	NA	NA	NA	NA	NA	NA	NA	0.06
1587	NA	NA	NA	NA	NA	NA	NA	0.32
1588	NA	NA	NA	NA	NA	NA	NA	0.06
1589	NA	NA	NA	NA	NA	NA	NA	0.2
1590	NA	NA	NA	NA	NA	NA	NA	0.25
1591	NA	NA	NA	NA	NA	NA	NA	0.07
1592	NA	NA	NA	NA	NA	NA	NA	0.21
