# Ahmed - Mt. William - AGAU - ITRDB NEWZ090
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8488
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-8488.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: PAGES 2k Network, PAGES Australasia 2k
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz090-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; newz090-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz090.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/newz090.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2010-02-10
#--------------------
# File_Last_Modified_Date
#   Date: 2010-02-10
#--------------------
# Title
#   Study_Name: Ahmed - Mt. William - AGAU - ITRDB NEWZ090
#--------------------
# Investigators
#   Investigators: Ahmed, M.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Mt. William
#   Location: New Zealand
#   Northernmost_Latitude: -37.22
#   Southernmost_Latitude: -37.22
#   Easternmost_Longitude: 175.03
#   Westernmost_Longitude: 175.03
#   Elevation_m: 375
#--------------------
# Data_Collection
#   Collection_Name: NEWZ090
#   First_Year: 1580
#   Last_Year: 1981
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Agathis australis (D. Don) Loudon
#   Common_Name: kauri pine
#   Tree_Species_Code: AGAU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MWL0511_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0511; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0513_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0513; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0521_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0521; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0522_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0522; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0523_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0523; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0571_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0571; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0631_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0631; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0691_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0691; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0692_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0692; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MWL0701_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MWL0701; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MWL0511_raw	MWL0513_raw	MWL0521_raw	MWL0522_raw	MWL0523_raw	MWL0571_raw	MWL0572_raw	MWL0631_raw	MWL0691_raw	MWL0692_raw	MWL0701_raw
1580	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.37	NA
1581	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.35	NA
1582	NA	NA	NA	NA	NA	NA	NA	NA	1.26	0.99	NA
1583	NA	NA	NA	NA	NA	NA	NA	NA	1.6	1.17	NA
1584	NA	NA	NA	NA	NA	NA	NA	NA	2.02	0.82	NA
1585	NA	NA	NA	NA	NA	NA	NA	NA	2.22	1.88	NA
1586	NA	NA	NA	NA	NA	NA	NA	NA	1.69	1.71	NA
1587	NA	NA	NA	NA	NA	NA	NA	NA	1.5	2.05	NA
1588	NA	NA	NA	NA	NA	NA	NA	NA	1.69	1.93	NA
1589	NA	NA	NA	NA	NA	NA	NA	NA	1.61	1.89	NA
1590	NA	NA	NA	NA	NA	NA	NA	NA	1.27	1.96	NA
1591	NA	NA	NA	NA	NA	NA	NA	NA	1.3	1.81	NA
1592	NA	NA	NA	NA	NA	NA	NA	NA	1.59	1.58	NA
1593	NA	NA	NA	NA	NA	NA	NA	NA	1.65	2.48	NA
1594	NA	NA	NA	NA	NA	NA	NA	NA	1.46	1.65	NA
1595	NA	NA	NA	NA	NA	NA	NA	NA	1.28	1.47	NA
1596	NA	NA	NA	NA	NA	NA	NA	NA	2.04	2.23	NA
1597	NA	NA	NA	NA	NA	NA	NA	NA	1.33	1.12	NA
1598	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.02	NA
1599	NA	NA	NA	NA	NA	NA	NA	NA	0.94	1.27	NA
1600	NA	NA	NA	NA	NA	NA	NA	NA	0.82	0.8	NA
1601	NA	NA	NA	NA	NA	NA	NA	NA	1.35	1.52	NA
1602	NA	NA	NA	NA	NA	NA	NA	NA	0.94	1.31	NA
1603	NA	NA	NA	NA	NA	NA	NA	NA	1.01	1.64	NA
1604	NA	NA	NA	NA	NA	NA	NA	NA	1.02	1.64	NA
1605	NA	NA	NA	NA	NA	NA	NA	NA	0.83	1.12	NA
1606	NA	NA	NA	NA	NA	NA	NA	NA	1.22	1.3	NA
1607	NA	NA	NA	NA	NA	NA	NA	NA	0.95	0.98	NA
1608	NA	NA	NA	NA	NA	NA	NA	NA	0.72	0.99	NA
1609	NA	NA	NA	NA	NA	NA	NA	NA	0.88	1.31	NA
1610	NA	NA	NA	NA	NA	NA	NA	NA	0.98	1.11	NA
1611	NA	NA	NA	NA	NA	NA	NA	NA	0.98	1.07	NA
1612	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.11	NA
1613	NA	NA	NA	NA	NA	NA	NA	NA	1.46	1.29	NA
1614	NA	NA	NA	NA	NA	NA	NA	NA	1.01	0.81	NA
1615	NA	NA	NA	NA	NA	NA	NA	NA	0.91	0.82	NA
1616	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1	NA
1617	NA	NA	NA	NA	NA	NA	NA	NA	1.24	1.2	NA
1618	NA	NA	NA	NA	NA	NA	NA	NA	1.3	1.32	NA
1619	NA	NA	NA	NA	NA	NA	NA	NA	0.95	1.32	NA
1620	NA	NA	NA	NA	NA	NA	NA	NA	0.97	1.29	NA
1621	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.55	NA
1622	NA	NA	NA	NA	NA	NA	NA	NA	0.58	1.02	NA
1623	NA	NA	NA	NA	NA	NA	NA	NA	0.6	0.96	NA
1624	NA	NA	NA	NA	NA	NA	NA	NA	0.66	0.9	NA
1625	NA	NA	NA	NA	NA	NA	NA	NA	0.7	0.85	NA
1626	NA	NA	NA	NA	NA	NA	NA	NA	0.63	0.85	NA
1627	NA	NA	NA	NA	NA	NA	NA	NA	1.09	0.95	NA
1628	NA	NA	NA	NA	NA	NA	NA	NA	1.24	0.72	NA
1629	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.64	NA
1630	NA	NA	NA	NA	NA	NA	NA	NA	1.36	0.99	NA
1631	NA	NA	NA	NA	NA	NA	NA	NA	1.53	0.87	NA
1632	NA	NA	NA	NA	NA	NA	NA	NA	1.01	0.76	NA
1633	NA	NA	NA	NA	NA	NA	NA	NA	1.13	1.3	NA
1634	NA	NA	NA	NA	NA	NA	NA	NA	1.39	1.46	NA
1635	NA	NA	NA	NA	NA	NA	NA	NA	1.21	1.29	NA
1636	NA	NA	NA	NA	NA	NA	NA	NA	1.17	1.5	NA
1637	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.68	NA
1638	NA	NA	NA	NA	NA	NA	NA	NA	0.99	1.38	NA
1639	NA	NA	NA	NA	NA	NA	NA	NA	1.1	1.59	NA
1640	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.18	NA
1641	NA	NA	NA	NA	NA	NA	NA	NA	0.72	1.08	NA
1642	NA	NA	0.96	NA	NA	NA	NA	NA	0.83	0.89	NA
1643	NA	NA	1.12	NA	NA	NA	NA	NA	0.78	1.12	NA
1644	NA	NA	0.84	NA	NA	NA	NA	NA	0.47	0.82	NA
1645	NA	NA	0.87	NA	NA	NA	NA	NA	0.92	0.79	NA
1646	NA	NA	0.86	NA	NA	NA	NA	NA	1.01	0.82	NA
1647	NA	NA	0.76	NA	NA	NA	NA	NA	1.11	0.77	NA
1648	NA	NA	1.27	NA	NA	NA	NA	NA	1.05	1.78	NA
1649	NA	NA	1.39	NA	NA	NA	NA	NA	0.81	1.69	NA
1650	NA	NA	1.46	NA	NA	NA	NA	NA	1.84	1.48	NA
