# Xiong - Stratford Side East Egmont - LIBI - ITRDB NEWZ071
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/5374
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-5374.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz071-rwl-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; newz071-rwl-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/newz071.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/newz071.txt
#   Supplemental_Description: Text File; Correlation Stats
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Xiong - Stratford Side East Egmont - LIBI - ITRDB NEWZ071
#--------------------
# Investigators
#   Investigators: Xiong, L.; Palmer, J.G.(https://orcid.org/0000-0002-6665-4483)
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Raw Measurements file added 2019-02-01.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Stratford Side East Egmont
#   Location: New Zealand
#   Northernmost_Latitude: -39.32
#   Southernmost_Latitude: -39.32
#   Easternmost_Longitude: 174.12
#   Westernmost_Longitude: 174.12
#   Elevation_m: 860
#--------------------
# Data_Collection
#   Collection_Name: NEWZ071
#   First_Year: 1626
#   Last_Year: 1990
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Libocedrus bidwillii Hook. f.
#   Common_Name: New Zealand cedar
#   Tree_Species_Code: LIBI
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## str1.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: str1.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## str1.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: str1.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR2.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR2.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR3.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR3.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR3.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR3.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR4.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR4.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR4.3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR4.3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR5.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR5.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR5.2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR5.2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR6.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR6.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## STR7.1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: STR7.1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	str1.1_raw	str1.2_raw	STR2.2_raw	STR3.1_raw	STR3.2_raw	STR4.2_raw	STR4.3_raw	STR5.1_raw	STR5.2_raw	STR6.1_raw	STR7.1_raw
1626	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1627	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1628	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1629	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1630	0.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1631	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1632	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1633	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1634	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1635	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1636	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1637	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1638	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1639	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1640	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1641	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1642	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1643	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1644	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1645	0.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1646	0.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1647	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1648	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1649	0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1650	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1651	0.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1652	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1653	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1654	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1655	0.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1656	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1657	0.32	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
1658	0.34	0.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
1659	0.45	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
1660	0.4	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA
1661	0.37	0.58	NA	NA	NA	NA	NA	NA	NA	NA	NA
1662	0.35	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1663	0.35	0.41	NA	NA	NA	NA	1.89	NA	NA	NA	NA
1664	0.46	0.65	NA	NA	NA	NA	2.1	NA	NA	NA	NA
1665	0.42	0.65	NA	NA	NA	NA	1.86	NA	NA	NA	NA
1666	0.54	0.6	NA	NA	NA	NA	2.04	NA	NA	NA	NA
1667	0.76	0.63	NA	NA	NA	NA	1.85	NA	NA	NA	NA
1668	0.51	0.77	NA	NA	NA	NA	1.88	NA	NA	NA	NA
1669	0.71	0.67	NA	NA	NA	NA	1.89	NA	NA	NA	NA
1670	0.66	0.75	NA	NA	NA	NA	1.53	NA	NA	2.12	NA
1671	0.6	0.84	NA	NA	NA	NA	1.81	NA	NA	2.39	NA
1672	0.49	1.04	NA	NA	NA	NA	2.06	NA	NA	1.67	NA
1673	0.63	0.69	NA	NA	NA	NA	1.36	NA	NA	1.79	NA
1674	0.56	0.96	NA	NA	NA	NA	1.29	NA	NA	1.86	NA
1675	0.6	0.68	NA	NA	NA	NA	0.94	NA	NA	1.44	NA
1676	0.47	0.86	NA	NA	NA	NA	0.88	NA	NA	1.44	NA
1677	0.58	1.02	NA	NA	NA	NA	0.85	NA	NA	1.45	NA
1678	0.55	1.06	NA	NA	NA	NA	0.94	NA	NA	1.72	NA
1679	0.78	1.16	NA	NA	NA	NA	0.87	NA	NA	1.67	NA
1680	0.71	0.88	NA	NA	NA	NA	0.73	NA	NA	1.37	NA
1681	0.82	1.2	NA	NA	NA	NA	0.58	NA	NA	1.4	NA
1682	0.56	0.82	NA	NA	NA	NA	0.57	NA	NA	1.15	NA
1683	0.61	0.94	NA	NA	NA	NA	0.61	NA	NA	1.69	NA
1684	0.75	1.18	NA	NA	NA	NA	0.59	NA	NA	1.32	NA
1685	0.57	0.82	NA	NA	NA	NA	0.61	NA	NA	1.25	NA
1686	0.46	0.88	NA	1.21	NA	NA	0.58	NA	NA	0.91	NA
1687	0.52	1.17	NA	1.15	NA	NA	1.07	NA	NA	1.49	NA
1688	0.57	1.1	NA	1.46	NA	NA	1.19	NA	NA	1.74	NA
1689	0.58	0.9	NA	1.18	NA	NA	0.66	NA	NA	1.56	NA
1690	0.7	0.87	NA	1.59	NA	NA	0.91	NA	NA	1.36	NA
1691	0.83	1.1	NA	1.19	NA	NA	0.91	NA	NA	1.19	NA
1692	0.85	1.22	NA	1.43	NA	NA	0.98	NA	NA	1.48	NA
1693	0.77	1.29	NA	1.55	NA	NA	0.86	NA	NA	1.27	NA
1694	0.84	1.08	NA	0.93	NA	NA	0.98	NA	NA	1.27	NA
1695	0.85	1.18	NA	1.34	NA	NA	1.15	NA	NA	1.31	NA
1696	0.67	0.74	NA	1.36	NA	NA	1.27	NA	NA	1.08	NA
